"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
70	"Rh71"	"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)"	"2 H(+)  + 2 superoxide <=> H2O2  + O2"	"R00275"	"2 H+ + 2 superoxide <=> hydrogen peroxide + oxygen"	"YHR008C"	"1.15.1.1"	"Peroxisome"	1	"NA"	"Add new reaction;"	"sce04146  peroxisome"	"rhea:20696"	"NA"	NA	"MNXR104498"	"2 `H(+)` + 2 `superoxide` = 1 `H2O2` + 1 `O2`"	"true"	"2 MNXM1@MNXD1 + 2 MNXM330@MNXD1 = 1 MNXM22@MNXD1 + 1 MNXM4@MNXD1"	"2 H(+) + 2 superoxide => H2O2 + O2;H2O2 + O2 => 2 H(+) + 2 superoxide"
71	"Rh72"	"2-deoxyglucose-6-phosphate phosphatase 2 (2-DOG-6-P 2) (2-deoxyglucose-6-phosphatase 2) (EC 3.1.3.68)"	"2-deoxy-D-glucose 6-phosphate  + H2O => 2-deoxy-D-glucose  + phosphate"	"R02587"	"2-deoxy-D-glucose 6-phosphate + H2O <=> 2-deoxy-D-glucose + phosphate"	"YHR043C;YHR044C"	"3.1.3.68"	"Alternate Carbon Metabolism"	1	"based on database;"	"Add new reaction;"	"alternate carbon metabolism"	"rhea:22236"	"NA"	NA	"MNXR94794"	"1 `2-deoxy-D-glucose` + 1 `phosphate` = 1 `H2O` + 1 `2-deoxy-D-glucose 6-phosphate`"	"true"	"1 MNXM2925@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3809@MNXD1"	"2-deoxy-D-glucose 6-phosphate + H2O => 2-deoxy-D-glucose + phosphate;2-deoxy-D-glucose + phosphate => 2-deoxy-D-glucose 6-phosphate + H2O"
72	"Rh73"	"Cytochrome c lysine N-methyltransferase 1 (EC 2.1.1.59)"	"S-adenosyl-L-methionine  + [cytochrome c]-L-lysine <=> S-adenosyl-L-homocysteine  + [cytochrome c]-N6-methyl-L-lysine"	"R03875"	"S-adenosyl-L-methionine + [cytochrome c]-L-lysine <=> S-adenosyl-L-homocysteine + [cytochrome c]-N6-methyl-L-lysine"	"YHR109W"	"2.1.1.59"	"Lysine metabolism"	1	"NA"	"Add new reaction;"	"lysine metabolism"	"rhea:51736"	"NA"	NA	NA	"S-adenosyl-L-methionine + [protein]-L-lysine => S-adenosyl-L-homocysteine + [protein]-N(6)-methyl-L-lysine + H(+);S-adenosyl-L-homocysteine + [protein]-N(6)-methyl-L-lysine + H(+) => S-adenosyl-L-methionine + [protein]-L-lysine"	"true"	NA	"S-adenosyl-L-methionine + [protein]-L-lysine => S-adenosyl-L-homocysteine + [protein]-N(6)-methyl-L-lysine + H(+);S-adenosyl-L-homocysteine + [protein]-N(6)-methyl-L-lysine + H(+) => S-adenosyl-L-methionine + [protein]-L-lysine"
74	"Rh75"	"Histone-lysine N-methyltransferase, H3 lysine-4 specific (EC 2.1.1.43) (COMPASS component SET1) (Lysine N-methyltransferase 2) (SET domain-containing protein 1)"	"S-adenosyl-L-methionine  + L-lysine-[histone] <=> S-adenosyl-L-homocysteine  + N6-methyl-L-lysine-[histone]"	"R03938"	"S-adenosyl-L-methionine + L-lysine-[histone] <=> S-adenosyl-L-homocysteine + N6-methyl-L-lysine-[histone]"	"YHR119W;YDR440W;YJL168C"	"2.1.1.43"	"Lysine metabolism"	1	"NA"	"Add new reaction;"	"lysine metabolism"	"rhea:10024"	"NA"	NA	"MNXR125584"	"1 `S-adenosyl-L-methionine` + 1 `L-lysine residue` = 1 `H(+)` + 1 `S-adenosyl-L-homocysteine` + 1 `N(6)-methyl-L-lysine residue`"	"true"	"1 MNXM16@MNXD1 + 1 MNXM59465@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM19@MNXD1 + 1 MNXM63025@MNXD1"	"S-adenosyl-L-methionine + [histone]-L-lysine => S-adenosyl-L-homocysteine + [histone]-N(6)-methyl-L-lysine + H(+);S-adenosyl-L-homocysteine + [histone]-N(6)-methyl-L-lysine + H(+) => S-adenosyl-L-methionine + [histone]-L-lysine"
75	"Rh76"	"NADPH dehydrogenase 2 (EC 1.6.99.1) (Old yellow enzyme 2)"	"Acceptor  + NADPH  + H(+) <=> Reduced acceptor  + NADP(+)"	"R00282"	"Acceptor + NADPH + H+ <=> Reduced acceptor + NADP(+)"	"YHR179W;YPL171C"	"1.6.99.1"	"other"	1	"based on database;"	"Can be added as a genereal reactions into model as the acceptor can find id from kegg database"	"other"	"rhea:13149"	"NA"	"MNXR106451"	"MNXR125720"	"1 `H(+)` + 1 `A` + 1 `NADPH` = 1 `AH2` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM35@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM24@MNXD1 + 1 MNXM5@MNXD1"	NA
76	"Rh77"	"Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)"	"(polyphosphate)(n)  + H2O <=> (polyphosphate)(n-1)  + phosphate"	"R03042"	"(polyphosphate)(n) + H2O <=> (polyphosphate)(n-1) + phosphate"	"YHR201C"	"3.6.1.11"	"Cofactor and Prosthetic Group Biosynthesis"	1	"NA"	"Add new reaction;"	"cofactor and prosthetic group biosynthesis"	"rhea:21528"	"NA"	"MNXR107906"	"MNXR126084"	"1 `H(+)` + 1 `polyphosphate` + 1 `phosphate` = 1 `H2O` + 1 `polyphosphate`"	"NA"	"1 MNXM1@MNXD1 + 1 MNXM77738@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM77738@MNXD1"	"H2O + polyphosphaten => H(+) + phosphate + polyphosphaten-1;H(+) + phosphate + polyphosphaten-1 => H2O + polyphosphaten"
78	"Rh79"	"NADH-cytochrome b5 reductase 1 (EC 1.6.2.2) (Microsomal cytochrome b reductase) (P35)"	"NADH  + 2 Ferricytochrome b5 <=> NAD(+) + 2 Ferrocytochrome b5  + H(+)"	"R00100"	"NADH + 2 Ferricytochrome b5 <=> NAD + 2 Ferrocytochrome b5 + H+"	"YIL043C;YKL150W;YML125C"	"1.6.2.2"	"Amino sugar and nucleotide sugar metabolism"	1	"NA"	"Add new reaction;"	"sce00520  amino sugar and nucleotide sugar metabolism"	"rhea:46680"	"NA"	NA	NA	"2 [Fe(III)-cytochrome b5] + NADH => 2 [Fe(II)-cytochrome b5] + H(+) + NAD(+);2 [Fe(II)-cytochrome b5] + H(+) + NAD(+) => 2 [Fe(III)-cytochrome b5] + NADH"	"true"	NA	"2 [Fe(III)-cytochrome b5] + NADH => 2 [Fe(II)-cytochrome b5] + H(+) + NAD(+);2 [Fe(II)-cytochrome b5] + H(+) + NAD(+) => 2 [Fe(III)-cytochrome b5] + NADH"
79	"Rh80"	"Polyprenol reductase (EC 1.3.1.94) (Protein DFG10)"	"a di-trans, poly-cis-polyprenol  + NADPH  + H(+)  => a dolichol  + NADP(+)"	"RXN-9971"	"a di-trans, poly-cis-polyprenol + NADPH + H+ <=> a dolichol + NADP(+)"	"YIL049W"	"1.3.1.94"	"dolichol and dolichyl phosphate biosynthesis"	1	"based on database;"	"NA"	"dolichol and dolichyl phosphate biosynthesis"	"rhea:34279"	"RHEA:34279"	NA	"MNXR123089"	"1 `H(+)` + 1 `NADPH` + 1 `ditrans,polycis-polyprenol` = 1 `NADP(+)` + 1 `dolichol`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM6@MNXD1 + 1 MNXM97234@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM797@MNXD1"	"di-trans,poly-cis-dolichol + NADP(+) => di-trans,poly-cis-polyprenol + H(+) + NADPH;di-trans,poly-cis-polyprenol + H(+) + NADPH => di-trans,poly-cis-dolichol + NADP(+)"
80	"Rh81"	"Benzil reductase ((S)-benzoin forming) IRC24 (EC 1.1.1.320) (Increased recombination centers protein 24)"	"(S)-benzoin  + NADP(+) = benzil  + NADPH"	"RXN-12898"	"(S)-benzoin + NADP(+) <=> benzil + NADPH"	"YIR036C"	"1.1.1.320"	"Other"	1	"based on database;"	"Add new reaction;"	"other"	"rhea:25968"	"RHEA:25968"	NA	"MNXR113329"	"1 `H(+)` + 1 `benzil` + 1 `NADPH` = 1 `NADP(+)` + 1 `(S)-benzoin`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM2349@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM5393@MNXD1"	"(S)-benzoin + NADP(+) => benzil + H(+) + NADPH;benzil + H(+) + NADPH => (S)-benzoin + NADP(+)"
83	"Rh84"	"Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)"	"L-Ala-Gly  + H2O <=> L-Ala  + Gly"	"RXN0-6977"	"Ala-Gly + H2O <=> L-alanine + L-glycine"	"YKL103C"	"3.4.11.22"	"Hydrolysis of peptide bond"	1	"NA"	"Add new reaction;"	"hydrolysis of peptide bond"	"rhea:36467"	"RHEA:36467"	NA	"MNXR123346"	"1 `L-alanylglycine` + 1 `H2O` = 1 `glycine` + 1 `L-alanine`"	"true"	"1 MNXM15783@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM32@MNXD1"	"L-alanylglycine + H2O => L-alanine + glycine;L-alanine + glycine => L-alanylglycine + H2O"
84	"Rh85"	"Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)"	"L-Ala-L-Leu  + H2O <=> L-Ala  + L-Leu"	"RXN0-6979"	"Ala-Leu + H2O <=> L-alanine + L-leucine"	"YKL103C"	"3.4.11.22"	"Hydrolysis of peptide bond"	1	"NA"	"Add new reaction;"	"hydrolysis of peptide bond"	"rhea:37291"	"RHEA:37291"	NA	"MNXR123348"	"1 `L-leucine` + 1 `L-alanine` = 1 `L-alanyl-L-leucine` + 1 `H2O`"	"true"	"1 MNXM140@MNXD1 + 1 MNXM32@MNXD1 = 1 MNXM15786@MNXD1 + 1 MNXM2@MNXD1"	"L-alanyl-L-leucine + H2O => L-alanine + L-leucine;L-alanine + L-leucine => L-alanyl-L-leucine + H2O"
85	"Rh86"	"5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)"	"5-oxo-L-proline  + ATP  + 2 H2O => L-glutamate  + ADP  + phosphate  + H(+)"	"R00251"	"5-oxo-L-proline + ATP + 2 H2O <=> L-glutamate + ADP + phosphate + H+"	"YKL215C"	"3.5.2.9"	"Glutathione metabolism"	0	"based on database;corrected reversibility based on simulation?"	"Add new reaction;"	"sce00480  glutathione metabolism"	"rhea:10348"	"NA"	NA	"MNXR102200"	"1 `H(+)` + 1 `ADP` + 1 `L-glutamate` + 1 `phosphate` = 2 `H2O` + 1 `ATP` + 1 `5-oxo-L-proline`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM89557@MNXD1 + 1 MNXM9@MNXD1 = 2 MNXM2@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM964@MNXD1"	"5-oxo-L-proline + ATP + 2 H2O => L-glutamate + ADP + H(+) + phosphate;L-glutamate + ADP + H(+) + phosphate => 5-oxo-L-proline + ATP + 2 H2O"
86	"Rh87"	"L-threo-3-hydroxyaspartate ammonia-lyase (EC 4.3.1.16) (L-threo-3-hydroxyaspartate dehydratase)"	"Threo-3-hydroxy-L-aspartate = oxaloacetate  + NH3"	"R05758"	"Threo-3-hydroxy-L-aspartate <=> oxaloacetate + ammonium"	"YKL218C"	"4.3.1.16"	"Other"	1	"based on database;"	"Add new reaction;"	"other"	"rhea:12424"	"NA"	NA	"MNXR109814"	"1 `NH4(+)` + 1 `oxaloacetate` = 1 `(3S)-3-hydroxy-L-aspartate`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM46@MNXD1 = 1 MNXM4918@MNXD1"	"(3S)-3-hydroxy-L-aspartate => NH4(+) + oxaloacetate;NH4(+) + oxaloacetate => (3S)-3-hydroxy-L-aspartate"
87	"Rh88"	"Ferric/cupric reductase transmembrane component 2 (EC 1.16.1.9) (Ferric-chelate reductase 2)"	"2 a Fe(II)-siderophore  + H(+)  + NADP(+) <=> 2 a Fe(III)-siderophore  + NADPH"	"R09541"	"2 a Fe(II)-siderophore + H+ + NADP(+) <=> 2 a Fe(III)-siderophore + NADPH"	"YKL220C;YLL051C;YLR214W;YNR060W;YOL152W;YOR381W;YOR384W"	"1.16.1.9"	"ferric-chelate reductase"	1	"based on database;"	"Can be added as the ec:1.16.1.9 could not find from the current model"	"ferric-chelate reductase"	"rhea:28795"	"NA"	NA	NA	"2 a Fe(II)-siderophore + H(+) + NADP(+) => 2 a Fe(III)-siderophore + NADPH;2 a Fe(III)-siderophore + NADPH => 2 a Fe(II)-siderophore + H(+) + NADP(+)"	"true"	NA	"2 a Fe(II)-siderophore + H(+) + NADP(+) => 2 a Fe(III)-siderophore + NADPH;2 a Fe(III)-siderophore + NADPH => 2 a Fe(II)-siderophore + H(+) + NADP(+)"
90	"Rh91"	"Glutathione S-transferase omega-like 2 (EC 2.5.1.18) (Extracellular mutant protein 4) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)"	"2 glutathione  + dehydroascorbate = glutathione disulfide  + ascorbate"	"R01108"	"2 glutathione + dehydroascorbate <=> glutathione disulfide + ascorbate"	"YKR076W;YGR154C"	"2.5.1.18; 1.8.5.1"	"Glutathione metabolism"	1	"based on database;"	"Add new reaction;  Not balanced ref to MNXR100442"	"sce00480  glutathione metabolism"	"rhea:24424"	"NA"	NA	"MNXR100442"	"1 `glutathione disulfide` + 1 `L-ascorbate` = 1 `H(+)` + 1 `L-dehydroascorbate` + 2 `glutathione`"	"true"	"1 MNXM151@MNXD1 + 1 MNXM89592@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM250@MNXD1 + 2 MNXM57@MNXD1"	"L-dehydroascorbate + 2 glutathione => L-ascorbate + glutathione disulfide;L-ascorbate + glutathione disulfide => L-dehydroascorbate + 2 glutathione"
93	"Rh94"	"Cyanamide hydratase DDI2 (CAH) (EC 4.2.1.69) (DNA damage-inducible protein 2)"	"Urea <=> Cyanamide  + H2O"	"R00778"	"urea <=> Cyanamide + H2O"	"YFL061W;YNL335W"	"4.2.1.69"	"Atrazine degradation"	1	"NA"	"Add new reaction;"	"sce00791  atrazine degradation"	"rhea:23056"	"NA"	NA	"MNXR106683"	"1 `urea` = 1 `H2O` + 1 `cyanamide`"	"true"	"1 MNXM117@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4538@MNXD1"	"urea => cyanamide + H2O;cyanamide + H2O => urea"
95	"Rh96"	"Probable pyridoxal 5'-phosphate synthase subunit SNO3 (EC 4.3.3.6) (PDX2 homolog 3) (Pdx2.3) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)"	"aldehydo-D-ribose 5-phosphate  + D-glyceraldehyde 3-phosphate  + L-glutamine <=> L-glutamate  + 3 H2O  + H(+)  + phosphate  + pyridoxal 5'-phosphate"	"R10089"	"aldehydo-D-ribose 5-phosphate + glyceraldehyde 3-phosphate + L-glutamine <=> L-glutamate + 3 H2O + H+ + phosphate + pyridoxal 5'-phosphate"	"YFL060C"	"4.3.3.6; 3.5.1.2"	"Vitamin B6 metabolism"	1	"NA"	"Add new reaction;"	"sce00750  vitamin b6 metabolism"	"rhea:31507"	"NA"	NA	"MNXR113465"	"1 `D-ribose 5-phosphate` + 1 `L-glutamine` + 1 `D-glyceraldehyde 3-phosphate` = 1 `H(+)` + 1 `pyridoxal 5'-phosphate` + 3 `H2O` + 1 `L-glutamate` + 1 `phosphate`"	"true"	"1 MNXM116@MNXD1 + 1 MNXM37@MNXD1 + 1 MNXM74@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM161@MNXD1 + 3 MNXM2@MNXD1 + 1 MNXM89557@MNXD1 + 1 MNXM9@MNXD1"	"aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine => L-glutamate + 3 H2O + H(+) + phosphate + pyridoxal 5'-phosphate;L-glutamate + 3 H2O + H(+) + phosphate + pyridoxal 5'-phosphate => aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine"
97	"Rh98"	"4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase THI5 (HMP-P synthase) (Hydroxymethylpyrimidine phosphate synthase) (Thiamine biosynthesis protein 5) (Thiamine pyrimidine synthase)"	"Pyridoxal phosphate  + L-Histidine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine"	"R10686"	"pyridoxal 5'-phosphate + L-histidine <=> 4-amino-2-methyl-5-phosphomethylpyrimidine"	"YFL058W;YDL244W;YJR156C;YNL332W"	"NA"	"Thiamine metabolism"	1	"NA"	"Add new reaction;"	"sce00730  thiamine metabolism"	"NA"	"NA"	"MNXR114006"	"MNXR114006"	"1 `L-histidine` + 1 `pyridoxal 5'-phosphate` = 1 `4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine`"	"ambiguous"	"1 MNXM134@MNXD1 + 1 MNXM161@MNXD1 = 1 MNXM790@MNXD1"	NA
99	"Rh100"	"Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)"	"Cys-Gly  + H2O <=> L-Cysteine  + Glycine"	"R00899"	"L-cysteinylglycine + H2O <=> L-cysteine + L-glycine"	"YFR044C"	"3.4.13.-"	"cysteine and methionine metabolism"	1	"NA"	"Add new reaction;"	"sce00270  cysteine and methionine metabolism"	"rhea:28783"	"NA"	NA	"MNXR95828"	"1 `glycine` + 1 `L-cysteine` = 1 `H2O` + 1 `L-cysteinylglycine`"	"true"	"1 MNXM29@MNXD1 + 1 MNXM55@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM683@MNXD1"	"L-cysteinylglycine + H2O => L-cysteine + glycine;L-cysteine + glycine => L-cysteinylglycine + H2O"
102	"Rh103"	"Phosphoglycerate mutase 2 (PGAM 2) (EC 5.4.2.11) (BPG-dependent PGAM 2) (MPGM 2) (Phosphoglyceromutase 2)"	"2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate"	"R01518"	"2-phospho-D-glyceric acid <=> 3-phosphonato-D-glycerate(3-)"	"YDL021W;YOR283W"	"5.4.2.11;3.1.3.-"	"Glycolysis / Gluconeogenesis"	1	"NA"	"Add new reaction;"	"sce00010  glycolysis / gluconeogenesis"	"rhea:15901"	"NA"	NA	"MNXR102547"	"1 `3-phospho-D-glycerate` = 1 `2-phospho-D-glycerate`"	"true"	"1 MNXM126@MNXD1 = 1 MNXM275@MNXD1"	"2-phospho-D-glycerate => 3-phospho-D-glycerate;3-phospho-D-glycerate => 2-phospho-D-glycerate"
103	"Rh104"	"Probable acid phosphatase DIA3 (EC 3.1.3.2) (Digs into agar protein 3)"	"FMN  + H2O <=> Riboflavin  + Orthophosphate"	"R00548"	"FMN + H2O <=> riboflavin + phosphate"	"YDL024C"	"3.1.3.2"	"Thiamine metabolism"	1	"NA"	"Add new reaction;"	"sce00730  thiamine metabolism"	"rhea:35587"	"NA"	NA	"MNXR95393"	"1 `FMN` + 1 `H2O` = 1 `riboflavin` + 1 `phosphate`"	"true"	"1 MNXM119@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM270@MNXD1 + 1 MNXM9@MNXD1"	"FMN + H2O => phosphate + riboflavin;phosphate + riboflavin => FMN + H2O"
104	"Rh105"	"Probable acid phosphatase DIA3 (EC 3.1.3.2) (Digs into agar protein 3)"	"Thiamin monophosphate  + H2O <=> Thiamine  + Orthophosphate"	"R02135"	"TMP + H2O <=> thiamine + phosphate"	"YDL024C"	"3.1.3.2"	"Thiamine metabolism"	1	"NA"	"Only merge the gene;"	"sce00730  thiamine metabolism"	"rhea:47948"	"NA"	NA	"MNXR104823"	"1 `H2O` + 1 `thiamine phosphate` = 1 `thiamine` + 1 `phosphate`"	"true"	"1 MNXM2@MNXD1 + 1 MNXM662@MNXD1 = 1 MNXM322@MNXD1 + 1 MNXM9@MNXD1"	"H2O + thiamine phosphate => phosphate + thiamine;phosphate + thiamine => H2O + thiamine phosphate"
105	"Rh106"	"Frataxin homolog, mitochondrial (EC 1.16.3.1) [Cleaved into: Frataxin homolog intermediate form]"	"4 Fe(2+)  + 4 H(+)  + O2 <=> 4 Fe(3+)  + 2 H2O"	"R00078"	"4 iron(2+) + 4 H+ + oxygen <=> 4 Fe(3+) + 2 H2O"	"YDL120W"	"1.16.3.1"	"iron-sulfur cluster biosynthesis"	1	"NA"	"Add new reaction;"	"iron-sulfur cluster biosynthesis"	"rhea:11148"	"NA"	NA	"MNXR99561"	"4 `Fe(3+)` + 2 `H2O` = 4 `H(+)` + 4 `Fe(2+)` + 1 `O2`"	"true"	"4 MNXM196@MNXD1 + 2 MNXM2@MNXD1 = 4 MNXM1@MNXD1 + 4 MNXM111@MNXD1 + 1 MNXM4@MNXD1"	"4 Fe(2+) + 4 H(+) + O2 => 4 Fe(3+) + 2 H2O;4 Fe(3+) + 2 H2O => 4 Fe(2+) + 4 H(+) + O2"
106	"Rh107"	"Adenylate kinase isoenzyme 6 homolog FAP7 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (POS9-activating factor 7)"	"ATP  + AMP <=> 2 ADP"	"R00127"	"ATP + AMP -> 2 ADP"	"YDL166C"	"2.7.4.3"	"Purine metabolism"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00230  purine metabolism"	"rhea:12973"	"NA"	NA	"MNXR95450"	"1 `AMP` + 1 `ATP` = 2 `ADP`"	"true"	"1 MNXM14@MNXD1 + 1 MNXM3@MNXD1 = 2 MNXM7@MNXD1"	"AMP + ATP => 2 ADP;2 ADP => AMP + ATP"
107	"Rh108"	"Adenylate kinase isoenzyme 6 homolog FAP7 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (POS9-activating factor 7)"	"ATP  + dAMP <=> ADP  + dADP"	"R01547"	"ATP + dAMP -> ADP + dADP"	"YDL166C"	"2.7.4.3"	"Purine metabolism"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00230  purine metabolism"	"rhea:23100"	"NA"	NA	"MNXR96117"	"1 `dADP` + 1 `ADP` = 1 `ATP` + 1 `dAMP`"	"true"	"1 MNXM374@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM432@MNXD1"	"ATP + dAMP => ADP + dADP;ADP + dADP => ATP + dAMP"
108	"Rh109"	"Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nuclear undecaprenyl pyrophosphate synthase 1) (Undecaprenyl diphosphate synthase) (UDS)"	"trans,trans-Farnesyl diphosphate  + n Isopentenyl diphosphate <=> Dehydrodolichol diphosphate  + n Diphosphate"	"R05556"	"farnesyl diphosphate + n isopentenyl diphosphate <=> Dehydrodolichol diphosphate + n diphosphate"	"YDL193W"	"2.5.1.87"	"Terpenoid backbone biosynthesis"	1	"NA"	"Can be added based on Rhea and KEGG"	"sce00900  terpenoid backbone biosynthesis"	"rhea:53008"	"NA"	"MNXR109678"	"MNXR109678"	"(n) `diphosphate` + 1 `dehydrodolichyl diphosphate` = 1 `(2E,6E)-farnesyl diphosphate` + (n) `isopentenyl diphosphate`"	"NA"	"(n) MNXM11@MNXD1 + 1 MNXM48918@MNXD1 = 1 MNXM34@MNXD1 + (n) MNXM83@MNXD1"	NA
112	"Rh113"	"4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)"	"4-nitrophenyl phosphate  + H2O <=> 4-nitrophenol  + phosphate"	"R03024"	"4-nitrophenyl phosphate + H2O <=> 4-nitrophenol + phosphate"	"YDL236W"	"3.1.3.41"	"Aminobenzoate degradation"	1	"NA"	"Add new reaction;"	"sce00627  aminobenzoate degradation"	"rhea:21664"	"NA"	NA	"MNXR107896"	"1 `H(+)` + 1 `4-nitrophenol` + 1 `phosphate` = 1 `H2O` + 1 `4-nitrophenyl phosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM526@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3867@MNXD1"	"4-nitrophenyl phosphate + H2O => 4-nitrophenol + H(+) + phosphate;4-nitrophenol + H(+) + phosphate => 4-nitrophenyl phosphate + H2O"
114	"Rh115"	"Sorbitol dehydrogenase 2 (EC 1.1.1.14) (L-iditol 2-dehydrogenase 2)"	"L-iditol  + NAD(+)= keto-L-sorbose  + NADH  + H(+)"	"R02896"	"L-iditol + NAD <=> L-sorbose + NADH + H+"	"YDL246C"	"1.1.1.14"	"Pentose and glucuronate interconversions"	1	"based on database;"	"Add new reaction;"	"sce00040  pentose and glucuronate interconversions"	"rhea:12725"	"NA"	NA	"MNXR115805"	"1 `H(+)` + 1 `NADH` + 1 `keto-D-sorbose` = 1 `D-iditol` + 1 `NAD(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM5703@MNXD1 = 1 MNXM3573@MNXD1 + 1 MNXM8@MNXD1"	"D-iditol + NAD(+) => keto-D-sorbose + H(+) + NADH;keto-D-sorbose + H(+) + NADH => D-iditol + NAD(+)"
115	"Rh116"	"Protein GAL3"	"ATP  + alpha-D-Galactose <=> ADP  + alpha-D-Galactose 1-phosphate"	"R01092"	"ATP + alpha-D-Galactose -> ADP + alpha-D-galactose 1-phosphate"	"YDR009W"	"NA"	"Galactose metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00052  galactose metabolism"	"rhea:13553"	"NA"	NA	"MNXR99985"	"1 `H(+)` + 1 `alpha-D-galactose 1-phosphate` + 1 `ADP` = 1 `ATP` + 1 `alpha-D-galactose`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM336@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM390@MNXD1"	"alpha-D-galactose + ATP => alpha-D-galactose 1-phosphate + ADP + H(+);alpha-D-galactose 1-phosphate + ADP + H(+) => alpha-D-galactose + ATP"
