"rxnID"	"name"	"reaction"
"rn:R03398"	"GDP-6-deoxy-D-talose:NADP+ 4-oxidoreductase"	"gdp-6-deoxy-d-talose + nadp(+) <=> gdp-4-dehydro-6-deoxy-d-mannose + nadph + h(+)"
"rn:R03399"	"GDP-6-deoxy-D-mannose:NADP+ 4-oxidoreductase"	"gdp-6-deoxy-d-mannose + nadp(+) <=> gdp-4-dehydro-6-deoxy-d-mannose + nadph + h(+)"
"rn:R03401"	"8-[(1R,2R)-3-oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate:NADP+ 4-oxidoreductase"	"8-[(1r,2r)-3-oxo-2-{(z)-pent-2-enyl}cyclopentyl]octanoate + nadp(+) <=> 12-opda + nadph + h(+)"
"rn:R03402"	"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate isomerase"	"(9z,15z)-(13s)-12,13-epoxyoctadeca-9,11,15-trienoic acid <=> 12-opda"
"rn:R03404"	"3beta-Hydroxyandrost-5-en-17-one 3-sulfate sulfohydrolase"	"dehydroepiandrosterone sulfate + h2o <=> dehydroepiandrosterone + sulfate"
"rn:R03405"	"3'-phosphoadenylylsulfate:alcohol sulfotransferase"	"3'-phosphoadenylyl sulfate + dehydroepiandrosterone <=> adenosine 3',5'-bisphosphate + dehydroepiandrosterone sulfate"
"rn:R03406"	"Androst-5-ene-3beta,17beta-diol:NAD+ oxidoreductase"	"androstenediol + nad(+) <=> dehydroepiandrosterone + nadh + h(+)"
"rn:R03407"	"Androst-5-ene-3beta,17beta-diol:NADP+ oxidoreductase"	"androstenediol + nadp(+) <=> dehydroepiandrosterone + nadph + h(+)"
"rn:R03408"	"NONE"	"dehydroepiandrosterone + h(+) + oxygen + nadph <=> 16alpha-hydroxydehydroepiandrosterone + nadp(+) + h2o"
"rn:R03409"	"guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase"	"guanosine 3'-diphosphate 5'-triphosphate + h2o <=> guanosine 3',5'-bis(diphosphate) + orthophosphate"
"rn:R03410"	"S-Adenosyl-L-methionine:unsaturated-phospholipid methyltransferase (methenylating)"	"s-adenosyl-l-methionine + phospholipid olefinic fatty acid <=> s-adenosyl-l-homocysteine + phospholipid methylene fatty acid"
"rn:R03411"	"S-Adenosyl-L-methionine:unsaturated-phospholipid methyltransferase (cyclizing)"	"s-adenosyl-l-methionine + phospholipid olefinic fatty acid <=> s-adenosyl-l-homocysteine + phospholipid cyclopropane fatty acid"
"rn:R03415"	"1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine aldehydohydrolase"	"1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine + h2o <=> aldehyde + sn-glycero-3-phosphoethanolamine"
"rn:R03416"	"1-Acyl-sn-glycero-3-phosphoethanolamine aldehydohydrolase"	"1-acyl-sn-glycero-3-phosphoethanolamine + h2o <=> fatty acid + sn-glycero-3-phosphoethanolamine"
"rn:R03417"	"L-2-Lysophosphatidylethanolamine aldehydohydrolase"	"2-acyl-sn-glycero-3-phosphoethanolamine + h2o <=> fatty acid + sn-glycero-3-phosphoethanolamine"
"rn:R03418"	"1-alpha-D-Galactosyl-myo-inositol:raffinose galactosyltransferase"	"alpha-d-galactosyl-(1->3)-1d-myo-inositol + raffinose <=> myo-inositol + stachyose"
"rn:R03421"	"N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine amidohydrolase"	"n4-(acetyl-beta-d-glucosaminyl)asparagine + h2o <=> n-acetyl-beta-d-glucosaminylamine + l-aspartate"
"rn:R03422"	"Nucleoside-2',3'-cyclic-phosphate 2'-nucleotidohydrolase"	"2',3'-cyclic nucleotide + h2o <=> nucleoside 2'-phosphate"
"rn:R03423"	"Nucleoside-2',3'-cyclic-phosphate 3'-nucleotidohydrolase"	"2',3'-cyclic nucleotide + h2o <=> nucleoside 3'-phosphate"
"rn:R03424"	"S-adenosyl-L-methionine:phosphatidyl-N-methylethanolamine N-methyltransferase"	"s-adenosyl-l-methionine + phosphatidyl-n-methylethanolamine <=> s-adenosyl-l-homocysteine + phosphatidyl-n-dimethylethanolamine"
"rn:R03425"	"glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)"	"glycine + lipoylprotein <=> s-aminomethyldihydrolipoylprotein + co2"
"rn:R03427"	"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase"	"1d-myo-inositol 1,3,4-trisphosphate + h2o <=> d-myo-inositol 3,4-bisphosphate + orthophosphate"
"rn:R03428"	"ATP:1D-myo-inositol-1,3,4-trisphosphate 5-phosphotransferase"	"atp + 1d-myo-inositol 1,3,4-trisphosphate <=> adp + 1d-myo-inositol 1,3,4,5-tetrakisphosphate"
"rn:R03429"	"ATP:1D-myo-inositol-1,3,4-trisphosphate 6-phosphotransferase"	"atp + 1d-myo-inositol 1,3,4-trisphosphate <=> adp + 1d-myo-inositol 1,3,4,6-tetrakisphosphate"
"rn:R03430"	"D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase"	"1d-myo-inositol 1,3,4,5-tetrakisphosphate + h2o <=> 1d-myo-inositol 1,3,4-trisphosphate + orthophosphate"
"rn:R03431"	"3-(3,5-Diiodo-4-hydroxyphenyl)lactate:NAD+ oxidoreductase"	"3-(3,5-diiodo-4-hydroxyphenyl)lactate + nad(+) <=> 3,5-diiodo-4-hydroxyphenylpyruvate + nadh + h(+)"
"rn:R03433"	"ATP:1D-myo-inositol-1,4,5-trisphosphate 3-phosphotransferase"	"atp + d-myo-inositol 1,4,5-trisphosphate <=> adp + 1d-myo-inositol 1,3,4,5-tetrakisphosphate"
"rn:R03434"	"D-myo-Inositol 1,3,4,5-tetrakisphosphate 3-phosphohydrolase"	"1d-myo-inositol 1,3,4,5-tetrakisphosphate + h2o <=> d-myo-inositol 1,4,5-trisphosphate + orthophosphate"
"rn:R03435"	"1-Phosphatidyl-1D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase"	"1-phosphatidyl-d-myo-inositol 4,5-bisphosphate + h2o <=> d-myo-inositol 1,4,5-trisphosphate + 1,2-diacyl-sn-glycerol"
"rn:R03437"	"Acetyl-CoA:1-alkyl-sn-glycero-3-phosphocholine 2-O-acetyltransferase"	"acetyl-coa + 1-organyl-2-lyso-sn-glycero-3-phosphocholine <=> coa + 2-acetyl-1-alkyl-sn-glycero-3-phosphocholine"
"rn:R03438"	"Acyl-CoA:1-alkyl-sn-glycero-3-phosphocholine O-acyltransferase"	"acyl-coa + 1-organyl-2-lyso-sn-glycero-3-phosphocholine <=> coa + 1-radyl-2-acyl-sn-glycero-3-phosphocholine"
"rn:R03439"	"kynurenate:oxygen oxidoreductase (hydroxylating)"	"4-hydroxy-2-quinolinecarboxylic acid + oxygen + nadh + h(+) <=> 7,8-dihydro-7,8-dihydroxykynurenate + nad(+)"
"rn:R03440"	"kynurenate:oxygen oxidoreductase (hydroxylating)"	"4-hydroxy-2-quinolinecarboxylic acid + oxygen + nadph + h(+) <=> 7,8-dihydro-7,8-dihydroxykynurenate + nadp(+)"
"rn:R03441"	"Kynurenate,acceptor:oxygen oxidoreductase (hydroxylating)"	"4-hydroxy-2-quinolinecarboxylic acid + reduced acceptor + oxygen <=> 7,8-dihydro-7,8-dihydroxykynurenate + acceptor"
"rn:R03443"	"N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)"	"n-acetyl-l-glutamate 5-semialdehyde + orthophosphate + nadp(+) <=> n-acetyl-l-glutamate 5-phosphate + nadph + h(+)"
"rn:R03444"	"(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase"	"(r)-2-hydroxybutane-1,2,4-tricarboxylate <=> (z)-but-1-ene-1,2,4-tricarboxylate + h2o"
"rn:R03445"	"NONE"	"4-(2-aminophenyl)-2,4-dioxobutanoate <=> 4-hydroxy-2-quinolinecarboxylic acid + h2o"
"rn:R03446"	"ADP-D-ribosyl-[dinitrogen reductase] ADP-ribosylhydrolase"	"adp-d-ribosyl-[dinitrogen reductase] + h2o <=> [dinitrogen reductase] + adp-ribose"
"rn:R03447"	"NAD+:[dinitrogen reductase](ADP-D-ribosyl)transferase"	"nad(+) + [dinitrogen reductase] <=> nicotinamide + adp-d-ribosyl-[dinitrogen reductase]"
"rn:R03448"	"1,8-diazacyclotetradecane-2,9-dione lactamhydrolase"	"1,8-diazacyclotetradecane-2,9-dione + h2o <=> n-(6-aminohexanoyl)-6-aminohexanoate"
"rn:R03449"	"ATP:[pyruvate dehydrogenase (lipoamide)] phosphotransferase"	"atp + [pyruvate dehydrogenase (acetyl-transferring)] <=> adp + [pyruvate dehydrogenase (acetyl-transferring)] phosphate"
"rn:R03450"	"[Pyruvate dehydrogenase (lipoamide)]-phosphate phosphohydrolase"	"[pyruvate dehydrogenase (acetyl-transferring)] phosphate + h2o <=> [pyruvate dehydrogenase (acetyl-transferring)] + orthophosphate"
"rn:R03451"	"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)"	"n6,n6,n6-trimethyl-l-lysine + 2-oxoglutarate + oxygen <=> 3-hydroxy-n6,n6,n6-trimethyl-l-lysine + succinate + co2"
"rn:R03452"	"(6aR,11aR)-3,9-dihydroxypterocarpan,NADPH:oxygen oxidoreductase (6a-hydroxylating)"	"3,9-dihydroxypterocarpan + oxygen + nadph + h(+) <=> 3,6,9-trihydroxypterocarpan + nadp(+) + h2o"
"rn:R03454"	"1-Alkyl-2-acetyl-sn-glycero-3-phosphate phosphohydrolase"	"2-acetyl-1-alkyl-sn-glycero-3-phosphate + h2o <=> 1-alkyl-2-acetyl-sn-glycerol + orthophosphate"
"rn:R03455"	"Acetyl-CoA:1-alkyl-sn-glycero-3-phosphate 2-O-acetyltransferase"	"acetyl-coa + 1-alkyl-sn-glycero-3-phosphate <=> coa + 2-acetyl-1-alkyl-sn-glycero-3-phosphate"
"rn:R03456"	"S-Adenosyl-L-methionine:3',4',5-trihydroxy-3,7-dimethoxyflavone 4'-O-methyltransferase"	"s-adenosyl-l-methionine + 3,7-di-o-methylquercetin <=> s-adenosyl-l-homocysteine + 3,7,4'-tri-o-methylquercetin"
"rn:R03457"	"D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase"	"d-erythro-1-(imidazol-4-yl)glycerol 3-phosphate <=> 3-(imidazol-4-yl)-2-oxopropyl phosphate + h2o"
"rn:R03458"	"5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase"	"5-amino-6-(5'-phospho-d-ribitylamino)uracil + nadp(+) <=> 5-amino-6-(5'-phosphoribosylamino)uracil + nadph + h(+)"
"rn:R03459"	"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase"	"2,5-diamino-6-(5-phospho-d-ribosylamino)pyrimidin-4(3h)-one + h2o <=> 5-amino-6-(5'-phosphoribosylamino)uracil + ammonia"
"rn:R03460"	"Phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase"	"phosphoenolpyruvate + shikimate 3-phosphate <=> orthophosphate + 5-o-(1-carboxyvinyl)-3-phosphoshikimate"
"rn:R03461"	"3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-carboxy-lyase"	"3-hydroxy-2-methylpyridine-4,5-dicarboxylate <=> 3-hydroxy-2-methylpyridine-5-carboxylate + co2"
"rn:R03462"	"Biphenyl-2,3-diol:oxygen 1,2-oxidoreductase (decyclizing)"	"biphenyl-2,3-diol + oxygen <=> 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate"
"rn:R03463"	"2,6-dioxo-6-phenylhexanoate:NADP+ delta2-oxidoreductase"	"2,6-dioxo-6-phenylhexanoate + nadp(+) <=> 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate + nadph + h(+)"
"rn:R03464"	"5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)"	"5,10-methenyltetrahydromethanopterin + h2o <=> 5-formyl-5,6,7,8-tetrahydromethanopterin + h(+)"
"rn:R03465"	"(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate 2-carboxybenzaldehyde-lyase"	"(3e)-4-(2-carboxyphenyl)-2-oxobut-3-enoate + h2o <=> 2-carboxybenzaldehyde + pyruvate"
"rn:R03466"	"1-Hydroxy-2-naphthoate:oxygen 1,2-oxidoreductase (decyclizing)"	"1-hydroxy-2-naphthoate + oxygen <=> (3e)-4-(2-carboxyphenyl)-2-oxobut-3-enoate"
"rn:R03467"	"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol acylhydrolase"	"1,2-diacyl-3-beta-d-galactosyl-sn-glycerol + 2 h2o <=> 3-beta-d-galactosyl-sn-glycerol + 2 carboxylate"
"rn:R03468"	"CMP-N-acetylneuraminate:1,2-diacyl-3-beta-D-galactosyl-sn-glycerol N-acetylneuraminyltransferase"	"cmp-n-acetylneuraminate + 1,2-diacyl-3-beta-d-galactosyl-sn-glycerol <=> cmp + 1,2-diacyl-3-[3-(alpha-d-n-acetylneuraminyl)-beta-d-galactosyl]-sn-glycerol"
"rn:R03469"	"ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 5-phosphotransferase"	"atp + 1-phosphatidyl-1d-myo-inositol 4-phosphate <=> adp + 1-phosphatidyl-d-myo-inositol 4,5-bisphosphate"
"rn:R03470"	"4-Carboxymuconolactone carboxy-lyase"	"2-carboxy-2,5-dihydro-5-oxofuran-2-acetate <=> 2-oxo-2,3-dihydrofuran-5-acetate + co2"
"rn:R03471"	"ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase"	"atp + 4-amino-5-hydroxymethyl-2-methylpyrimidine <=> adp + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine"
"rn:R03472"	"5-amino-1-(5-phospho-D-ribosyl)imidazole formate-lyase (decarboxylating, 4-amino-2-methyl-5-phosphomethylpyrimidine-forming)"	"aminoimidazole ribotide + s-adenosyl-l-methionine <=> 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-deoxyadenosine + l-methionine + formate + co"
"rn:R03473"	"ATP:[L-glutamate:ammonia ligase (ADP-forming)] adenylyltransferase"	"atp + [l-glutamate:ammonia ligase (adp-forming)] <=> diphosphate + adenylyl-[l-glutamate:ammonia ligase (adp-forming)]"
"rn:R03474"	"[L-glutamate:ammonia ligase (ADP-forming)]-O4-(5'-adenylyl)-L-tyrosine:phosphate adenylyltransferase"	"adenylyl-[l-glutamate:ammonia ligase (adp-forming)] + orthophosphate <=> adp + [l-glutamate:ammonia ligase (adp-forming)]"
"rn:R03475"	"1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NAD+ delta12-oxidoreductase"	"1-acyl-2-oleoyl-sn-glycero-3-phosphocholine + nad(+) <=> 1-acyl-2-linoleoyl-sn-glycero-3-phosphocholine + nadh + h(+)"
"rn:R03476"	"1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NADH:oxygen oxidoreductase (12-hydroxylating)"	"1-acyl-2-oleoyl-sn-glycero-3-phosphocholine + oxygen + nadh + h(+) <=> 1-acyl-2-[(s)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine + nad(+) + h2o"
"rn:R03477"	"L-Arginine:1-amino-1-deoxy-scyllo-inositol-4-phosphate amindinotransferase"	"l-arginine + 1-amino-1-deoxy-scyllo-inositol 4-phosphate <=> l-ornithine + 1-guanidino-1-deoxy-scyllo-inositol 4-phosphate"
"rn:R03478"	"ATP:1D-myo-inositol-1,3,4,6-tetrakisphosphate 5-phosphotransferase"	"atp + 1d-myo-inositol 1,3,4,6-tetrakisphosphate <=> adp + 1d-myo-inositol 1,3,4,5,6-pentakisphosphate"
"rn:R03479"	"ATP:1D-myo-inositol-3,4,5,6-tetrakisphosphate 1-phosphotransferase"	"atp + 1d-myo-inositol 3,4,5,6-tetrakisphosphate <=> adp + 1d-myo-inositol 1,3,4,5,6-pentakisphosphate"
"rn:R03482"	"N-Acetyl-D-glucosaminylphosphatidylinositol acetyhydrolase"	"n-acetyl-d-glucosaminylphosphatidylinositol + h2o <=> 6-(alpha-d-glucosaminyl)-1-phosphatidyl-1d-myo-inositol + acetate"
"rn:R03486"	"UDP-alpha-D-galactose:beta-D-galactosyl-(1->4)-D-glucosyl-(1<->1)-ceramide 4II-alpha-D-galactosyltransferase"	"udp-alpha-d-galactose + beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide <=> udp + alpha-d-galactosyl-(1->4)-beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide"
"rn:R03488"	"CMP-N-acetylneuraminate:lactosylceramide alpha-2,3-N-acetylneuraminyltransferase"	"cmp-n-acetylneuraminate + beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide <=> cmp + gm3"
"rn:R03489"	"CMP-N-acetylneuraminate:lactosylceramide alpha-2,6-N-acetylneuraminyltransferase"	"cmp-n-acetylneuraminate + beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide <=> cmp + alpha-n-acetylneuraminyl-2,6-beta-galactosyl-1,4-beta-d-glucosylceramide"
"rn:R03490"	"UDP-N-Acetyl-D-galactosamine:(N-acetylneuraminyl)-D-galactosyl--D-glucosylceramide N-acetyl-D-galactrosaminyltransferase"	"udp-n-acetyl-d-galactosamine + beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide <=> udp + ga2"
"rn:R03491"	"NONE"	"beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide + n-acetylneuraminate <=> gm3 + h2o"
"rn:R03492"	"beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase"	"ga2 + h2o <=> beta-d-galactosyl-(1->4)-beta-d-glucosyl-(1<->1)-ceramide + n-acetyl-d-galactosamine"
"rn:R03493"	"3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA hydro-lyase"	"3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-coa <=> 3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-coa + h2o"
"rn:R03494"	"geranoyl-CoA:carbon-dioxide ligase (ADP-forming)"	"atp + geranoyl-coa + hco3- <=> adp + orthophosphate + 3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-coa"
"rn:R03495"	"12beta-hydroxysteroid:NADP+ 12-oxidoreductase"	"3alpha,7alpha,12beta-trihydroxy-5beta-cholanate + nadp(+) <=> 3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate + nadph + h(+)"
"rn:R03496"	"1-Guanidino-1-deoxy-scyllo-inositol-4-phosphate 4-phosphohydrolase"	"1-guanidino-1-deoxy-scyllo-inositol 4-phosphate + h2o <=> 1-guanidino-1-deoxy-scyllo-inositol + orthophosphate"
"rn:R03497"	"5-O-Methyl-myo-inositol:NAD+ oxidoreductase"	"5-o-methyl-myo-inositol + nad(+) <=> 2d-5-o-methyl-2,3,5/4,6-pentahydroxycyclohexanone + nadh + h(+)"
"rn:R03498"	"D-pinitol:NADP+ oxidoreductase"	"d-pinitol + nadp(+) <=> 2d-5-o-methyl-2,3,5/4,6-pentahydroxycyclohexanone + nadph + h(+)"
"rn:R03502"	"1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol:pyruvate aminotransferase"	"1d-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol + pyruvate <=> 1d-1-guanidino-1-deoxy-3-dehydro-scyllo-inositol + l-alanine"
"rn:R03503"	"ATP:6-hydroxymethyl-7,8-dihydropterin 6'-diphosphotransferase"	"atp + 6-(hydroxymethyl)-7,8-dihydropterin <=> amp + 6-hydroxymethyl-7,8-dihydropterin diphosphate"
"rn:R03504"	"7,8-dihydroneopterin glycolaldehyde-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]"	"7,8-dihydroneopterin <=> glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin"
"rn:R03506"	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al:NAD+ 26-oxidoreductase"	"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al + nad(+) + h2o <=> 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate + nadh + h(+)"
"rn:R03507"	"NONE"	"3alpha,7alpha,12alpha,26-tetrahydroxy-5beta-cholestane + oxygen + 2 h(+) + 2 reduced adrenal ferredoxin <=> 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al + 2 h2o + 2 oxidized adrenal ferredoxin"
"rn:R03508"	"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)"	"1-(2-carboxyphenylamino)-1-deoxy-d-ribulose 5-phosphate <=> indoleglycerol phosphate + co2 + h2o"
"rn:R03509"	"N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase"	"n-(5-phospho-d-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-d-ribulose 5-phosphate"
"rn:R03510"	"Phylloquinone, hydrogen-donor:oxygen oxidoreductase (2,3-epoxidizing)"	"phylloquinone + reduced acceptor + oxygen <=> vitamin k1 epoxide + acceptor + h2o"
"rn:R03511"	"phylloquinone:oxidized-dithiothreitol oxidoreductase"	"phylloquinone + oxidized dithiothreitol + h2o <=> vitamin k1 epoxide + dithiothreitol"
"rn:R03512"	"3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-dithiothreitol oxidoreductase"	"3-hydroxy-vitamin k + oxidized dithiothreitol <=> vitamin k1 epoxide + dithiothreitol"
"rn:R03513"	"UDP-N-acetyl-D-glucosamine:O-glycosyl-glycoprotein (N-acetyl-D-glucosamine to N-acetyl-D-galactosaminyl-R) beta-1,3-N-acetyl-D-glucosaminyltransferase"	"udp-n-acetyl-alpha-d-glucosamine + n-acetyl-alpha-d-galactosaminyl-polypeptide <=> udp + n-acetyl-beta-d-glucosaminyl-(1->3)-n-acetyl-d-galactosaminyl-r"
"rn:R03514"	"UDP-N-acetyl-D-glucosamine:O-oligosaccharide-glycoprotein (N-acetyl-D-glucosamine to N-acetyl-D-galactosamine of N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-D-galactosaminyl-R) beta-1,6-N-acetyl-D-glucosaminyltransferase"	"udp-n-acetyl-alpha-d-glucosamine + n-acetyl-beta-d-glucosaminyl-(1->3)-n-acetyl-d-galactosaminyl-r <=> udp + n-acetyl-beta-d-glucosaminyl-(1->6)-[n-acetyl-beta-d-glucosaminyl-(1->3)]-n-acetyl-alpha-d-galactosaminyl-r"
"rn:R03515"	"[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]-phosphate phosphohydrolase"	"[3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)] phosphate + h2o <=> [3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)] + orthophosphate"
"rn:R03516"	"ATP:[3-methyl-2-oxobutanoate dehydrogenase (lipoamide)] phosphotransferase"	"atp + [3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)] <=> adp + [3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)] phosphate"
"rn:R03517"	"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine-4-sulfate 4-sulfohydrolase"	"4-deoxy-beta-d-gluc-4-enuronosyl-(1,3)-n-acetyl-d-galactosamine 4-sulfate + h2o <=> 4-deoxy-beta-d-gluc-4-enuronosyl-(1,3)-n-acetyl-d-galactosamine + sulfate"
"rn:R03518"	"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine-6-sulfate 6-sulfohydrolase"	"4-deoxy-beta-d-gluc-4-enuronosyl-(1,3)-n-acetyl-d-galactosamine 6-sulfate + h2o <=> 4-deoxy-beta-d-gluc-4-enuronosyl-(1,3)-n-acetyl-d-galactosamine + sulfate"
"rn:R03519"	"GDP-L-fucose:1,4-beta-D-galactosyl-N-acetyl-D-glucosaminyl-R 3-L-fucosyltransferase"	"gdp-l-fucose + 1,4-beta-d-galactosyl-n-acetyl-d-glucosaminyl-r <=> gdp + 1,4-beta-d-galactosyl-(alpha-1,3-l-fucosyl)-n-acetyl-d-glucosaminyl-r"
"rn:R03520"	"(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate:NADP+ 15-oxidoreductase"	"prostaglandin i2 + nadp(+) <=> (5z,13e)-6,9alpha-epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate + nadph + h(+)"
"rn:R03521"	"NONE"	"prostaglandin i2 + h2o <=> 6-keto-prostaglandin f1alpha"
"rn:R03522"	"RX:glutathione R-transferase"	"rx + glutathione <=> halide + r-s-glutathione"
"rn:R03523"	"Bromochloromethane halidohydrolase"	"bromochloromethane + h2o <=> formaldehyde + bromide + cl- + 2 h(+)"
"rn:R03524"	"L-cysteine hydrogen-sulfide-lyase (adding HCN)"	"l-cysteine + hydrogen cyanide <=> hydrogen sulfide + 3-cyano-l-alanine"
"rn:R03526"	"UDP-glucose:beta-D-glucosyltransferase (acceptor-unspecific)"	"udp-glucose + roh <=> udp + beta-d-glucoside"
"rn:R03527"	"D-Glucoside glucohydrolase"	"beta-d-glucoside + h2o <=> d-glucose + roh"
"rn:R03528"	"L-cysteine-S-conjugate aryl-thiol-lyase (deaminating; pyruvate-forming)"	"l-cysteine-s-conjugate + h2o <=> aryl thiol + ammonia + pyruvate"
"rn:R03529"	"alkylmercury mercuric-lyase (alkane-forming)"	"alkylmercury + h(+) <=> alkane + mercury(2+)"
"rn:R03530"	"ATP:dIDP phosphotransferase"	"atp + didp <=> adp + ditp"
"rn:R03531"	"2'-Deoxyinosine-5'-triphosphate pyrophosphohydrolase; dITP diphosphohydrolase (diphosphate-forming)"	"ditp + h2o <=> 2'-deoxyinosine 5'-phosphate + diphosphate"
"rn:R03532"	"donor:hydrogen-peroxide oxidoreductase"	"reduced acceptor + hydrogen peroxide <=> acceptor + 2 h2o"
"rn:R03533"	"donor:sulfur oxidoreductase"	"sulfur + reduced acceptor <=> hydrogen sulfide + acceptor"
"rn:R03534"	"2-Hydroxyglutarate:(acceptor) 2-oxidoreductase"	"2-hydroxyglutarate + fad <=> 2-oxoglutarate + fadh2"
"rn:R03535"	"NONE"	"pqqh2 + propynoate <=> 2-propynal + pqq + h2o"
"rn:R03537"	"2',3'-Cyclic AMP 3'-nucleotidohydrolase"	"2',3'-cyclic amp + h2o <=> 3'-amp"
"rn:R03538"	"2',3'-Cyclic UMP 3'-nucleotidohydrolase"	"2',3'-cyclic ump + h2o <=> 3'-ump"
"rn:R03539"	"NONE"	"hydroiodic acid + 3-iodo-l-tyrosine <=> iodine + l-tyrosine"
"rn:R03540"	"maleamate amidohydrolase"	"maleic acid + ammonia <=> maleamate + h2o"
"rn:R03541"	"prenyl-diphosphate diphosphohydrolase"	"prenyl diphosphate + h2o <=> prenol + diphosphate"
"rn:R03542"	"alpha-Aminopropiononitrile aminohydrolase"	"alpha-aminopropiononitrile + 2 h2o <=> alanine + ammonia"
"rn:R03543"	"benzene,NADH:oxygene 1,2-oxidoreductase"	"benzene + oxygen + nadh + h(+) <=> cis-1,2-dihydrobenzene-1,2-diol + nad(+)"
"rn:R03544"	"NONE"	"butanal + nadh + h(+) <=> 1-butanol + nad(+)"
"rn:R03545"	"NONE"	"butanal + nadph + h(+) <=> 1-butanol + nadp(+)"
"rn:R03546"	"carbamate hydro-lyase; cyanate hydratase; cyanate C-N-lyase"	"cyanate + h(+) + hco3- <=> co2 + carbamate"
