"ID0"	"reaction"	"subsystem"	"reaction0"	"rxnID"
"Rh140"	"UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143"	"lycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"udp-n-acetyl-d-glucosamine + 1-phosphatidyl-d-myo-inositol <=> udp + g00143"	"rn:R05916"
"Rh141"	"5-phospho-alpha-D-ribose 1-diphosphate + adenine => AMP + diphosphate"	"Purine metabolism"	"5-phospho-alpha-d-ribose 1-diphosphate + adenine => amp + diphosphate"	"NA"
"Rh142"	"Polyphosphate + n H2O <=> (n+1) oligophosphate"	"other"	"polyphosphate + n h2o <=> (n+1) oligophosphate"	"rn:R00001"
"Rh143"	"(Polyphosphate)(n) + H2O <=> (polyphosphate)(n-1) + phosphate"	"other"	"(polyphosphate)(n) + h2o <=> (polyphosphate)(n-1) + phosphate"	"NA"
"Rh144"	"dATP + H2O <=> dADP + phosphate"	"other"	"datp + h2o <=> dadp + phosphate"	"NA"
"Rh145"	"Na(+)(out) + H(+)(in) <=> Na(+)(in) + H(+)(out)"	"Na+/H+ exchanger transport; K+/H+ exchanger transport"	"na(+)(out) + h(+)(in) <=> na(+)(in) + h(+)(out)"	"NA"
"Rh146"	"K(+)(out) + H(+)(in) <=> K(+)(in) + H(+)(out)"	"Na+/H+ exchanger transport; K+/H+ exchanger transport"	"k(+)(out) + h(+)(in) <=> k(+)(in) + h(+)(out)"	"NA"
"Rh147"	"ATP + D-glucose <=> ADP + D-glucose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-glucose <=> adp + d-glucose 6-phosphate"	"rn:R00299"
"Rh148"	"(R)-lactate <=> methylglyoxal + H2O"	"Methylglyoxal Metabolism"	"(r)-lactate <=> methylglyoxal + h2o"	"rn:R09796"
"Rh149"	"Ca(2+)[out] + ATP + H2O <=> Ca(2+)[in] + ADP + phosphate + H(+)"	"Ca2+ transport"	"ca(2+)[out] + atp + h2o <=> ca(2+)[in] + adp + phosphate + h(+)"	"NA"
"Rh150"	"L-Arginyl-tRNA(Arg) + Protein <=> tRNA(Arg) + L-Arginyl-protein"	"other"	"l-arginyl-trna(arg) + protein <=> trna(arg) + l-arginyl-protein"	"rn:R03862"
"Rh151"	"a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex + an [Fe-S cluster biosynthesis co-chaperone] => a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + L-cysteine desulfurase"	"iron-sulfur cluster biosynthesis"	"a [cysteine desulfurase]-[scaffold protein-(2fe-2s)] complex + an [fe-s cluster biosynthesis co-chaperone] => a [co-chaperone]-[scaffold protein-(2fe-2s)] complex + l-cysteine desulfurase"	"NA"
"Rh152"	"Dolichyl diphosphooligosaccharide + Protein asparagine <=> Dolichyl diphosphate + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine"	"N-Glycan biosynthesis"	"dolichyl diphosphooligosaccharide + protein asparagine <=> dolichyl diphosphate + glycoprotein with the oligosaccharide chain attached by n-glycosyl linkage to protein l-asparagine"	"rn:R04216"
"Rh153"	"Protein asparagine + G00008 <=> Dolichyl diphosphate + G00009"	"N-Glycan biosynthesis"	"protein asparagine + g00008 <=> dolichyl diphosphate + g00009"	"rn:R05976"
"Rh154"	"H2O + G00009 <=> D-Glucose + G00171"	"N-Glycan biosynthesis"	"h2o + g00009 <=> d-glucose + g00171"	"rn:R05979"
"Rh155"	"GDP-D-mannose + G10694 <=> GDP + G01813"	"Various types of N-glycan biosynthesis"	"gdp-d-mannose + g10694 <=> gdp + g01813"	"rn:R08599"
"Rh156"	"GDP-D-mannose + G00003 <=> GDP + G00004"	"N-Glycan biosynthesis"	"gdp-d-mannose + g00003 <=> gdp + g00004"	"rn:R05973"
"Rh157"	"GDP-D-mannose + G00004 <=> GDP + G00005"	"N-Glycan biosynthesis"	"gdp-d-mannose + g00004 <=> gdp + g00005"	"rn:R06238"
"Rh158"	"2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate + H2O => D-mannopyranose 6-phosphate + D-glycerate"	"Other glycan degradation"	"2-o-(6-phospho-alpha-d-mannosyl)-d-glycerate + h2o => d-mannopyranose 6-phosphate + d-glycerate"	"NA"
"Rh159"	"an alpha-D-mannoside + H2O => alpha-D-mannopyranose + a non glycosylated sugar acceptor"	"Other glycan degradation"	"an alpha-d-mannoside + h2o => alpha-d-mannopyranose + a non glycosylated sugar acceptor"	"NA"
"Rh160"	"L-Threonine + ATP + HCO3(-) + H(+) + <=> L-Threonylcarbamoyladenylate + Diphosphate + H2O"	"Other"	"l-threonine + atp + hco3(-) + h(+) + <=> l-threonylcarbamoyladenylate + diphosphate + h2o"	"NA"
"Rh161"	"D-Serine <=> Pyruvate + Ammonia"	"Glycine, serine and threonine metabolism"	"d-serine <=> pyruvate + ammonia"	"rn:R00221"
"Rh162"	"O-acetyl-L-serine + hydrogen sulfide <=> L-cysteine + acetate"	"Cysteine and methionine metabolism"	"o-acetyl-l-serine + hydrogen sulfide <=> l-cysteine + acetate"	"rn:R00897"
"Rh163"	"Dolichyl diphosphate + H2O <=> Dolichyl phosphate + Orthophosphate"	"N-Glycan biosynthesis"	"dolichyl diphosphate + h2o <=> dolichyl phosphate + orthophosphate"	"rn:R01004"
"Rh164"	"Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate"	"Pentose phosphate pathway"	"sedoheptulose 7-phosphate + d-glyceraldehyde 3-phosphate <=> d-erythrose 4-phosphate + beta-d-fructose 6-phosphate"	"rn:R01827"
"Rh165"	"CTP + phosphatidate = diphosphate + CDP-diacylglycerol"	"Glycerophospholipid metabolism"	"ctp + phosphatidate = diphosphate + cdp-diacylglycerol"	"NA"
"Rh166"	"NAD(+) + Glycine + Sulfur donor <=> ADP-5-ethyl-4-methylthiazole-2-carboxylate + Nicotinamide + 3 H2O"	"Thiamine metabolism"	"nad(+) + glycine + sulfur donor <=> adp-5-ethyl-4-methylthiazole-2-carboxylate + nicotinamide + 3 h2o"	"rn:R10685"
"Rh167"	"Dolichyl D-glucosyl phosphate + G10599 <=> Dolichyl phosphate + G00008"	"N-Glycan biosynthesis"	"dolichyl d-glucosyl phosphate + g10599 <=> dolichyl phosphate + g00008"	"rn:R06264"
"Rh168"	"2 nitric oxide + 2 O2 + NAD(P)H <=> 2 nitrate + NAD(P) + + H(+)"	"Nitrogen Metabolism"	"2 nitric oxide + 2 o2 + nad(p)h <=> 2 nitrate + nad(p) + + h(+)"	"NA"
"Rh169"	"2 an oxidized c-type cytochrome[out] + an ubiquinol[membrane] => 2 a reduced c-type cytochrome[out] + a ubiquinone[membrane] + 2 H(+)[out]"	"Oxidative phosphorylation"	"2 an oxidized c-type cytochrome[out] + an ubiquinol[membrane] => 2 a reduced c-type cytochrome[out] + a ubiquinone[membrane] + 2 h(+)[out]"	"NA"
"Rh170"	"ATP + (R)-Lipoate <=> Diphosphate + Lipoyl-AMP"	"Lipoic acid metabolism"	"atp + (r)-lipoate <=> diphosphate + lipoyl-amp"	"rn:R07770"
"Rh171"	"Lipoyl-AMP + Apoprotein <=> Protein N6-(lipoyl)lysine + AMP"	"Lipoic acid metabolism"	"lipoyl-amp + apoprotein <=> protein n6-(lipoyl)lysine + amp"	"rn:R07771"
"Rh172"	"ATP + (R)-Lipoate + Apoprotein <=> Protein N6-(lipoyl)lysine + AMP + Diphosphate"	"Lipoic acid metabolism"	"atp + (r)-lipoate + apoprotein <=> protein n6-(lipoyl)lysine + amp + diphosphate"	"rn:R11143"
"Rh173"	"Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"phosphatidylethanolamine + g00141 <=> 1,2-diacyl-sn-glycerol + g00151"	"rn:R05924"
"Rh174"	"N-(4-oxoglutarate)-L-cysteinylglycine + H2O <=> 2-oxoglutarate + L-cysteinylglycine"	"other"	"n-(4-oxoglutarate)-l-cysteinylglycine + h2o <=> 2-oxoglutarate + l-cysteinylglycine"	"NA"
"Rh175"	"ADP + phosphate + 4 H(+)[out] <=> ATP + H2O + 3 H(+)[in]"	"Oxidative phosphorylation"	"adp + phosphate + 4 h(+)[out] <=> atp + h2o + 3 h(+)[in]"	"NA"
"Rh176"	"(R)-2-hydroxybutane-1,2,4-tricarboxylate <=> (Z)-but-1-ene-1,2,4-tricarboxylate + H2O"	"Lysine metabolism; Citrate cycle (TCA cycle)"	"(r)-2-hydroxybutane-1,2,4-tricarboxylate <=> (z)-but-1-ene-1,2,4-tricarboxylate + h2o"	"rn:R03444"
"Rh177"	"citrate <=> isocitrate"	"Lysine metabolism; Citrate cycle (TCA cycle)"	"citrate <=> isocitrate"	"rn:R01324"
"Rh178"	"Cl(-) <=> Cl(-)"	"chloride transport"	"cl(-) <=> cl(-)"	"NA"
"Rh179"	"succinate + NAD(+) <=> fumarate + NADH + H(+)"	"Carbon fixation pathways in prokaryotes"	"succinate + nad(+) <=> fumarate + nadh + h(+)"	"rn:R00402"
"Rh180"	"dUTP + H2O => diphosphate + dUMP + H(+)"	"Purine metabolism"	"dutp + h2o => diphosphate + dump + h(+)"	"NA"
"Rh181"	"a ribonucleoside 5'-triphosphate + H2O => a ribonucleoside 5'-phosphate + diphosphate + H(+)"	"Purine metabolism"	"a ribonucleoside 5'-triphosphate + h2o => a ribonucleoside 5'-phosphate + diphosphate + h(+)"	"NA"
"Rh182"	"dATP + H2O => dAMP + diphosphate + H(+)"	"Purine metabolism"	"datp + h2o => damp + diphosphate + h(+)"	"NA"
"Rh183"	"dGTP + H2O => dGMP + diphosphate + H(+)"	"Purine metabolism"	"dgtp + h2o => dgmp + diphosphate + h(+)"	"NA"
"Rh184"	"dTTP + H2O => diphosphate + dTMP + H(+)"	"Purine metabolism"	"dttp + h2o => diphosphate + dtmp + h(+)"	"NA"
"Rh185"	"a 2'-deoxyribonucleoside 5'-triphosphate + H2O => a 2'-deoxyribonucleoside 5'-phosphate + diphosphate + H(+)"	"Purine metabolism"	"a 2'-deoxyribonucleoside 5'-triphosphate + h2o => a 2'-deoxyribonucleoside 5'-phosphate + diphosphate + h(+)"	"NA"
"Rh186"	"2 superoxide + 2 H(+) + => hydrogen peroxide + oxygen"	"Peroxisome"	"2 superoxide + 2 h(+) + => hydrogen peroxide + oxygen"	"NA"
"Rh187"	"S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide"	"Terpenoid backbone biosynthesis"	"s-farnesyl protein + h2o <=> protein c-terminal s-farnesyl-l-cysteine + peptide"	"rn:R09845"
"Rh188"	"G00011 + 4 H2O <=> G00012 + 4 D-Mannose"	"N-Glycan biosynthesis"	"g00011 + 4 h2o <=> g00012 + 4 d-mannose"	"rn:R05982"
"Rh189"	"H2O + G00011 <=> D-Mannose + G10694"	"N-Glycan biosynthesis"	"h2o + g00011 <=> d-mannose + g10694"	"rn:R06722"
"Rh190"	"Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O"	"Nitrogen metabolism"	"ethylnitronate + oxygen + reduced fmn <=> acetaldehyde + nitrite + fmn + h2o"	"rn:R00025"
"Rh191"	"L-cysteine + O-succinyl-L-homoserine => succinate + L-cystathionine + H(+)"	"Cysteine and methionine metabolism"	"l-cysteine + o-succinyl-l-homoserine => succinate + l-cystathionine + h(+)"	"NA"
"Rh192"	"O-succinyl-L-homoserine + H2O => 2-oxobutanoate + succinate + ammonium + H(+)"	"Cysteine and methionine metabolism"	"o-succinyl-l-homoserine + h2o => 2-oxobutanoate + succinate + ammonium + h(+)"	"NA"
"Rh193"	"2 a Fe(III)-siderophore + NADPH <=> 2 a Fe(II)-siderophore + H(+) + NADP(+)"	"ferric-chelate reductase"	"2 a fe(iii)-siderophore + nadph <=> 2 a fe(ii)-siderophore + h(+) + nadp(+)"	"NA"
"Rh194"	"Acyl-CoA + 1-acyl-sn-glycerol 3-phosphate <=> CoA + 1,2-diacyl-sn-glycerol 3-phosphate"	"Glycerolipid metabolism;Glycerophospholipid metabolism"	"acyl-coa + 1-acyl-sn-glycerol 3-phosphate <=> coa + 1,2-diacyl-sn-glycerol 3-phosphate"	"NA"
"Rh195"	"ATP + Peptide diphthine + Ammonia + H(+) + <=> AMP + Diphosphate + Peptide diphthamide"	"diphthamide biosynthesis"	"atp + peptide diphthine + ammonia + h(+) + <=> amp + diphosphate + peptide diphthamide"	"NA"
"Rh196"	"8-oxo-dGTP + H2O <=> 8-oxo-dGMP + diphosphate"	"other"	"8-oxo-dgtp + h2o <=> 8-oxo-dgmp + diphosphate"	"rn:R09832"
"Rh197"	"Quinone + Succinate <=> Hydroquinone + Fumarate"	"Citrate cycle (TCA cycle)"	"quinone + succinate <=> hydroquinone + fumarate"	"rn:R02164"
"Rh198"	"Octanoyl-[acp] + Apoprotein <=> Protein N6-(octanoyl)lysine + Acyl-carrier protein"	"Lipoic acid metabolism"	"octanoyl-[acp] + apoprotein <=> protein n6-(octanoyl)lysine + acyl-carrier protein"	"rn:R07766"
"Rh199"	"Lipoyl-[acp] + Apoprotein <=> Protein N6-(lipoyl)lysine + Acyl-carrier protein"	"Lipoic acid metabolism"	"lipoyl-[acp] + apoprotein <=> protein n6-(lipoyl)lysine + acyl-carrier protein"	"rn:R07769"
"Rh200"	"ATP + beta-D-fructose 6-phosphate <=> ADP + beta-D-fructose 2,6-bisphosphate"	"Fructose and mannose metabolism"	"atp + beta-d-fructose 6-phosphate <=> adp + beta-d-fructose 2,6-bisphosphate"	"rn:R02732"
"Rh201"	"beta-D-fructose 2,6-bisphosphate + H2O <=> D-fructose 6-phosphate + phosphate"	"Fructose and mannose metabolism"	"beta-d-fructose 2,6-bisphosphate + h2o <=> d-fructose 6-phosphate + phosphate"	"NA"
"Rh202"	"a monoamide of a dicarboxylate + H2O <=> a dicarboxylate + NH4(+)"	"Other"	"a monoamide of a dicarboxylate + h2o <=> a dicarboxylate + nh4(+)"	"NA"
"Rh203"	"a [chaperone-ADP]-[disordered-form scaffold protein] complex + ATP => an [Fe-S cluster biosynthesis chaperone]-ATP + a [disordered-form [Fe-S] cluster scaffold protein] + ADP"	"iron-sulfur cluster biosynthesis"	"a [chaperone-adp]-[disordered-form scaffold protein] complex + atp => an [fe-s cluster biosynthesis chaperone]-atp + a [disordered-form [fe-s] cluster scaffold protein] + adp"	"NA"
"Rh204"	"a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex + an apo-iron-sulfur protein => a [chaperone-ADP]-[disordered-form scaffold protein] complex + an [Fe-S cluster biosynthesis co-chaperone] + an [2Fe-2S] cluster protein + phosphate"	"iron-sulfur cluster biosynthesis"	"a [chaperone-atp]-[co-chaperone]-[scaffold protein-(2fe-2s)] complex + an apo-iron-sulfur protein => a [chaperone-adp]-[disordered-form scaffold protein] complex + an [fe-s cluster biosynthesis co-chaperone] + an [2fe-2s] cluster protein + phosphate"	"NA"
"Rh205"	"a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + an [Fe-S cluster biosynthesis chaperone]-ATP => a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex"	"iron-sulfur cluster biosynthesis"	"a [co-chaperone]-[scaffold protein-(2fe-2s)] complex + an [fe-s cluster biosynthesis chaperone]-atp => a [chaperone-atp]-[co-chaperone]-[scaffold protein-(2fe-2s)] complex"	"NA"
"Rh206"	"ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-glucose <=> adp + d-glucose 6-phosphate"	"rn:R00299"
"Rh207"	"ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-fructose <=> adp + d-fructose 6-phosphate"	"rn:R00760"
"Rh208"	"ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-fructose <=> adp + beta-d-fructose 6-phosphate"	"rn:R00867"
"Rh209"	"ATP + D-Mannose <=> ADP + D-Mannose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-mannose <=> adp + d-mannose 6-phosphate"	"rn:R01326"
"Rh210"	"ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + beta-d-glucose <=> adp + beta-d-glucose 6-phosphate"	"rn:R01600"
"Rh211"	"ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + alpha-d-glucose <=> adp + alpha-d-glucose 6-phosphate"	"rn:R01786"
"Rh212"	"ATP + D-Glucosamine <=> ADP + D-Glucosamine 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + d-glucosamine <=> adp + d-glucosamine 6-phosphate"	"rn:R01961"
"Rh213"	"ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"atp + beta-d-fructose <=> adp + beta-d-fructose 6-phosphate"	"rn:R03920"
"Rh214"	"L-glutamine + D-fructose 6-phosphate <=> L-glutamate + D-glucosamine 6-phosphate"	"UDP-N-acetyl-alpha-D-glucosamine biosynthesis"	"l-glutamine + d-fructose 6-phosphate <=> l-glutamate + d-glucosamine 6-phosphate"	"rn:R00768"
"Rh215"	"ADP-D-ribose 1''-phosphate + H2O <=> ADP-D-ribose + phosphate"	"other"	"adp-d-ribose 1''-phosphate + h2o <=> adp-d-ribose + phosphate"	"NA"
"Rh216"	"alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate"	"Glycolysis / Gluconeogenesis"	"alpha-d-glucose 6-phosphate <=> beta-d-glucose 6-phosphate"	"rn:R02739"
"Rh217"	"2,5-Dioxopentanoate + NADP(+) + H2O <=> 2-Oxoglutarate + NADPH + H(+)"	"Sphingolipid metabolism"	"2,5-dioxopentanoate + nadp(+) + h2o <=> 2-oxoglutarate + nadph + h(+)"	"rn:R00264"
"Rh218"	"Aldehyde + NAD(+) + H2O <=> Fatty acid + NADH + H(+)"	"Sphingolipid metabolism"	"aldehyde + nad(+) + h2o <=> fatty acid + nadh + h(+)"	"rn:R00631"
"Rh219"	"Acetaldehyde + NAD(+) + H2O <=> Acetate + NADH + H(+)"	"Sphingolipid metabolism"	"acetaldehyde + nad(+) + h2o <=> acetate + nadh + h(+)"	"rn:R00710"
"Rh220"	"3-Aminopropanal + NAD(+) + H2O <=> beta-Alanine + NADH + H(+)"	"Sphingolipid metabolism"	"3-aminopropanal + nad(+) + h2o <=> beta-alanine + nadh + h(+)"	"rn:R00904"
"Rh221"	"D-Glyceraldehyde + NAD(+) + H2O <=> D-Glycerate + NADH + H(+)"	"Sphingolipid metabolism"	"d-glyceraldehyde + nad(+) + h2o <=> d-glycerate + nadh + h(+)"	"rn:R01752"
"Rh222"	"4-Aminobutyraldehyde + NADP(+) + H2O <=> 4-Aminobutanoate + NADPH + H(+)"	"Sphingolipid metabolism"	"4-aminobutyraldehyde + nadp(+) + h2o <=> 4-aminobutanoate + nadph + h(+)"	"rn:R01986"
"Rh223"	"4-Aminobutyraldehyde + NAD(+) + H2O <=> 4-Aminobutanoate + NADH + H(+)"	"Sphingolipid metabolism"	"4-aminobutyraldehyde + nad(+) + h2o <=> 4-aminobutanoate + nadh + h(+)"	"rn:R02549"
"Rh224"	"Indole-3-acetaldehyde + NAD(+) + H2O <=> Indole-3-acetate + NADH + H(+)"	"Sphingolipid metabolism"	"indole-3-acetaldehyde + nad(+) + h2o <=> indole-3-acetate + nadh + h(+)"	"rn:R02678"
"Rh225"	"2-Propynal + NAD(+) + H2O <=> Propynoate + NADH + H(+)"	"Sphingolipid metabolism"	"2-propynal + nad(+) + h2o <=> propynoate + nadh + h(+)"	"rn:R02940"
"Rh226"	"D-Glucuronolactone + NAD(+) + 2 H2O <=> D-Glucarate + NADH + H(+)"	"Sphingolipid metabolism"	"d-glucuronolactone + nad(+) + 2 h2o <=> d-glucarate + nadh + h(+)"	"rn:R02957"
"Rh227"	"4-Trimethylammoniobutanal + NAD(+) + H2O <=> 4-Trimethylammoniobutanoate + NADH + H(+)"	"Sphingolipid metabolism"	"4-trimethylammoniobutanal + nad(+) + h2o <=> 4-trimethylammoniobutanoate + nadh + h(+)"	"rn:R03283"
"Rh228"	"(S)-Methylmalonate semialdehyde + NAD(+) + H2O <=> Methylmalonate + NADH + H(+)"	"Sphingolipid metabolism"	"(s)-methylmalonate semialdehyde + nad(+) + h2o <=> methylmalonate + nadh + h(+)"	"rn:R03869"
"Rh229"	"Imidazole-4-acetaldehyde + NAD(+) + H2O <=> Imidazole-4-acetate + NADH + H(+)"	"Sphingolipid metabolism"	"imidazole-4-acetaldehyde + nad(+) + h2o <=> imidazole-4-acetate + nadh + h(+)"	"rn:R04065"
"Rh230"	"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NAD(+) + H2O <=> 3alpha,7alpha-Dihydroxy-5beta-cholestanate + NADH + H(+)"	"Sphingolipid metabolism"	"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al + nad(+) + h2o <=> 3alpha,7alpha-dihydroxy-5beta-cholestanate + nadh + h(+)"	"rn:R04506"
"Rh231"	"5-Hydroxyindoleacetaldehyde + NAD(+) + H2O <=> 5-Hydroxyindoleacetate + H(+) + + NADH"	"Sphingolipid metabolism"	"5-hydroxyindoleacetaldehyde + nad(+) + h2o <=> 5-hydroxyindoleacetate + h(+) + + nadh"	"NA"
"Rh232"	"N4-Acetylaminobutanal + NAD(+) + H2O <=> 4-Acetamidobutanoate + NADH + H(+)"	"Sphingolipid metabolism"	"n4-acetylaminobutanal + nad(+) + h2o <=> 4-acetamidobutanoate + nadh + h(+)"	"rn:R05050"
"Rh233"	"trans-3-Chloroallyl aldehyde + H2O <=> trans-3-Chloroacrylic acid + 2 H(+)"	"Sphingolipid metabolism"	"trans-3-chloroallyl aldehyde + h2o <=> trans-3-chloroacrylic acid + 2 h(+)"	"rn:R05237"
"Rh234"	"cis-3-Chloroallyl aldehyde + H2O <=> cis-3-Chloroacrylic acid + 2 H(+)"	"Sphingolipid metabolism"	"cis-3-chloroallyl aldehyde + h2o <=> cis-3-chloroacrylic acid + 2 h(+)"	"rn:R05238"
"Rh235"	"Chloroacetaldehyde + NAD(+) + H2O <=> Chloroacetic acid + NADH + H(+)"	"Sphingolipid metabolism"	"chloroacetaldehyde + nad(+) + h2o <=> chloroacetic acid + nadh + h(+)"	"rn:R05286"
"Rh236"	"Perillyl aldehyde + H2O + NAD(+) <=> Perillic acid + NADH + H(+)"	"Sphingolipid metabolism"	"perillyl aldehyde + h2o + nad(+) <=> perillic acid + nadh + h(+)"	"rn:R06366"
"Rh237"	"2-trans,6-trans-Farnesal + NAD(+) + H2O <=> Farnesoic acid + NADH + H(+)"	"Sphingolipid metabolism"	"2-trans,6-trans-farnesal + nad(+) + h2o <=> farnesoic acid + nadh + h(+)"	"rn:R08146"
"Rh238"	"phospholipid + ATP + H2O <=> phospholipid + ADP + phosphate + H(+)"	"phospholipids transport"	"phospholipid + atp + h2o <=> phospholipid + adp + phosphate + h(+)"	"NA"
"Rh239"	"1-oleoyl-sn-glycerol + H2O => glycerol + oleate + H(+)"	"Glycerophospholipid metabolism"	"1-oleoyl-sn-glycerol + h2o => glycerol + oleate + h(+)"	"NA"
"Rh240"	"a 1-monoglyceride + H2O => a fatty acid + glycerol + H(+)"	"Glycerophospholipid metabolism"	"a 1-monoglyceride + h2o => a fatty acid + glycerol + h(+)"	"NA"
"Rh241"	"porphyrin <=> porphyrin"	"porphyrin transport"	"porphyrin <=> porphyrin"	"NA"
"Rh242"	"UDP-glucose + ((1->3)-beta-D-glucosyl)(n) = UDP + ((1->3)-beta-D-glucosyl)(n+1)"	"Starch and sucrose metabolism"	"udp-glucose + ((1->3)-beta-d-glucosyl)(n) = udp + ((1->3)-beta-d-glucosyl)(n+1)"	"NA"
"Rh243"	"2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O"	"Glycolysis / Gluconeogenesis"	"2-phospho-d-glycerate <=> phosphoenolpyruvate + h2o"	"rn:R00658"
"Rh244"	"HCO3(-) + H(+) + <=> CO2 + H2O"	"other"	"hco3(-) + h(+) + <=> co2 + h2o"	"NA"
"Rh245"	"G00005 + GDP-D-mannose <=> G10526 + GDP"	"N-Glycan biosynthesis"	"g00005 + gdp-d-mannose <=> g10526 + gdp"	"rn:R06127"
"Rh246"	"G10526 + GDP-D-mannose <=> G00006 + GDP"	"N-Glycan biosynthesis"	"g10526 + gdp-d-mannose <=> g00006 + gdp"	"rn:R06128"
"Rh247"	"S-adenosyl-L-methionine + carnosine <=> S-adenosyl-L-homocysteine + anserine"	"Histidine metabolism"	"s-adenosyl-l-methionine + carnosine <=> s-adenosyl-l-homocysteine + anserine"	"NA"
"Rh248"	"A 1,2-diacylglycerol 3-phosphate + H2O <=> a 1,2-diacyl-sn-glycerol + phosphate"	"Glycerolipid metabolism;Glycerophospholipid metabolism"	"a 1,2-diacylglycerol 3-phosphate + h2o <=> a 1,2-diacyl-sn-glycerol + phosphate"	"NA"
"Rh249"	"Dolichyl phosphate D-mannose + G10595 <=> Dolichyl phosphate + G10596"	"N-Glycan biosynthesis"	"dolichyl phosphate d-mannose + g10595 <=> dolichyl phosphate + g10596"	"rn:R06259"
"Rh250"	"Dolichyl phosphate D-mannose + G10597 <=> Dolichyl phosphate + G00007"	"N-Glycan biosynthesis"	"dolichyl phosphate d-mannose + g10597 <=> dolichyl phosphate + g00007"	"rn:R06261"
"Rh251"	"2 glutathione + H2O2 <=> glutathione disulfide + 2 H2O"	"Glutathione metabolism"	"2 glutathione + h2o2 <=> glutathione disulfide + 2 h2o"	"NA"
"Rh252"	"glycolate + NAD(+) <=> glyoxylate + NADH + H(+)"	"Glyoxylate and dicarboxylate metabolism"	"glycolate + nad(+) <=> glyoxylate + nadh + h(+)"	"rn:R00717"
"Rh253"	"Br(-) <=> Br(-)"	"Boron transport"	"br(-) <=> br(-)"	"NA"
"Rh254"	"D-Glyceraldehyde 3-phosphate + D-Ribulose 5-phosphate + L-Glutamine <=> Pyridoxal phosphate + L-Glutamate + Orthophosphate + 3 H2O"	"Vitamin B6 metabolism"	"d-glyceraldehyde 3-phosphate + d-ribulose 5-phosphate + l-glutamine <=> pyridoxal phosphate + l-glutamate + orthophosphate + 3 h2o"	"rn:R07456"
"Rh255"	"L-glutamine + H2O = L-glutamate + NH3"	"Vitamin B6 metabolism"	"l-glutamine + h2o = l-glutamate + nh3"	"NA"
"Rh256"	"ATP + pyridoxal <=> ADP + pyridoxal 5'-phosphate"	"Vitamin B6 metabolism"	"atp + pyridoxal <=> adp + pyridoxal 5'-phosphate"	"NA"
"Rh257"	"Dolichyl phosphate D-mannose + G10596 <=> Dolichyl phosphate + G10597"	"N-Glycan biosynthesis"	"dolichyl phosphate d-mannose + g10596 <=> dolichyl phosphate + g10597"	"rn:R06260"
"Rh258"	"L-Arg <=> L-Arg"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-arg <=> l-arg"	"NA"
"Rh259"	"L-His <=> L-His"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-his <=> l-his"	"NA"
"Rh260"	"L-Lys <=> L-Lys"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-lys <=> l-lys"	"NA"
