"query"	"ko"	"orginal_s288c"
"1229-augustus_masked-CPM_4-14363"	"K22722"	NA
"1230-augustus_masked-ANA_5-7847"	""	NA
"1231-augustus_masked-AHL_3-7961"	""	NA
"1232-augustus_masked-AHL_3-7961"	""	NA
"1233-augustus_masked-CGD_5-5439"	""	NA
"1234-augustus_masked-CGD_5-5439"	"K11090"	"YDL051W"
"1235-augustus_masked-CDE_2-5632"	""	NA
"1236-augustus_masked-CDE_2-5632"	""	NA
"1237-augustus_masked-CQS_4-6380"	""	NA
"1238-augustus_masked-AKM_4-5339"	""	NA
"1239-augustus_masked-CPA_4-16664"	"K07152"	"YBR024W;YBR037C"
"1240-augustus_masked-ALI_5-15225"	"K07897"	"YML001W"
"1241-augustus_masked-ALI_5-15225"	"K14191"	"YPL266W"
"1242-augustus_masked-ALI_5-15225"	"K03848"	"YOR002W"
"1243-augustus_masked-ACC_7-6008"	""	NA
"1244-augustus_masked-CGD_5-5416"	"K14771"	"YPR144C"
"1245-augustus_masked-CGD_5-5416"	"K20522"	"YGR136W;YPR154W"
"1246-augustus_masked-CGD_5-5416"	""	NA
"1247-augustus_masked-CGD_5-5416"	"K01953"	"YPR145W;YGR124W"
"1248-augustus_masked-CCR_1-6225"	""	NA
"1249-augustus_masked-CPN_4-15474"	""	NA
"1250-augustus_masked-BDM_5-23139"	""	NA
"1251-augustus_masked-BDM_5-23139"	"K08192"	"YJR152W"
"1252-augustus_masked-CDT_2-5272"	""	NA
"1253-augustus_masked-CDT_2-5272"	"K00939"	"YER170W;YDR226W"
"1254-augustus_masked-CGD_5-5246"	""	NA
"1255-augustus_masked-CGD_5-5246"	"K19836"	"YDR399W"
"1256-augustus_masked-CGD_5-5246"	"K01240"	"YDR400W"
"1257-augustus_masked-CGD_5-5246"	"K00493"	"YDR402C"
"1258-augustus_masked-CPQ_4-15021"	"K11886"	"YHL030W"
"1259-augustus_masked-CPQ_4-15021"	""	NA
"1260-augustus_masked-CPQ_4-15021"	""	NA
"1261-augustus_masked-CPQ_4-15021"	""	NA
"1262-augustus_masked-CPQ_4-15021"	""	NA
"1263-augustus_masked-CPQ_4-15021"	""	NA
"1264-augustus_masked-AID_2-6415"	"K01230"	"YJR131W;YLR057W"
"1265-augustus_masked-AID_2-6415"	"K22696"	NA
"1266-augustus_masked-AID_2-6415"	"K01739"	"YJR130C;YML082W;YLL058W"
"1267-augustus_masked-CPN_4-15474"	"K01164"	"YNL221C"
"1268-augustus_masked-CPN_4-15474"	""	NA
"1269-augustus_masked-BME_1-43277"	""	NA
"1270-augustus_masked-AHL_3-7774"	""	NA
"1271-augustus_masked-AHL_3-7774"	""	NA
"1272-augustus_masked-CPG_1-7611"	""	NA
"1273-augustus_masked-CPG_1-7611"	"K14009"	"YDL072C"
"1274-augustus_masked-AIE_1-4858"	"K15450"	"YGL050W"
"1275-augustus_masked-CPR_4-17794"	""	NA
"1276-augustus_masked-CPR_4-17794"	""	NA
"1277-augustus_masked-CPR_4-17794"	"K00521"	NA
"1278-augustus_masked-CPR_4-17794"	"K05765"	"YLL050C"
"1279-augustus_masked-CPR_4-17794"	""	NA
"1280-augustus_masked-BBM_6-7272"	"K01724"	"YHL018W"
"1281-augustus_masked-BBM_6-7272"	""	NA
"1282-augustus_masked-BBM_6-7272"	""	NA
"1283-augustus_masked-BDM_5-23139"	""	NA
"1284-augustus_masked-APC_4-8186"	""	NA
"1285-augustus_masked-YCK-5146"	""	NA
"1286-augustus_masked-AMH_5-6613"	""	NA
"1287-augustus_masked-CPQ_4-15165"	"K17086"	"YDR107C;YLR083C;YER113C"
"1288-augustus_masked-CPQ_4-15165"	""	NA
"1289-augustus_masked-CPQ_4-15165"	""	NA
"1290-augustus_masked-CPQ_4-15165"	"K14813"	"YDR101C"
"1291-augustus_masked-CPQ_4-15165"	""	NA
"1292-augustus_masked-CPQ_4-15165"	""	NA
"1293-augustus_masked-AVB_8-8023"	""	NA
"1294-augustus_masked-AVB_8-8023"	""	NA
"1295-augustus_masked-YCB-8071"	""	NA
"1296-augustus_masked-YCB-8071"	"K08139"	"YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YLR081W;YMR011W;YNR072W;YOL156W;YDL138W;YDL194W"
"1297-augustus_masked-ASB_2-40163"	"K03457"	"YIR028W;YLR237W"
"1298-augustus_masked-AQA_4-7348"	""	NA
"1299-augustus_masked-AQA_4-7348"	"K10259"	"YIL046W"
"1300-augustus_masked-AKE_3-7154"	""	NA
"1301-augustus_masked-CQS_4-6075"	"K07055"	"YML005W"
"1302-augustus_masked-CQS_4-6075"	"K01759"	"YML004C"
"1303-augustus_masked-BAG_6-6313"	""	NA
"1307-augustus_masked-AHL_3-8025"	""	NA
"1308-augustus_masked-AHL_3-8025"	"K16575"	"YHR129C"
"1309-augustus_masked-AHH_3-5944"	""	NA
"1310-augustus_masked-BCQ_8-11841"	""	NA
"1311-augustus_masked-CPL_4-15232"	"K10685"	"YDR390C"
"1312-augustus_masked-CPR_4-17189"	"K12492"	"YDL226C"
"1313-augustus_masked-CPR_4-17852"	""	NA
"1314-augustus_masked-YCB-8123"	""	NA
"1315-augustus_masked-CPA_4-16589"	""	NA
"1316-augustus_masked-CPA_4-16589"	"K01772"	"YOR176W"
"1317-augustus_masked-YBK-6315"	""	NA
"1318-augustus_masked-BDM_5-22999"	"K01426"	"YDR242W"
"1319-augustus_masked-BDM_5-22999"	""	NA
"1320-augustus_masked-BDM_5-22999"	""	NA
"1321-augustus_masked-BDM_5-22999"	""	NA
"1322-augustus_masked-CPR_4-17852"	""	NA
"1323-augustus_masked-CPR_4-17852"	"K13049"	NA
"1324-augustus_masked-AHM_1-6883"	""	NA
"1325-augustus_masked-YBP-8463"	""	NA
"1326-augustus_masked-AID_2-6383"	"K01764"	"YAL039C;YKL087C"
"1327-augustus_masked-AVB_8-7945"	"K21631"	"YEL007W;YHR177W"
"1328-augustus_masked-AVB_8-7945"	""	NA
"1329-augustus_masked-CPI_4-15337"	""	NA
"1330-augustus_masked-CPI_4-15337"	""	NA
"1331-augustus_masked-CPG_1-7609"	"K00844"	"YGL253W;YFR053C;YCL040W;YDR516C;YLR446W"
"1332-augustus_masked-CPG_1-7609"	"K20471"	"YFR051C"
"1333-augustus_masked-CPG_1-7609"	"K02736"	"YFR050C"
"1334-augustus_masked-CPG_1-7609"	"K01760"	"YFR055W;YGL184C"
"1335-augustus_masked-CPG_1-7609"	"K03031"	"YFR052W"
"1336-augustus_masked-CPQ_4-14811"	""	NA
"1337-augustus_masked-CPQ_4-14811"	"K08341"	"YBL078C"
"1338-augustus_masked-CPK_4-16409"	""	NA
"1339-augustus_masked-CPK_4-16409"	"K11313"	"YDR392W"
"1340-augustus_masked-AVB_8-7811"	""	NA
"1341-augustus_masked-AQM_4-11146"	""	NA
"1342-augustus_masked-CDT_2-5098"	""	NA
"1343-augustus_masked-AVB_8-7935"	"K08832"	"YMR216C"
"1344-augustus_masked-AHH_3-5888"	""	NA
"1345-augustus_masked-CPQ_4-15150"	"K03283"	"YLL024C;YAL005C;YER103W;YBL075C;YNL209W"
"1346-augustus_masked-CPQ_4-15150"	"K13205"	"YBL074C"
"1347-augustus_masked-CPM_4-14657"	"K08064"	NA
"1348-augustus_masked-CPM_4-14657"	"K03495"	"YGL236C"
"1349-augustus_masked-BBM_6-7257"	"K00863"	"YML070W;YFL053W"
"1350-augustus_masked-BBM_6-7257"	""	NA
"1351-augustus_masked-BBM_6-7257"	""	NA
"1353-augustus_masked-CPQ_4-14808"	"K20168"	"YDL234C"
"1354-augustus_masked-CPK_4-16612"	""	NA
"1355-augustus_masked-CPK_4-16612"	""	NA
"1356-augustus_masked-CPK_4-16612"	"K17786"	"YGR235C"
"1357-augustus_masked-CPQ_4-15250"	"K22725"	NA
"1358-augustus_masked-CPQ_4-15250"	""	NA
"1359-augustus_masked-CPQ_4-15250"	""	NA
"1360-augustus_masked-CPQ_4-15250"	""	NA
"1361-augustus_masked-CPQ_4-15250"	""	NA
"1362-augustus_masked-BAM_7-7195"	""	NA
"1363-augustus_masked-CDT_2-5317"	""	NA
"1364-augustus_masked-CDT_2-5317"	""	NA
"1365-augustus_masked-CQS_4-6444"	"K10885"	"YMR106C"
"1366-augustus_masked-CQS_4-6444"	"K03431"	NA
"1367-augustus_masked-BPF_4-10460"	""	NA
"1368-augustus_masked-YDM-4987"	""	NA
"1369-augustus_masked-AIG_2-6522"	""	NA
"1370-augustus_masked-ALT_5-7832"	""	NA
"1371-augustus_masked-BAF_6-18361"	""	NA
"1372-augustus_masked-BAF_6-18361"	""	NA
"1373-augustus_masked-AAG_6-7250"	""	NA
"1374-augustus_masked-BEP_4-7596"	""	NA
"1375-augustus_masked-CDD_2-5914"	""	NA
"1376-augustus_masked-BNB_4-11356"	"K12346"	"YHR050W;YLR034C;YOL122C"
"1377-augustus_masked-CDT_2-5315"	"K00759"	"YML022W;YDR441C"
"1378-augustus_masked-YDM-5288"	""	NA
"1379-augustus_masked-AQA_4-7239"	""	NA
"1380-augustus_masked-AQA_4-7239"	"K01194"	"YPR026W;YBR001C;YDR001C"
"1381-augustus_masked-AQA_4-7239"	"K05681"	NA
"1382-augustus_masked-AQA_4-7239"	"K00849"	"YDR009W;YBR020W"
"1383-augustus_masked-AQA_4-7239"	""	NA
"1384-augustus_masked-CDT_2-5272"	""	NA
"1385-augustus_masked-CDT_2-5272"	""	NA
"1386-augustus_masked-CPN_4-15370"	"K00799"	"YIR038C;YNL229C"
"1387-augustus_masked-CPN_4-15370"	""	NA
"1388-augustus_masked-CEG_4-7331"	"K20302"	"YKR068C"
"1389-augustus_masked-CEG_4-7331"	"K00428"	"YKR066C"
"1390-augustus_masked-CEG_4-7331"	""	NA
"1391-augustus_masked-CEG_4-7331"	""	NA
"1392-augustus_masked-CGD_5-5418"	""	NA
"1393-augustus_masked-CGD_5-5418"	"K09468"	"YKL062W;YMR037C"
"1394-augustus_masked-BMB_1-4668"	""	NA
"1395-augustus_masked-ATH_3-9260"	"K01698"	"YGL040C"
"1396-augustus_masked-CPA_4-16415"	""	NA
"1397-augustus_masked-ACL_7-7535"	""	NA
"1398-augustus_masked-ACL_7-7535"	""	NA
"1399-augustus_masked-ACL_7-7535"	""	NA
"1400-augustus_masked-ACL_7-7535"	"K01760"	"YFR055W;YGL184C"
"1401-augustus_masked-CQS_4-6420"	""	NA
"1402-augustus_masked-BBM_6-7261"	""	NA
"1403-augustus_masked-AFL_5-6754"	""	NA
"1404-augustus_masked-AID_2-6352"	"K02214"	"YDL017W"
"1405-augustus_masked-CQS_4-6442"	"K14640"	"YBR296C"
"1406-augustus_masked-AQA_4-7358"	""	NA
"1407-augustus_masked-CGD_5-5424"	""	NA
"1408-augustus_masked-CPL_4-15064"	""	NA
"1409-augustus_masked-CPN_4-15749"	""	NA
"1410-augustus_masked-CPN_4-15749"	""	NA
"1411-augustus_masked-CCL_1-4471"	""	NA
"1412-augustus_masked-CPN_4-15749"	""	NA
"1413-augustus_masked-AID_2-6220"	""	NA
"1414-augustus_masked-AID_2-6220"	""	NA
"1415-augustus_masked-BBM_6-6977"	"K22073"	"YJR122W"
"1416-augustus_masked-BBM_6-6977"	""	NA
"1417-augustus_masked-CPG_1-7550"	"K08139"	"YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YLR081W;YMR011W;YNR072W;YOL156W;YDL138W;YDL194W"
"1418-augustus_masked-CPG_1-7550"	"K11675"	"YFL013C"
"1419-augustus_masked-CPG_1-7550"	""	NA
"1420-augustus_masked-AQA_4-7362"	""	NA
"1421-augustus_masked-CPQ_4-15088"	""	NA
"1422-augustus_masked-CPR_4-17889"	""	NA
"1423-augustus_masked-CPR_4-17889"	"K00706"	"YMR306W;YLR342W;YGR032W"
"1424-augustus_masked-CPR_4-17889"	"K17796"	"YGR033C"
"1425-augustus_masked-AHB_2-7036"	""	NA
"1426-augustus_masked-AHL_3-8012"	"K10746"	"YOR033C"
"1427-augustus_masked-AHL_3-8012"	""	NA
"1428-augustus_masked-AHL_3-8012"	""	NA
"1429-augustus_masked-AHL_3-8012"	"K05302"	"YDR257C"
"1430-augustus_masked-CPQ_4-15272"	"K00262"	"YOR375C;YAL062W"
"1431-augustus_masked-CPQ_4-15272"	"K00004"	"YAL060W;YAL061W"
"1432-augustus_masked-CPQ_4-15272"	""	NA
"1433-augustus_masked-CPQ_4-15272"	"K08054"	"YAL058W"
"1434-augustus_masked-CPQ_4-15272"	""	NA
"1435-maker-CFC_2-43056"	""	NA
"1436-maker-BDE_8-15861"	""	NA
"1437-maker-BDP_5-11439"	""	NA
"1438-maker-YBR-7232"	""	NA
"1439-maker-AHM_1-7103"	""	NA
"1440-maker-AHM_1-7103"	""	NA
"1441-maker-CLM_4-7921"	""	NA
"1442-maker-CDK_4-10433"	""	NA
"1445-maker-AMD_5-6572"	""	NA
"1446-maker-CDM_4-7429"	""	NA
"1447-maker-CPQ_4-15250"	"K06689"	"YDR059C;YBR082C"
"1448-maker-BBM_6-7237"	""	NA
"1449-maker-AEF_8-5122"	""	NA
"1450-maker-ANM_2-42651"	""	NA
"1451-maker-AMH_5-6637"	""	NA
"1452-maker-YCR-6505"	""	NA
"1453-maker-ACG_7-9645"	""	NA
"1454-maker-BDK_5-8644"	""	NA
"1455-maker-BTT_3-19676"	""	NA
"1456-maker-ATQ_7-5187"	""	NA
"1457-maker-CCH_4-6793"	""	NA
"1458-maker-CPL_4-15597"	""	NA
"1459-maker-AMA_5-10173"	""	NA
"1460-maker-AMA_5-10173"	""	NA
"1461-maker-AMA_5-10173"	""	NA
"1462-maker-CPM_4-14876"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"1463-maker-CCQ_1-5741"	""	NA
"1464-maker-BRG_4-12215"	""	NA
"1465-maker-BHI_4-7563"	""	NA
"1466-maker-ACQ_8-4774"	""	NA
"1467-maker-ABM_5-4633"	"K08496"	"YLR078C"
"1468-maker-BDG_5-19334"	""	NA
"1469-maker-API_4-23720"	""	NA
"1470-maker-BGL_1-18155"	""	NA
"1471-maker-CGE_5-5798"	""	NA
"1472-maker-AND_4-5595"	""	NA
"1473-maker-CET_4-8407"	""	NA
"1474-maker-CFC_2-43241"	""	NA
"1475-maker-AIE_1-5046"	""	NA
"1476-maker-AID_2-6438"	""	NA
"1477-maker-CGH_5-16559"	""	NA
"1478-maker-BAG_6-6340"	""	NA
"1479-maker-AHG_3-5017"	""	NA
"1480-maker-CPQ_4-15294"	"K10580"	"YDR092W"
"1481-maker-CPC_4-27355"	""	NA
"1482-maker-BRK_4-4772"	""	NA
"1483-maker-AHF_3-9619"	""	NA
"1484-maker-CMG_6-37743"	""	NA
"1485-maker-CMG_6-37743"	""	NA
"1487-maker-AEL_3-25454"	""	NA
"1488-maker-AEL_3-25454"	""	NA
"1489-maker-BTE_3-67629"	""	NA
"1490-maker-BNB_4-11386"	""	NA
"1491-maker-BPL_2-7584"	""	NA
"1492-maker-BEE_6-12017"	""	NA
"1493-maker-BEE_6-12017"	""	NA
"1494-maker-BEE_6-12017"	""	NA
"1495-maker-ACH_7-12998"	""	NA
"1496-maker-CHB_4-9987"	""	NA
"1497-maker-CDN_4-6216"	""	NA
"1498-maker-CDN_4-6216"	""	NA
"1499-maker-BVC_6-19502"	""	NA
"1500-maker-CPI_4-15903"	""	NA
"1501-maker-YDB-17846"	""	NA
"1502-maker-BEA_6-11925"	""	NA
"1503-maker-CEQ_4-7370"	""	NA
"1504-maker-AIE_1-5044"	""	NA
"1505-maker-ANL_2-46428"	""	NA
"1506-maker-AMH_5-6583"	""	NA
"1507-maker-APS_4-8484"	""	NA
"1508-maker-AVB_8-8060"	"K07374"	"YML085C"
"1509-maker-AVT_6-51832"	""	NA
"1510-maker-YCJ-7201"	""	NA
"1511-maker-ABP_6-5400"	"K01653"	"YCL009C"
"1512-maker-ABP_6-5400"	""	NA
"1513-maker-ABP_6-5400"	""	NA
"1514-maker-CDL_3-6404"	""	NA
"1515-maker-CPR_4-17889"	""	NA
"1516-maker-YAN-14225"	""	NA
"1517-maker-ALI_5-15258"	""	NA
"1518-maker-ALI_5-15258"	""	NA
"1519-maker-BTG_3-6441"	""	NA
"1520-maker-CGH_5-16625"	""	NA
"1521-maker-BAG_6-6327"	""	NA
"1522-maker-BRK_4-4809"	""	NA
"1523-maker-BRK_4-4809"	""	NA
"1524-maker-ARH_5-11102"	""	NA
"1525-maker-CQS_4-6365"	""	NA
"1526-maker-CQS_4-6365"	""	NA
"1527-maker-CDE_2-5632"	""	NA
"1528-maker-CNT_4-21642"	""	NA
"1529-maker-ALI_5-15225"	""	NA
"1530-maker-BAM_7-7205"	""	NA
"1531-maker-CGD_5-5416"	""	NA
"1532-maker-CCR_1-6225"	""	NA
"1533-maker-ASC_6-27146"	""	NA
"1534-maker-BDM_5-23139"	""	NA
"1535-maker-BDM_5-23139"	""	NA
"1536-maker-BDM_5-23139"	""	NA
"1537-maker-YCY-8051"	""	NA
"1538-maker-YCY-8051"	""	NA
"1539-maker-CIL_2-24097"	""	NA
"1540-maker-CPR_4-17794"	""	NA
"1541-maker-BEN_7-20201"	""	NA
"1542-maker-BDM_5-23139"	""	NA
"1543-maker-YCB-8071"	""	NA
"1544-maker-BAP_7-6884"	""	NA
"1545-maker-AMH_5-6251"	""	NA
"1546-maker-CPG_1-7609"	""	NA
"1547-maker-YCY-8126"	""	NA
"1548-maker-CPL_4-15494"	""	NA
"1549-maker-CDT_2-5317"	""	NA
"1550-maker-CKN_4-32870"	""	NA
"1551-maker-CMT_8-15862"	""	NA
"1552-maker-AQA_4-7239"	""	NA
"1553-maker-CGD_5-5418"	"K12412"	"YMR043W"
"1554-maker-CMQ_8-5693"	""	NA
"1555-maker-CMQ_8-5693"	""	NA
"1556-maker-AVB_8-8045"	""	NA
"1557-maker-ATH_3-9260"	""	NA
"1558-maker-ANH_4-5663"	""	NA
"1559-maker-ACL_7-7535"	""	NA
"1560-maker-ACL_7-7535"	""	NA
"1561-maker-ACL_7-7535"	""	NA
"1562-maker-ACL_7-7535"	""	NA
"1563-maker-CQB_6-11660"	"K13333"	"YMR006C;YOL011W;YMR008C"
"1564-maker-CQS_4-6420"	""	NA
"1565-maker-AQA_4-7358"	""	NA
"1566-maker-AQD_4-6575"	""	NA
"1567-maker-CGV_3-7506"	""	NA
"1568-maker-AHL_3-8012"	"K01210"	"YOR190W;YLR300W;YGR282C;YDR261C"
"1569-maker-YBL-9938"	""	NA
"1570-maker-CPQ_4-15272"	"K01895"	"YAL054C;YLR153C"
"1571-snap_masked-CFC_2-43056"	"K17417"	"YFR049W"
"1572-snap_masked-CFC_2-43056"	""	NA
"1573-snap_masked-CPK_4-16846"	""	NA
"1574-snap_masked-AIE_1-5050"	""	NA
"1575-snap_masked-BBM_6-7010"	"K02142"	"YML081C-A"
"1576-snap_masked-BBM_6-7010"	""	NA
"1577-snap_masked-AQA_4-7171"	""	NA
"1578-snap_masked-CQS_4-6447"	""	NA
"1579-snap_masked-BMB_1-4633"	""	NA
"1580-snap_masked-CDT_2-5211"	""	NA
"1581-snap_masked-CDT_2-5211"	""	NA
"1582-snap_masked-CDT_2-5331"	""	NA
"1583-snap_masked-ABB_5-4847"	""	NA
"1588-snap_masked-YCO-8921"	""	NA
"1589-snap_masked-BVG_4-25625"	""	NA
"1590-snap_masked-CPQ_4-15250"	""	NA
"1591-snap_masked-CQA_6-8135"	""	NA
"1592-snap_masked-YCL-7822"	""	NA
"1593-snap_masked-CNH_4-20281"	""	NA
"1594-snap_masked-AMH_5-6573"	""	NA
"1595-snap_masked-CEI_2-8878"	""	NA
"1596-snap_masked-CPM_4-14907"	""	NA
"1597-snap_masked-ATQ_7-5187"	""	NA
"1598-snap_masked-AVB_8-8024"	""	NA
"1599-snap_masked-BBM_6-7242"	""	NA
"1600-snap_masked-CPR_4-17880"	""	NA
"1601-snap_masked-ATV_5-44131"	""	NA
"1602-snap_masked-CCH_4-6793"	""	NA
"1603-snap_masked-CCH_4-6793"	""	NA
"1604-snap_masked-BAH_6-7523"	""	NA
"1605-snap_masked-CPL_4-15597"	""	NA
"1606-snap_masked-BBM_6-7244"	""	NA
"1607-snap_masked-AMH_5-6336"	""	NA
"1608-snap_masked-AIE_1-5035"	"K06158"	"YFR009W"
"1609-snap_masked-CPG_1-7486"	"K14816"	"YBR267W;YLR387C"
"1610-snap_masked-CKF_3-7120"	""	NA
"1611-snap_masked-CCQ_1-5470"	""	NA
"1612-snap_masked-CCQ_1-5470"	""	NA
"1613-snap_masked-CPA_4-16966"	""	NA
"1614-snap_masked-CPN_4-15612"	""	NA
"1615-snap_masked-CPN_4-15612"	""	NA
"1616-snap_masked-YCC-11519"	""	NA
"1617-snap_masked-AVB_8-7764"	""	NA
"1618-snap_masked-ABD_5-6706"	""	NA
"1619-snap_masked-ABD_5-6706"	""	NA
"1620-snap_masked-ABD_5-6706"	""	NA
"1621-snap_masked-ABL_5-5136"	""	NA
"1622-snap_masked-BHI_4-7563"	""	NA
"1623-snap_masked-AMM_4-6587"	""	NA
"1624-snap_masked-AHL_3-7762"	"K03540"	"YIR015W"
"1625-snap_masked-AHL_3-7762"	""	NA
"1626-snap_masked-AHL_3-7762"	"K14818"	"YIR012W"
"1627-snap_masked-AQD_4-6879"	""	NA
"1628-snap_masked-CQS_4-6404"	""	NA
"1629-snap_masked-CQS_4-6404"	""	NA
"1630-snap_masked-BBM_6-7046"	""	NA
"1631-snap_masked-BDG_5-19334"	""	NA
"1632-snap_masked-AID_2-6456"	""	NA
"1633-snap_masked-AID_2-6456"	""	NA
"1634-snap_masked-AID_2-6456"	""	NA
"1635-snap_masked-CPL_4-15567"	""	NA
"1636-snap_masked-AID_2-6449"	""	NA
"1637-snap_masked-ABM_5-4457"	""	NA
"1638-snap_masked-ABM_5-4457"	""	NA
"1639-snap_masked-CLG_4-26269"	""	NA
"1640-snap_masked-ARP_2-8812"	""	NA
"1641-snap_masked-YBR-7258"	""	NA
"1642-snap_masked-BCD_8-12448"	"K09206"	NA
"1643-snap_masked-BAN_7-6824"	""	NA
"1644-snap_masked-BQN_4-5641"	""	NA
"1645-snap_masked-CPK_4-16853"	""	NA
"1646-snap_masked-AIE_1-5046"	"K12872"	"YBR065C"
"1647-snap_masked-BAG_6-6343"	""	NA
"1648-snap_masked-CGE_5-5812"	"K12669"	"YML019W;YOR085W"
"1649-snap_masked-AKB_2-9725"	""	NA
"1650-snap_masked-ACQ_8-5049"	""	NA
"1651-snap_masked-AHG_3-5017"	""	NA
"1652-snap_masked-AHG_3-5017"	""	NA
"1653-snap_masked-AHG_3-5017"	""	NA
"1654-snap_masked-AHG_3-5017"	""	NA
"1655-snap_masked-BBM_6-7233"	""	NA
"1656-snap_masked-BGR_1-19009"	""	NA
"1657-snap_masked-AMC_5-5099"	""	NA
"1658-snap_masked-CNP_1-20000"	""	NA
"1659-snap_masked-BDQ_6-13887"	""	NA
"1660-snap_masked-BCB_3-14860"	""	NA
"1661-snap_masked-CMG_6-37743"	""	NA
"1662-snap_masked-CMG_6-37743"	""	NA
"1663-snap_masked-CMG_6-37743"	""	NA
"1664-snap_masked-CMG_6-37743"	""	NA
"1666-snap_masked-AFB_4-8178"	""	NA
"1667-snap_masked-BMV_2-11488"	""	NA
"1668-snap_masked-AEL_3-25454"	""	NA
"1669-snap_masked-BEE_6-12017"	""	NA
"1670-snap_masked-BEE_6-12017"	""	NA
"1671-snap_masked-CQG_6-13109"	""	NA
"1672-snap_masked-YCZ-6600"	""	NA
"1673-snap_masked-AQA_4-7086"	""	NA
"1674-snap_masked-BHR_4-9388"	"K05605"	"YDR036C"
"1675-snap_masked-AQD_4-6814"	"K18658"	"YKL185W"
"1676-snap_masked-AIE_1-5054"	""	NA
"1677-snap_masked-AFA_4-7928"	""	NA
"1678-snap_masked-CPR_4-17651"	""	NA
"1679-snap_masked-CPI_4-15424"	"K20408"	"YOL138C"
"1680-snap_masked-APS_4-8484"	""	NA
"1681-snap_masked-APS_4-8484"	""	NA
"1682-snap_masked-CLG_4-26387"	""	NA
"1683-snap_masked-CPL_4-15430"	""	NA
"1684-snap_masked-ASV_1-19156"	""	NA
"1685-snap_masked-BGP_1-17003"	""	NA
"1686-snap_masked-ABP_6-5400"	""	NA
"1687-snap_masked-ABP_6-5400"	"K08286"	"YLR248W;YGR052W;YJL057C;YKL116C;YKL171W;YMR291W;YNR047W;YOL045W;YOL128C;YOR233W;YCR008W;YHR102W;YJL165C;YJR059W;YKL168C;YKL198C;YBR059C;YCR091W;YGL158W;YHR082C;YNL161W;YAL017W"
"1688-snap_masked-CDL_3-6416"	""	NA
"1689-snap_masked-AVB_8-7958"	""	NA
"1690-snap_masked-AVB_8-7958"	""	NA
"1691-snap_masked-ALI_5-15258"	""	NA
"1693-snap_masked-BAM_7-7087"	""	NA
"1694-snap_masked-AHF_3-9612"	""	NA
"1695-snap_masked-YAN-14482"	""	NA
"1696-snap_masked-BIF_1-6636"	""	NA
"1697-snap_masked-BAI_7-6394"	""	NA
"1698-snap_masked-BRK_4-4809"	""	NA
"1699-snap_masked-ARH_5-11102"	""	NA
"1700-snap_masked-CGD_5-5439"	""	NA
"1701-snap_masked-BGV_2-15527"	""	NA
"1702-snap_masked-CNT_4-21642"	""	NA
"1703-snap_masked-CDF_1-5358"	""	NA
"1704-snap_masked-CPD_4-13463"	""	NA
"1705-snap_masked-BVC_6-19273"	""	NA
"1706-snap_masked-BDM_5-23139"	""	NA
"1707-snap_masked-BDM_5-23139"	""	NA
"1708-snap_masked-BAN_7-6753"	""	NA
"1709-snap_masked-YCL-7479"	""	NA
"1710-snap_masked-AHL_3-7774"	"K06655"	"YPL031C"
"1711-snap_masked-AIE_1-4858"	"K03260"	"YGR162W;YGL049C"
"1712-snap_masked-BBM_6-7272"	""	NA
"1713-snap_masked-CPQ_4-15165"	""	NA
"1714-snap_masked-ASB_2-40163"	""	NA
"1715-snap_masked-AFI_5-7003"	""	NA
"1718-snap_masked-BDS_6-12987"	""	NA
"1719-snap_masked-CPR_4-17494"	""	NA
"1720-snap_masked-CPL_4-15232"	""	NA
"1721-snap_masked-BDD_8-15410"	""	NA
"1722-snap_masked-ANM_2-42709"	""	NA
"1723-snap_masked-BDM_5-22999"	""	NA
"1724-snap_masked-BDM_5-22999"	""	NA
"1725-snap_masked-ACI_7-6868"	""	NA
"1726-snap_masked-AVB_8-7945"	"K14686"	"YHR175W;YLR411W"
"1727-snap_masked-CPR_4-17387"	""	NA
"1728-snap_masked-CPG_1-7609"	""	NA
"1729-snap_masked-BBH_6-7041"	""	NA
"1730-snap_masked-BGQ_1-19910"	""	NA
"1731-snap_masked-ADQ_4-7102"	""	NA
"1732-snap_masked-BRK_4-4801"	""	NA
"1733-snap_masked-CPK_4-16409"	"K17983"	"YDR393W"
"1734-snap_masked-AVB_8-7946"	""	NA
"1735-snap_masked-BAQ_7-7673"	""	NA
"1736-snap_masked-APR_4-6467"	""	NA
"1737-snap_masked-AVB_8-7935"	""	NA
"1738-snap_masked-BBM_6-7257"	""	NA
"1739-snap_masked-BBM_6-7257"	""	NA
"1741-snap_masked-CEI_2-9038"	""	NA
"1742-snap_masked-CPA_4-16842"	""	NA
"1743-snap_masked-CPA_4-16842"	""	NA
"1744-snap_masked-CGD_5-5433"	""	NA
"1745-snap_masked-ASC_6-27073"	""	NA
"1746-snap_masked-CDD_2-5914"	""	NA
"1747-snap_masked-BNB_4-11356"	"K14411"	"YOL123W"
