"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
1048	"r_2356"	"PA phosphatase (1-18:0, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_2985[vm]  -> s_2977[vm] + s_2986[vm]"	"H2O[vm] + phosphatidate (1-18:0, 2-16:1)[vm]  -> phosphate[vm] + diglyceride (1-18:0, 2-16:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1049	"r_2357"	"PA phosphatase (1-18:0, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_2987[vm]  -> s_2977[vm] + s_2988[vm]"	"H2O[vm] + phosphatidate (1-18:0, 2-18:1)[vm]  -> phosphate[vm] + diglyceride (1-18:0, 2-18:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1050	"r_2358"	"PA phosphatase (1-18:1, 2-16:1), vacuolar membrane"	"s_2976[vm] + s_2989[vm]  -> s_2977[vm] + s_2990[vm]"	"H2O[vm] + phosphatidate (1-18:1, 2-16:1)[vm]  -> phosphate[vm] + diglyceride (1-18:1, 2-16:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1051	"r_2359"	"PA phosphatase (1-18:1, 2-18:1), vacuolar membrane"	"s_2976[vm] + s_2991[vm]  -> s_2977[vm] + s_2992[vm]"	"H2O[vm] + phosphatidate (1-18:1, 2-18:1)[vm]  -> phosphate[vm] + diglyceride (1-18:1, 2-18:1)[vm]"	"YDR284C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.4; 3.1.3.81"	"NA"
1052	"r_2360"	"PA phosphatase (1-16:0, 2-16:1), Golgi membrane"	"s_2993[gm] + s_2994[gm]  -> s_2995[gm] + s_2996[gm]"	"phosphatidate (1-16:0, 2-16:1)[gm] + H2O[gm]  -> phosphate[gm] + diglyceride (1-16:0, 2-16:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1053	"r_2361"	"PA phosphatase (1-16:0, 2-18:1), Golgi membrane"	"s_2994[gm] + s_2997[gm]  -> s_2995[gm] + s_2998[gm]"	"H2O[gm] + phosphatidate (1-16:0, 2-18:1)[gm]  -> phosphate[gm] + diglyceride (1-16:0, 2-18:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1054	"r_2362"	"PA phosphatase (1-16:1, 2-16:1), Golgi membrane"	"s_2994[gm] + s_2999[gm]  -> s_2995[gm] + s_3000[gm]"	"H2O[gm] + phosphatidate (1-16:1, 2-16:1)[gm]  -> phosphate[gm] + diglyceride (1-16:1, 2-16:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1055	"r_2363"	"PA phosphatase (1-16:1, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3001[gm]  -> s_2995[gm] + s_3002[gm]"	"H2O[gm] + phosphatidate (1-16:1, 2-18:1)[gm]  -> phosphate[gm] + diglyceride (1-16:1, 2-18:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1056	"r_2364"	"PA phosphatase (1-18:0, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3003[gm]  -> s_2995[gm] + s_3004[gm]"	"H2O[gm] + phosphatidate (1-18:0, 2-16:1)[gm]  -> phosphate[gm] + diglyceride (1-18:0, 2-16:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1057	"r_2365"	"PA phosphatase (1-18:0, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3005[gm]  -> s_2995[gm] + s_3006[gm]"	"H2O[gm] + phosphatidate (1-18:0, 2-18:1)[gm]  -> phosphate[gm] + diglyceride (1-18:0, 2-18:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1058	"r_2366"	"PA phosphatase (1-18:1, 2-16:1), Golgi membrane"	"s_2994[gm] + s_3007[gm]  -> s_2995[gm] + s_3008[gm]"	"H2O[gm] + phosphatidate (1-18:1, 2-16:1)[gm]  -> phosphate[gm] + diglyceride (1-18:1, 2-16:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1059	"r_2367"	"PA phosphatase (1-18:1, 2-18:1), Golgi membrane"	"s_2994[gm] + s_3009[gm]  -> s_2995[gm] + s_3010[gm]"	"H2O[gm] + phosphatidate (1-18:1, 2-18:1)[gm]  -> phosphate[gm] + diglyceride (1-18:1, 2-18:1)[gm]"	"YDR503C"	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"	0	1000	0	"pmid:22345606"	"3.1.3.-; 3.1.3.4"	"NA"
1060	"r_2368"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2967[erm]  -> s_2785[erm] + s_3011[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-16:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-16:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1061	"r_2369"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2968[erm]  -> s_2785[erm] + s_3012[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-16:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-18:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1062	"r_2370"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2969[erm]  -> s_2785[erm] + s_3013[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-16:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-16:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1063	"r_2371"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2970[erm]  -> s_2785[erm] + s_3014[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-16:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-18:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1064	"r_2372"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2971[erm]  -> s_2785[erm] + s_3015[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-18:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-16:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1065	"r_2373"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2972[erm]  -> s_2785[erm] + s_3016[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-18:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-18:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1066	"r_2374"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2973[erm]  -> s_2785[erm] + s_3017[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-18:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-16:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1067	"r_2375"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:0), ER membrane"	"s_2789[erm] + s_2974[erm]  -> s_2785[erm] + s_3018[erm]"	"palmitoyl-CoA[erm] + diglyceride (1-18:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-18:1, 3-16:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1068	"r_2376"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2967[erm]  -> s_2785[erm] + s_3019[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-16:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-16:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1069	"r_2377"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2968[erm]  -> s_2785[erm] + s_3020[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-16:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-18:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1070	"r_2378"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2969[erm]  -> s_2785[erm] + s_3021[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-16:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-16:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1071	"r_2379"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2970[erm]  -> s_2785[erm] + s_3022[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-16:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-18:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1072	"r_2380"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2971[erm]  -> s_2785[erm] + s_3023[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-18:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-16:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1073	"r_2381"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2972[erm]  -> s_2785[erm] + s_3024[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-18:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-18:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1074	"r_2382"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2973[erm]  -> s_2785[erm] + s_3025[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-18:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-16:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1075	"r_2383"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:1), ER membrane"	"s_2819[erm] + s_2974[erm]  -> s_2785[erm] + s_3026[erm]"	"palmitoleoyl-CoA(4−)[erm] + diglyceride (1-18:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-18:1, 3-16:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1076	"r_2384"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2967[erm]  -> s_2785[erm] + s_3027[erm]"	"stearoyl-CoA[erm] + diglyceride (1-16:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-16:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1077	"r_2385"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2968[erm]  -> s_2785[erm] + s_3028[erm]"	"stearoyl-CoA[erm] + diglyceride (1-16:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-18:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1078	"r_2386"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2969[erm]  -> s_2785[erm] + s_3029[erm]"	"stearoyl-CoA[erm] + diglyceride (1-16:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-16:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1079	"r_2387"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2970[erm]  -> s_2785[erm] + s_3030[erm]"	"stearoyl-CoA[erm] + diglyceride (1-16:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-18:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1080	"r_2388"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2971[erm]  -> s_2785[erm] + s_3031[erm]"	"stearoyl-CoA[erm] + diglyceride (1-18:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-16:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1081	"r_2389"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2972[erm]  -> s_2785[erm] + s_3032[erm]"	"stearoyl-CoA[erm] + diglyceride (1-18:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-18:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1082	"r_2390"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2973[erm]  -> s_2785[erm] + s_3033[erm]"	"stearoyl-CoA[erm] + diglyceride (1-18:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-16:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1083	"r_2391"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), ER membrane"	"s_2791[erm] + s_2974[erm]  -> s_2785[erm] + s_3034[erm]"	"stearoyl-CoA[erm] + diglyceride (1-18:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-18:1, 3-18:0)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1084	"r_2392"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2967[erm]  -> s_2785[erm] + s_3035[erm]"	"oleoyl-CoA[erm] + diglyceride (1-16:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-16:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1085	"r_2393"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2968[erm]  -> s_2785[erm] + s_3036[erm]"	"oleoyl-CoA[erm] + diglyceride (1-16:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:0, 2-18:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1086	"r_2394"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2969[erm]  -> s_2785[erm] + s_3037[erm]"	"oleoyl-CoA[erm] + diglyceride (1-16:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-16:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1087	"r_2395"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2970[erm]  -> s_2785[erm] + s_3038[erm]"	"oleoyl-CoA[erm] + diglyceride (1-16:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-16:1, 2-18:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1088	"r_2396"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2971[erm]  -> s_2785[erm] + s_3039[erm]"	"oleoyl-CoA[erm] + diglyceride (1-18:0, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-16:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1089	"r_2397"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2972[erm]  -> s_2785[erm] + s_3040[erm]"	"oleoyl-CoA[erm] + diglyceride (1-18:0, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:0, 2-18:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1090	"r_2398"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2973[erm]  -> s_2785[erm] + s_3041[erm]"	"oleoyl-CoA[erm] + diglyceride (1-18:1, 2-16:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-16:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1091	"r_2399"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:1), ER membrane"	"s_2821[erm] + s_2974[erm]  -> s_2785[erm] + s_3042[erm]"	"oleoyl-CoA[erm] + diglyceride (1-18:1, 2-18:1)[erm]  -> coenzyme A[erm] + triglyceride (1-18:1, 2-18:1, 3-18:1)[erm]"	"( YCR048W or YNR019W or YOR245C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22; 2.3.1.26"	"NA"
1092	"r_2400"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3043[lp]  -> s_0531[lp] + s_3044[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-16:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-16:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1093	"r_2401"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3045[lp]  -> s_0531[lp] + s_3046[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-16:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-18:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1094	"r_2402"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3047[lp]  -> s_0531[lp] + s_3048[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-16:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-16:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1095	"r_2403"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3049[lp]  -> s_0531[lp] + s_3050[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-16:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-18:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1096	"r_2404"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3051[lp]  -> s_0531[lp] + s_3052[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-18:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-16:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1097	"r_2405"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3053[lp]  -> s_0531[lp] + s_3054[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-18:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-18:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1098	"r_2406"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3055[lp]  -> s_0531[lp] + s_3056[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-18:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-16:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1099	"r_2407"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:0), lipid particle"	"s_2847[lp] + s_3057[lp]  -> s_0531[lp] + s_3058[lp]"	"palmitoyl-CoA[lp] + diglyceride (1-18:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-18:1, 3-16:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1100	"r_2408"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3043[lp]  -> s_0531[lp] + s_3059[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-16:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-16:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
