"MNXID"	"panID"	"EC"	"Equation"	"Description"
"MNXR116509"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM10225@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3866@MNXD1 + 1 MNXM41@MNXD1"	"1 `4-methylumbelliferyl beta-D-glucoside` + 1 `H2O` = 1 `4-methylumbelliferone` + 1 `D-glucose`"
"MNXR118195"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM60199@MNXD1 = 1 MNXM4035@MNXD1 + 1 MNXM41@MNXD1"	"1 `H2O` + 1 `Linustatin` = 1 `linamarin` + 1 `D-glucose`"
"MNXR118196"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM12137@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM64385@MNXD1"	"1 `Lotaustralin` + 1 `D-glucose` = 1 `H2O` + 1 `Neolinustatin`"
"MNXR118555"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM4822@MNXD1 = 1 MNXM3357@MNXD1 + 1 MNXM41@MNXD1"	"1 `H2O` + 1 `scopolin` = 1 `scopoletin` + 1 `D-glucose`"
"MNXR121796"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2066@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4035@MNXD1"	"1 `2-hydroxy-2-methylpropanenitrile` + 1 `D-glucose` = 1 `H2O` + 1 `linamarin`"
"MNXR122934"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM12137@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM2041@MNXD1 + 1 MNXM41@MNXD1"	"1 `Lotaustralin` + 1 `H2O` = 1 `(2R)-2-hydroxy-2-methylbutanenitrile` + 1 `D-glucose`"
"MNXR126492"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM776@MNXD1"	"2 `beta-D-glucose` = 1 `H2O` + 1 `D-cellobiose`"
"MNXR129885"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1142@MNXD1 + 1 MNXM526@MNXD1 = 1 MNXM166458@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-cellobiose` + 1 `4-nitrophenol` = 1 `4-Nitrophenyl-beta-cellobioside` + 1 `H2O`"
"MNXR130465"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM168792@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM526@MNXD1 + 1 MNXM7115@MNXD1"	"1 `p-Nitrophenyl-beta-D-fucopyranoside` + 1 `H2O` = 1 `4-nitrophenol` + 1 `beta-D-fucose`"
"MNXR130680"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM166453@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM41341@MNXD1 + 1 MNXM526@MNXD1"	"1 `4-nitrophenyl alpha-L-arabinoside` + 1 `H2O` = 1 `H(+)` + 1 `alpha-L-arabinopyranose` + 1 `4-nitrophenol`"
"MNXR130797"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM82475@MNXD1"	"2 `beta-D-glucose` = 1 `H2O` + 1 `sophorose`"
"MNXR130820"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM168793@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM526@MNXD1 + 1 MNXM7115@MNXD1"	"1 `p-Nitrophenyl-beta-D-fucoside` + 1 `H2O` = 1 `4-nitrophenol` + 1 `beta-D-fucose`"
"MNXR130821"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM18038@MNXD1 + 1 MNXM2@MNXD1"	"2 `beta-D-glucose` = 1 `gentiobiose` + 1 `H2O`"
"MNXR130822"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2249@MNXD1"	"2 `beta-D-glucose` = 1 `H2O` + 1 `laminarabiose`"
"MNXR130823"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM2249@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM59701@MNXD1"	"1 `beta-D-glucose` + 1 `laminarabiose` = 1 `H2O` + 1 `laminaritriose`"
"MNXR130824"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM2410@MNXD1 = 1 MNXM168581@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `1-octanol` = 1 `N-Octyl-beta-D-glucoside` + 1 `H2O`"
"MNXR130825"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM18347@MNXD1 = 1 MNXM168563@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `1-Heptanol` = 1 `N-Heptyl-beta-D-glucoside` + 1 `H2O`"
"MNXR130826"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM168794@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM526@MNXD1 + 1 MNXM7967@MNXD1"	"1 `p-Nitrophenyl-beta-D-mannopyranoside` + 1 `H2O` = 1 `4-nitrophenol` + 1 `beta-D-mannose`"
"MNXR130991"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM10225@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM105@MNXD1 + 1 MNXM3866@MNXD1"	"1 `4-methylumbelliferyl beta-D-glucoside` + 1 `H2O` = 1 `beta-D-glucose` + 1 `4-methylumbelliferone`"
"MNXR130993"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM112@MNXD1 + 1 MNXM3866@MNXD1 = 1 MNXM164312@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-galactose` + 1 `4-methylumbelliferone` = 1 `4-methylumbelliferyl beta-D-galactoside` + 1 `H2O`"
"MNXR131189"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM0@MNXD1 + 1 MNXM105@MNXD1 = 1 MNXM167368@MNXD1 + 1 MNXM2@MNXD1"	"1 `molecular entity` + 1 `beta-D-glucose` = 1 `C6-4-Nitrobenzo-2-oxa-1,3-diazole-glucosylceramide` + 1 `H2O`"
"MNXR131190"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM0@MNXD1 + 1 MNXM112@MNXD1 = 1 MNXM167367@MNXD1 + 1 MNXM2@MNXD1"	"1 `molecular entity` + 1 `beta-D-galactose` = 1 `C6-4-Nitrobenzo-2-oxa-1,3-diazole-galactosylceramide` + 1 `H2O`"
"MNXR131191"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM96425@MNXD1 = 1 MNXM146539@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `a ceramide` = 1 `D-glucosyl-N-acylsphingosine` + 1 `H2O`"
"MNXR131209"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM166435@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3866@MNXD1 + 1 MNXM7115@MNXD1"	"1 `4-Methylumbelliferyl-beta-D-fucopyranoside` + 1 `H2O` = 1 `4-methylumbelliferone` + 1 `beta-D-fucose`"
"MNXR131210"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM166421@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3866@MNXD1 + 1 MNXM41341@MNXD1"	"1 `4-methylumbelliferyl alpha-L-arabinoside` + 1 `H2O` = 1 `4-methylumbelliferone` + 1 `alpha-L-arabinopyranose`"
"MNXR131211"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM327@MNXD1 = 1 MNXM167711@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `estrone` = 1 `Estrone-3-beta-D-glucose` + 1 `H2O`"
"MNXR131246"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM16334@MNXD1 + 1 MNXM526@MNXD1 = 1 MNXM165059@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-L-arabinopyranose` + 1 `4-nitrophenol` = 1 `p-Nitrophenyl-beta-L-arabinopyranoside` + 1 `H2O`"
"MNXR131247"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM620@MNXD1 = 1 MNXM168960@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `quercetin` = 1 `Quercetin 4-O-beta-D-glucoside` + 1 `H2O`"
"MNXR131248"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM620@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM6414@MNXD1"	"1 `beta-D-glucose` + 1 `quercetin` = 1 `H2O` + 1 `quercetin 7-O-beta-D-glucoside`"
"MNXR131249"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1@MNXD1 + 1 MNXM105@MNXD1 + 1 MNXM879@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2794@MNXD1"	"1 `H(+)` + 1 `beta-D-glucose` + 1 `apigenin` = 1 `H2O` + 1 `apigenin 7-O-beta-D-glucoside`"
"MNXR131250"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM556@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM5242@MNXD1"	"1 `beta-D-glucose` + 1 `(S)-naringenin` = 1 `H2O` + 1 `naringenin 7-O-beta-D-glucoside`"
"MNXR131251"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM1326@MNXD1 = 1 MNXM167695@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `eriodictyol` = 1 `Eriodictyol 7-O-beta-D-glucoside` + 1 `H2O`"
"MNXR131252"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM1476@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3602@MNXD1"	"1 `beta-D-glucose` + 1 `genistein` = 1 `H2O` + 1 `genistein 7-O-beta-D-glucoside`"
"MNXR131253"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1@MNXD1 + 1 MNXM105@MNXD1 + 1 MNXM1227@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3575@MNXD1"	"1 `H(+)` + 1 `beta-D-glucose` + 1 `daidzein` = 1 `H2O` + 1 `daidzein 7-O-beta-D-glucoside`"
"MNXR131254"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM167596@MNXD1 = 1 MNXM167595@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `Daidzein-7-malonide` = 1 `Daidzein 7-malonyl-beta-D-glucopyranoside` + 1 `H2O`"
"MNXR131255"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM620@MNXD1 = 1 MNXM108388@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `quercetin` = 1 `quercetin 3,4'-di-O-beta-D-glucoside` + 1 `H2O`"
"MNXR131256"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM1086@MNXD1 = 1 MNXM168237@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `luteolin` = 1 `Luteolin 4-O-beta-D-glucoside` + 1 `H2O`"
"MNXR131257"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM1086@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3050@MNXD1"	"1 `beta-D-glucose` + 1 `luteolin` = 1 `H2O` + 1 `luteolin 7-O-beta-D-glucoside`"
"MNXR131500"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM320@MNXD1 = 1 MNXM16055@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `phenol` = 1 `Phenyl beta-D-glucopyranoside` + 1 `H2O`"
"MNXR131501"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM376@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2683@MNXD1"	"1 `beta-D-glucose` + 1 `hydroquinone` = 1 `H2O` + 1 `hydroquinone O-beta-D-glucopyranoside`"
"MNXR131760"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM3588@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM7309@MNXD1"	"1 `beta-D-glucose` + 1 `DIMBOA` = 1 `H2O` + 1 `DIMBOA beta-D-glucoside`"
"MNXR131828"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM3012@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM97038@MNXD1"	"1 `H2O` + 1 `dhurrin` = 1 `D-glucose` + 1 `4-hydroxymandelonitrile`"
"MNXR131829"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM0@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM144912@MNXD1 + 1 MNXM2@MNXD1"	"1 `molecular entity` + 1 `D-glucose` = 1 `Torvoside A` + 1 `H2O`"
"MNXR131830"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM3869@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM419@MNXD1"	"1 `H2O` + 1 `5'-O-beta-D-glucosylpyridoxine` = 1 `D-glucose` + 1 `pyridoxine`"
"MNXR132702"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM112@MNXD1 + 1 MNXM96425@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM545@MNXD1"	"1 `beta-D-galactose` + 1 `a ceramide` = 1 `H2O` + 1 `an N-acyl-beta-D-galactosyl-sphing-4-enine`"
"MNXR133069"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM157@MNXD1 = 1 MNXM164600@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `methanol` = 1 `beta-Methyl-D-glucopyranoside` + 1 `H2O`"
"MNXR133104"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM166439@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3866@MNXD1 + 1 MNXM5071@MNXD1"	"1 `4-Methylumbelliferyl-beta-D-xylopyranoside` + 1 `H2O` = 1 `4-methylumbelliferone` + 1 `beta-D-xylose`"
"MNXR133106"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1@MNXD1 + 1 MNXM5071@MNXD1 + 1 MNXM526@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM66248@MNXD1"	"1 `H(+)` + 1 `beta-D-xylose` + 1 `4-nitrophenol` = 1 `H2O` + 1 `4-nitrophenyl beta-D-xyloside`"
"MNXR133787"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM3468@MNXD1 = 1 MNXM168735@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `2-nitrophenol` = 1 `o-Nitrophenyl-beta-D-glucopyranoside` + 1 `H2O`"
"MNXR134050"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1@MNXD1 + 1 MNXM105@MNXD1 + 1 MNXM526@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM66245@MNXD1"	"1 `H(+)` + 1 `beta-D-glucose` + 1 `4-nitrophenol` = 1 `H2O` + 1 `4-nitrophenyl beta-D-glucoside`"
"MNXR134073"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1@MNXD1 + 1 MNXM526@MNXD1 + 1 MNXM99@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM37671@MNXD1"	"1 `H(+)` + 1 `4-nitrophenol` + 1 `alpha-D-glucose` = 1 `H2O` + 1 `4-nitrophenyl alpha-D-glucoside`"
"MNXR134074"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM168795@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM526@MNXD1 + 1 MNXM7967@MNXD1"	"1 `p-Nitrophenyl-beta-D-mannoside` + 1 `H2O` = 1 `4-nitrophenol` + 1 `beta-D-mannose`"
"MNXR134210"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM776@MNXD1 = 2 MNXM41@MNXD1"	"1 `H2O` + 1 `D-cellobiose` = 2 `D-glucose`"
"MNXR134500"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1357@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3104@MNXD1"	"1 `2-coumarate` + 1 `D-glucose` = 1 `H2O` + 1 `trans-beta-D-glucosyl-2-hydroxycinnamate`"
"MNXR135194"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 = 1 MNXM2@MNXD1"	"1 `beta-D-glucose` = 1 `H2O`"
"MNXR135237"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM162349@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM164712@MNXD1 + 1 MNXM2@MNXD1"	"1 `ROH` + 1 `D-glucose` = 1 `D-glucoside` + 1 `H2O`"
"MNXR135465"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM2@MNXD1"	"2 `beta-D-glucose` = 1 `H2O`"
