"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Lower bound"	"Upper bound"	"Objective"	"EC Number"	"References"	"KEGG ID"	"Subsystem_new"	"Subsystem_early_version"	"system_consistence"	"reaction_early_version"	"subsystem_consistence"	"reaction_consistence"
"r_0552"	"hydrogen peroxide reductase (thioredoxin)"	"s_0840[p] + s_1619[p]  -> 2 s_0809[p] + s_1623[p]"	"        "	"(( YGR209C and YLR109W ) or ( YLR043C and YLR109W ))"	"0"	"1000"	"0"	"1.11.1.15"	"14640681"	NA	"none"	"sulfur relay system ( sce04122 )"	FALSE	"hydrogen peroxide[p] + TRX1[p]  -> 2 H2O[p] + TRX1 disulphide[p]"	FALSE	FALSE
"r_0553"	"hydroxyacylglutathione hydrolase"	"s_0033[c] + s_0803[c]  -> s_0025[c] + s_0750[c] + s_0794[c]"	"         "	"YDR272W"	"0"	"1000"	"0"	"3.1.2.6"	NA	"R01736"	"pyruvate metabolism ( sce00620 )"	"pyruvate metabolism ( sce00620 )"	TRUE	"(R)-S-lactoylglutathione[c] + H2O[c]  -> (R)-lactate[c] + glutathione[c] + H+[c]"	TRUE	FALSE
"r_0554"	"hydroxyacylglutathione hydrolase"	"s_0034[m] + s_0807[m]  -> s_0027[m] + s_0752[m] + s_0799[m]"	"         "	"YOR040W"	"0"	"1000"	"0"	"3.1.2.6"	NA	"R01736"	"pyruvate metabolism ( sce00620 )"	"pyruvate metabolism ( sce00620 )"	TRUE	"(R)-S-lactoylglutathione[m] + H2O[m]  -> (R)-lactate[m] + glutathione[m] + H+[m]"	TRUE	FALSE
"r_0555"	"hydroxybenzoate octaprenyltransferase"	"s_0287[m] + s_0831[m]  -> s_0216[m] + s_0636[m]"	"       "	"YNR041C"	"0"	"1000"	"0"	"2.5.1.39"	NA	"R05616"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"4-hydroxybenzoate[m] + hexaprenyl diphosphate[m]  -> 3-hexaprenyl-4-hydroxybenzoic acid[m] + diphosphate[m]"	TRUE	FALSE
"r_0556"	"hydroxyethylthiazole kinase"	"s_0310[c] + s_0434[c]  -> s_0293[c] + s_0394[c] + s_0794[c]"	"         "	"YPL214C"	"0"	"1000"	"0"	"2.5.1.3; 2.7.1.50"	NA	"R04448"	"thiamine metabolism ( sce00730 )"	"thiamine metabolism ( sce00730 )"	TRUE	"5-(2-hydroxyethyl)-4-methylthiazole[c] + ATP[c]  -> 4-methyl-5-(2-phosphonooxyethyl)thiazole[c] + ADP[c] + H+[c]"	TRUE	FALSE
"r_0557"	"hydroxymethylbilane synthase"	"s_0803[c] + 4 s_1372[c]  -> 4 s_0419[c] + s_1378[c]"	"         "	"YDL205C"	"0"	"1000"	"0"	"2.5.1.61"	NA	NA	"porphyrin and chlorophyll metabolism ( sce00860 )"	"porphyrin and chlorophyll metabolism ( sce00860 )"	TRUE	"H2O[c] + 4 porphobilinogen[c]  -> 4 ammonium[c] + preuroporphyrinogen[c]"	TRUE	FALSE
"r_0558"	"hydroxymethylglutaryl CoA reductase"	"s_0218[c] + 2 s_0794[c] + 2 s_1212[c]  -> s_0028[c] + s_0529[c] + 2 s_1207[c]"	"              "	"( YLR450W or YML075C )"	"0"	"1000"	"0"	"1.1.1.34"	NA	"R02082"	"terpenoid backbone biosynthesis ( sce00900 )"	"terpenoid backbone biosynthesis ( sce00900 )"	TRUE	"3-hydroxy-3-methylglutaryl-CoA[c] + 2 H+[c] + 2 NADPH[c]  -> (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]"	TRUE	FALSE
"r_0559"	"hydroxymethylglutaryl CoA synthase"	"s_0367[c] + s_0373[c] + s_0803[c]  -> s_0218[c] + s_0529[c] + s_0794[c]"	"           "	"YML126C"	"0"	"1000"	"0"	"2.3.3.10"	NA	"R01978"	"terpenoid backbone biosynthesis ( sce00900 )"	"terpenoid backbone biosynthesis ( sce00900 )"	TRUE	"acetoacetyl-CoA[c] + acetyl-CoA[c] + H2O[c]  -> 3-hydroxy-3-methylglutaryl-CoA[c] + coenzyme A[c] + H+[c]"	TRUE	FALSE
"r_0560"	"hydroxymethylglutaryl CoA synthase"	"s_0370[m] + s_0376[m] + s_0807[m]  -> s_0221[m] + s_0532[m] + s_0799[m]"	"           "	"YML126C"	"0"	"1000"	"0"	"2.3.3.10"	NA	"R01978"	"terpenoid backbone biosynthesis ( sce00900 )"	"terpenoid backbone biosynthesis ( sce00900 )"	TRUE	"acetoacetyl-CoA[m] + acetyl-CoA[m] + H2O[m]  -> 3-hydroxy-3-methylglutaryl-CoA[m] + coenzyme A[m] + H+[m]"	TRUE	FALSE
"r_0561"	"hydroxymethylpyrimidine kinase (ATP)"	"s_0270[c] + s_0434[c]  -> s_0268[c] + s_0394[c] + s_0794[c]"	"         "	"( YOL055C or YPL258C or YPR121W )"	"0"	"1000"	"0"	"2.7.1.49; 2.7.4.7"	NA	"R03471"	"thiamine metabolism ( sce00730 )"	"thiamine metabolism ( sce00730 )"	TRUE	"4-amino-5-hydroxymethyl-2-methylpyrimidine[c] + ATP[c]  -> 4-amino-2-methyl-5-phosphomethylpyrimidine[c] + ADP[c] + H+[c]"	TRUE	FALSE
"r_0562"	"hypoxanthine phosphoribosyltransferase (Hypoxanthine)"	"s_0843[c] + s_1386[c]  -> s_0633[c] + s_0849[c]"	"       "	"YDR399W"	"0"	"1000"	"0"	"2.4.2.8"	NA	"R01132"	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"hypoxanthine[c] + PRPP[c]  -> diphosphate[c] + IMP[c]"	TRUE	FALSE
"r_0563"	"Imidazole-glycerol-3-phosphate synthase"	"s_0312[c] + s_0999[c]  -> s_0403[c] + s_0550[c] + s_0794[c] + s_0991[c]"	"           "	"YBR248C"	"0"	"1000"	"0"	"2.4.2.-; 4.1.3.-"	NA	"R04558"	"histidine metabolism ( sce00340 )"	"histidine metabolism ( sce00340 )"	TRUE	"5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c] + L-glutamine[c]  -> AICAR[c] + D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate[c] + H+[c] + L-glutamate[c]"	TRUE	FALSE
"r_0564"	"imidazoleglycerol-phosphate dehydratase"	"s_0550[c]  -> s_0207[c] + s_0803[c]"	"     "	"YOR202W"	"0"	"1000"	"0"	"4.2.1.19"	NA	"R03457"	"histidine metabolism ( sce00340 )"	"histidine metabolism ( sce00340 )"	TRUE	"D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate[c]  -> 3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate[c] + H2O[c]"	TRUE	FALSE
"r_0565"	"IMP dehydrogenase"	"s_0803[c] + s_0849[c] + s_1198[c]  -> s_0794[c] + s_1203[c] + s_1565[c]"	"           "	"( YHR216W or YLR432W or YML056C )"	"0"	"1000"	"0"	"1.1.1.205"	"11003640"	"R01130"	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"H2O[c] + IMP[c] + NAD[c]  -> H+[c] + NADH[c] + xanthosine-5-phosphate[c]"	TRUE	FALSE
"r_0566"	"indole-3-glycerol-phosphate synthase"	"s_0076[c] + s_0794[c]  -> s_0086[c] + s_0456[c] + s_0803[c]"	"         "	"YKL211C"	"0"	"1000"	"0"	"4.1.1.48; 4.1.3.27"	"6323449"	"R03508"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate[c] + H+[c]  -> 1-C-(indol-3-yl)glycerol 3-phosphate[c] + carbon dioxide[c] + H2O[c]"	TRUE	FALSE
"r_0567"	"indole-3-pyruvate decarboxylase"	"s_0794[c] + s_0855[c]  -> s_0456[c] + s_0850[c]"	"       "	"( YGR087C or YLR044C or YLR134W )"	"0"	"1000"	"0"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"12902239"	"R01974"	"tryptophan metabolism ( sce00380 )"	"tryptophan metabolism ( sce00380 )"	TRUE	"H+[c] + indole-3-pyruvate[c]  -> carbon dioxide[c] + indol-3-ylacetaldehyde[c]"	TRUE	FALSE
"r_0568"	"inorganic diphosphatase"	"s_0633[c] + s_0803[c]  -> s_0794[c] + 2 s_1322[c]"	"        "	"YBR011C"	"0"	"1000"	"0"	"3.6.1.1"	"8224193"	NA	"oxidative phosphorylation ( sce00190 )"	"oxidative phosphorylation ( sce00190 )"	TRUE	"diphosphate[c] + H2O[c]  -> H+[c] + 2 phosphate[c]"	TRUE	FALSE
"r_0569"	"inorganic diphosphatase"	"s_0636[m] + s_0807[m]  -> s_0799[m] + 2 s_1326[m]"	"        "	"YMR267W"	"0"	"1000"	"0"	"3.6.1.1"	"1648084"	NA	"oxidative phosphorylation ( sce00190 )"	"oxidative phosphorylation ( sce00190 )"	TRUE	"diphosphate[m] + H2O[m]  -> H+[m] + 2 phosphate[m]"	TRUE	FALSE
"r_0570"	"inosine monophosphate cyclohydrolase"	"s_1365[c]  <=> s_0803[c] + s_0849[c]"	"     "	"( YLR028C or YMR120C )"	"-1000"	"1000"	"0"	"2.1.2.3; 3.5.4.10"	NA	"R01127"	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"phosphoribosyl-formamido-carboxamide[c]  <=> H2O[c] + IMP[c]"	TRUE	FALSE
"r_0571"	"inositol-1,3,4,5,6-pentakisphosphate 2-kinase"	"s_0438[n] + s_0800[n] + s_1157[n]  -> s_0398[n] + s_1159[n]"	"         "	"YDR315C"	"0"	"1000"	"0"	"2.7.1.158"	"10960485"	"R05202"	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"ATP[n] + H+[n] + myo-inositol 1,3,4,5,6-pentakisphosphate[n]  -> ADP[n] + myo-inositol hexakisphosphate[n]"	TRUE	FALSE
"r_0572"	"inositol-1,3,4,5-triphosphate 6-kinase, nucleus"	"s_0123[n] + s_0438[n] + s_0800[n]  -> s_0398[n] + s_1157[n]"	"         "	"YDR173C"	"0"	"1000"	"0"	"2.7.1.151"	"11956213"	NA	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"1D-myo-inositol 1,3,4,5-tetrakisphosphate[n] + ATP[n] + H+[n]  -> ADP[n] + myo-inositol 1,3,4,5,6-pentakisphosphate[n]"	TRUE	FALSE
"r_0573"	"inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus"	"s_0124[n] + s_0438[n] + s_0800[n]  -> s_0398[n] + s_1157[n]"	"         "	"YDR173C"	"0"	"1000"	"0"	"2.7.1.151"	"11956213"	"R05801"	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"1D-myo-inositol 1,4,5,6-tetrakisphosphate[n] + ATP[n] + H+[n]  -> ADP[n] + myo-inositol 1,3,4,5,6-pentakisphosphate[n]"	TRUE	FALSE
"r_0574"	"inositol-1,4,5-triphosphate 6-kinase, nucleus"	"s_0125[n] + s_0438[n] + s_0800[n]  -> s_0124[n] + s_0398[n]"	"         "	"YDR173C"	"0"	"1000"	"0"	"2.7.1.151"	"11956213"	"R05800"	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"1D-myo-inositol 1,4,5-trisphosphate[n] + ATP[n] + H+[n]  -> 1D-myo-inositol 1,4,5,6-tetrakisphosphate[n] + ADP[n]"	TRUE	FALSE
"r_0575"	"inositol-1,4,5-trisphosphate 3-kinase, nucleus"	"s_0125[n] + s_0438[n] + s_0800[n]  -> s_0123[n] + s_0398[n]"	"         "	"YDR173C"	"0"	"1000"	"0"	"2.7.1.151"	"11956213"	"R03433"	"inositol phosphate metabolism ( sce00562 )"	"inositol phosphate metabolism ( sce00562 )"	TRUE	"1D-myo-inositol 1,4,5-trisphosphate[n] + ATP[n] + H+[n]  -> 1D-myo-inositol 1,3,4,5-tetrakisphosphate[n] + ADP[n]"	TRUE	FALSE
"r_0596"	"IPS phospholipase C"	"s_0804[er] + s_1116[er]  -> s_0475[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide A (C24)[er]  -> ceramide-1 (C24)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0597"	"IPS phospholipase C"	"s_0804[er] + s_1119[er]  -> s_0478[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide A (C26)[er]  -> ceramide-1 (C26)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0598"	"IPS phospholipase C"	"s_0804[er] + s_1128[er]  -> s_0487[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide B' (C24)[er]  -> ceramide-2' (C24)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0599"	"IPS phospholipase C"	"s_0804[er] + s_1131[er]  -> s_0490[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide B' (C26)[er]  -> ceramide-2' (C26)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0600"	"IPS phospholipase C"	"s_0804[er] + s_1122[er]  -> s_0481[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide B (C24)[er]  -> ceramide-2 (C24)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0601"	"IPS phospholipase C"	"s_0804[er] + s_1125[er]  -> s_0484[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide B (C26)[er]  -> ceramide-2 (C26)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0602"	"IPS phospholipase C"	"s_0804[er] + s_1134[er]  -> s_0493[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide C (C24)[er]  -> ceramide-3 (C24)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0603"	"IPS phospholipase C"	"s_0804[er] + s_1137[er]  -> s_0496[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide C (C26)[er]  -> ceramide-3 (C26)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0604"	"IPS phospholipase C"	"s_0804[er] + s_1140[er]  -> s_0499[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide D (C24)[er]  -> ceramide-4 (C24)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0605"	"IPS phospholipase C"	"s_0804[er] + s_1143[er]  -> s_0502[er] + s_1111[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + mannosylinositol phosphorylceramide D (C26)[er]  -> ceramide-4 (C26)[er] + mannose-1D-myo-inositol 1-phosphate[er]"	TRUE	FALSE
"r_0606"	"IPS phospholipase C"	"s_0804[er] + s_0861[er]  -> s_0475[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide A (C24)[er]  -> ceramide-1 (C24)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0607"	"IPS phospholipase C"	"s_0804[er] + s_0864[er]  -> s_0478[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide A (C26)[er]  -> ceramide-1 (C26)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0608"	"IPS phospholipase C"	"s_0804[er] + s_0873[er]  -> s_0487[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide B' (C24)[er]  -> ceramide-2' (C24)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0609"	"IPS phospholipase C"	"s_0804[er] + s_0876[er]  -> s_0490[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide B' (C26)[er]  -> ceramide-2' (C26)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0610"	"IPS phospholipase C"	"s_0804[er] + s_0867[er]  -> s_0481[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide B (C24)[er]  -> ceramide-2 (C24)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0611"	"IPS phospholipase C"	"s_0804[er] + s_0870[er]  -> s_0484[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide B (C26)[er]  -> ceramide-2 (C26)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0612"	"IPS phospholipase C"	"s_0804[er] + s_0879[er]  -> s_0493[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide C (C24)[er]  -> ceramide-3 (C24)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0613"	"IPS phospholipase C"	"s_0804[er] + s_0882[er]  -> s_0496[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide C (C26)[er]  -> ceramide-3 (C26)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0614"	"IPS phospholipase C"	"s_0804[er] + s_0885[er]  -> s_0499[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide D (C24)[er]  -> ceramide-4 (C24)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0615"	"IPS phospholipase C"	"s_0804[er] + s_0888[er]  -> s_0502[er] + s_1109[er]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"11006294; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[er] + inositol phosphomannosylinositol phosphoceramide D (C26)[er]  -> ceramide-4 (C26)[er] + mannose-(1D-myo-inositol 1-phosphate)2[er]"	TRUE	FALSE
"r_0616"	"IPS phospholipase C"	"s_0807[m] + s_0896[m]  -> s_0129[m] + s_0477[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide A (C24)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-1 (C24)[m]"	TRUE	FALSE
"r_0617"	"IPS phospholipase C"	"s_0807[m] + s_0899[m]  -> s_0129[m] + s_0480[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide A (C26)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-1 (C26)[m]"	TRUE	FALSE
"r_0618"	"IPS phospholipase C"	"s_0807[m] + s_0908[m]  -> s_0129[m] + s_0489[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide B' (C24)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-2' (C24)[m]"	TRUE	FALSE
"r_0619"	"IPS phospholipase C"	"s_0807[m] + s_0911[m]  -> s_0129[m] + s_0492[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide B' (C26)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-2' (C26)[m]"	TRUE	FALSE
"r_0620"	"IPS phospholipase C"	"s_0807[m] + s_0902[m]  -> s_0129[m] + s_0483[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide B (C24)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-2 (C24)[m]"	TRUE	FALSE
"r_0621"	"IPS phospholipase C"	"s_0807[m] + s_0905[m]  -> s_0129[m] + s_0486[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide B (C26)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-2 (C26)[m]"	TRUE	FALSE
"r_0622"	"IPS phospholipase C"	"s_0807[m] + s_0914[m]  -> s_0129[m] + s_0495[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide C (C24)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-3 (C24)[m]"	TRUE	FALSE
"r_0623"	"IPS phospholipase C"	"s_0807[m] + s_0917[m]  -> s_0129[m] + s_0498[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide C (C26)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-3 (C26)[m]"	TRUE	FALSE
"r_0624"	"IPS phospholipase C"	"s_0807[m] + s_0920[m]  -> s_0129[m] + s_0501[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide D (C24)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-4 (C24)[m]"	TRUE	FALSE
"r_0625"	"IPS phospholipase C"	"s_0807[m] + s_0923[m]  -> s_0129[m] + s_0504[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + inositol-P-ceramide D (C26)[m]  -> 1D-myo-inositol 3-phosphate[m] + ceramide-4 (C26)[m]"	TRUE	FALSE
"r_0626"	"IPS phospholipase C"	"s_0807[m] + s_1118[m]  -> s_0477[m] + s_1112[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + mannosylinositol phosphorylceramide A (C24)[m]  -> ceramide-1 (C24)[m] + mannose-1D-myo-inositol 1-phosphate[m]"	TRUE	FALSE
"r_0627"	"IPS phospholipase C"	"s_0807[m] + s_1121[m]  -> s_0480[m] + s_1112[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + mannosylinositol phosphorylceramide A (C26)[m]  -> ceramide-1 (C26)[m] + mannose-1D-myo-inositol 1-phosphate[m]"	TRUE	FALSE
"r_0628"	"IPS phospholipase C"	"s_0807[m] + s_1130[m]  -> s_0489[m] + s_1112[m]"	"       "	"YER019W"	"0"	"1000"	"0"	"3.1.4.-"	"17880915; 18296751"	NA	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"H2O[m] + mannosylinositol phosphorylceramide B' (C24)[m]  -> ceramide-2' (C24)[m] + mannose-1D-myo-inositol 1-phosphate[m]"	TRUE	FALSE
