ID	Abbreviation	Description_new	Description	GPR	Subsystem_new	KEGG ID	IsReversible
154	R_ANS	M_chor_c + M_gln_L_c <=> M_anth_c + M_glu_L_c + M_h_c + M_pyr_c	Anthranilate synthase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R00986	FALSE
155	R_LEUTA	M_akg_c + M_leu_L_c <=> M_4mop_c + M_glu_L_c	Leucine transaminase	NA	valine, leucine and isoleucine metabolism	R01090	TRUE
156	R_HSTPT	M_glu_L_c + M_imacp_c <=> M_akg_c + M_hisp_c	Histidinol-phosphate transaminase	NA	histidine metabolism ( sce00340 )	R03243	FALSE
157	R_NADHK	M_atp_c + M_nadh_c <=> M_adp_c + M_h_c + M_nadph_c	NADH kinase	NA	nicotinate and nicotinamide metabolism ( sce00760 )	R00105	FALSE
158	R_O2t	M_o2_e <=> M_o2_c	O2 transport  diffusion	NA	NA	NA	TRUE
159	R_ALCD2m	M_etoh_m + M_nad_m <=> M_acald_m + M_h_m + M_nadh_m	ALCD2m	NA	glycolysis / gluconeogenesis ( sce00010 )	R00754	TRUE
160	R_O2tm	M_o2_c <=> M_o2_m	O2 transport  diffusion	NA	NA	NA	TRUE
161	R_TALA	M_g3p_c + M_s7p_c <=> M_e4p_c + M_f6p_c	Transaldolase	NA	NA	R01827	TRUE
162	R_HISTP	M_h2o_c + M_hisp_c <=> M_histd_c + M_pi_c	Histidinol-phosphatase	NA	histidine metabolism ( sce00340 )	R03013	FALSE
163	R_H2St	M_h2s_c <=> M_h2s_e	H2St	NA	NA	NA	TRUE
164	R_EX_glc_D_e	M_glc_D_e <=>	EX_glc_D_e	NA	NA	NA	FALSE
165	R_h_exportm	M_h_m <=>	export of mitochondrial protons to nirvana	NA	NA	NA	TRUE
166	R_EX_co2_e	M_co2_e <=>	CO2 exchange	NA	NA	NA	FALSE
167	R_h_exportc	M_h_c <=>	export of cytosolic protons to nirvana	NA	NA	NA	TRUE
168	R_PSCVTi	M_pep_c + M_skm5p_c <=> M_3psme_c + M_pi_c	3-phosphoshikimate 1-carboxyvinyltransferase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R03460	FALSE
169	R_GLU5K	M_atp_c + M_glu_L_c <=> M_adp_c + M_glu5p_c	Glutamate 5-kinase	NA	arginine and proline metabolism ( sce00330 )	R00239	FALSE
170	R_2OXOADPtim	M_2oxoadp_m + M_akg_c <=> M_2oxoadp_c + M_akg_m	2 oxoadipate transport out of mitochondria via diffusion	NA	NA	NA	FALSE
171	R_AGPRim	M_acg5p_m + M_h_m + M_nadph_m <=> M_acg5sa_m + M_nadp_m + M_pi_m	N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial	NA	arginine biosynthesis ( sce00220 )	R03443	FALSE
172	R_ACONT	M_cit_c <=> M_icit_c	Aconitase	NA	lysine metabolism	R01324	TRUE
173	R_HEX1	M_atp_c + M_glc_D_c <=> M_adp_c + M_g6p_c + M_h_c	Hexokinase (D-glucose:ATP)	NA	glycolysis / gluconeogenesis ( sce00010 )	R00299	FALSE
174	R_EX_ac_e	M_ac_e <=>	Acetate exchange	NA	NA	NA	FALSE
175	R_PPNDH	M_h_c + M_pphn_c <=> M_co2_c + M_h2o_c + M_phpyr_c	Prephenate dehydratase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R01373	FALSE
176	R_GLCP	M_glycogen_c + M_pi_c <=> M_g1p_c	Glycogen phosphorylase	NA	NA	R01821	FALSE
177	R_NADKm	M_atp_m + M_nad_m <=> M_adp_m + M_h_m + M_nadp_m	NAD kinase  mitochondrial	NA	nicotinate and nicotinamide metabolism ( sce00760 )	R00104	FALSE
178	R_PFK	M_atp_c + M_f6p_c <=> M_adp_c + M_fdp_c + M_h_c	Phosphofructokinase	NA	glycolysis / gluconeogenesis ( sce00010 )	R00756	FALSE
179	R_HICITDm	M_hicit_m + M_nad_m <=> M_h_m + M_nadh_m + M_oxag_m	Homoisocitrate dehydrogenase	NA	NA	R04862	TRUE
180	R_dampSYN	M_amp_c + M_h_c + M_nadph_c <=> M_damp_c + M_h2o_c + M_nadp_c	dampSYN	NA	NA	NA	FALSE
181	R_EX_h2o_e	M_h2o_e <=>	H2O exchange	NA	NA	NA	FALSE
182	R_NH4t	M_nh4_e <=> M_nh4_c	Ammonia reversible transport	NA	NA	NA	TRUE
183	R_ergstSYN	2 M_atp_c + M_h_c + M_met_L_c + 3 M_nadph_c + 2 M_o2_c + M_zymst_c <=> M_adp_c + M_amp_c + M_ergst_c + 2 M_h2o_c + M_hcys_L_c + 3 M_nadp_c + M_pi_c + M_ppi_c	ergstSYN	NA	NA	NA	FALSE
184	R_SBP	M_h2o_c + M_s17bp_c <=> M_pi_c + M_s7p_c	Sedoheptulose 1,7-bisphosphatase	NA	other	R01845	FALSE
185	R_EX_h2s_e	M_h2s_e <=>	Hydrogen sulfide exchange	NA	NA	NA	FALSE
186	R_AGTm	M_ala_L_m + M_glx_m <=> M_gly_m + M_pyr_m	AGTim	NA	alanine, aspartate and glutamate metabolism ( sce00250 )	R00369	TRUE
187	R_ME1m	M_mal_L_m + M_nad_m <=> M_co2_m + M_nadh_m + M_pyr_m	Malic enzyme  NAD   mitochondrial	NA	pyruvate metabolism ( sce00620 )	R00214	FALSE
188	R_ALDD2xm	M_acald_m + M_h2o_m + M_nad_m <=> M_ac_m + 2 M_h_m + M_nadh_m	Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial	NA	glycolysis / gluconeogenesis ( sce00010 )	R00710	FALSE
189	R_HACNHm	M_b124tc_m + M_h2o_m <=> M_hicit_m	Homoacontinate hydratase  mitochondrial	NA	lysine metabolism	R04371	TRUE
190	R_ACONTm	M_cit_m <=> M_icit_m	Aconitate hydratase	NA	lysine metabolism	R01324	TRUE
191	R_DDPA	M_e4p_c + M_h2o_c + M_pep_c <=> M_2dda7p_c + M_pi_c	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R01826	FALSE
192	R_SUCFUMtm	M_fum_m + M_succ_c <=> M_fum_c + M_succ_m	Succinate fumarate transport  mitochondrial	NA	NA	NA	FALSE
193	R_ALAt2m	M_ala_L_c <=> M_ala_L_m	Amino acid transporter (ala-L), mitochondrial	NA	NA	NA	FALSE
194	R_ACLSm	M_h_m + 2 M_pyr_m <=> M_alac_S_m + M_co2_m	Acetolactate synthase  mitochondrial	NA	valine, leucine and isoleucine metabolism	R00006	FALSE
195	R_ICDHy	M_icit_c + M_nadp_c <=> M_akg_c + M_co2_c + M_nadph_c	Isocitrate dehydrogenase (NADP)	NA	citrate cycle (tca cycle) ( sce00020 )	R00267	TRUE
196	R_NADH2_u6cm	M_h_c + M_nadh_c + M_q6_m <=> M_nad_c + M_q6h2_m	NADH dehydrogenase  cytosolicmitochondrial	NA	citrate cycle (tca cycle) ( sce00020 )	R00342	FALSE
197	R_TREt2	M_h_e + M_tre_e <=> M_h_c + M_tre_c	Trehalose transport in via proton symporter	NA	NA	NA	FALSE
198	R_UMPK	M_atp_c + M_ump_c <=> M_adp_c + M_udp_c	UMP kinase	NA	pyrimidine metabolism ( sce00240 )	R00158	TRUE
199	R_mannanSYN	M_atp_c + M_f6p_c <=> M_adp_c + M_mannan_c + M_ppi_c	mannanSYN	NA	NA	NA	FALSE
200	R_AASAD1	M_L2aadp_c + M_atp_c + M_h_c + M_nadph_c <=> M_L2aadp6sa_c + M_amp_c + M_nadp_c + M_ppi_c	L aminoadipate semialdehyde dehydrogenase  NADPH	NA	NA	R03103	FALSE
201	R_ACOAHm	M_accoa_m + M_h2o_m <=> M_ac_m + M_coa_m + M_h_m	acetyl-CoA hydrolase	NA	pyruvate metabolism ( sce00620 )	R00227	FALSE
202	R_PSP_L	M_h2o_c + M_pser_L_c <=> M_pi_c + M_ser_L_c	Phosphoserine phosphatase (L-serine)	NA	glycine, serine and threonine metabolism ( sce00260 )	R00582	FALSE
203	R_HSK	M_atp_c + M_hom_L_c <=> M_adp_c + M_h_c + M_phom_c	Homoserine kinase	NA	glycine, serine and threonine metabolism ( sce00260 )	R01771	FALSE
204	R_GLCS2	M_udpg_c <=> M_glycogen_c + M_h_c + M_udp_c	Glycogen synthase  UDPGlc	NA	NA	R00292	FALSE
205	R_MTHFR3	M_h_c + M_mlthf_c + M_nadph_c <=> M_5mthf_c + M_nadp_c	5 10 methylenetetrahydrofolatereductase  NADPH	NA	one carbon pool by folate ( sce00670 )	R01224	FALSE
206	R_EX_tre_e	M_tre_e <=>	Trehalose exchange	NA	NA	NA	FALSE
207	R_aicarSYN	M_10fthf_c + M_asp_L_c + 5 M_atp_c + M_co2_c + 2 M_gln_L_c + M_gly_c + 2 M_h2o_c + M_r5p_c <=> 4 M_adp_c + M_aicar_c + M_amp_c + M_fum_c + 2 M_glu_L_c + 8 M_h_c + 4 M_pi_c + M_ppi_c + M_thf_c	aicarSYN	NA	NA	NA	FALSE
208	R_AKGDam	M_akg_m + M_coa_m + M_nad_m <=> M_co2_m + M_nadh_m + M_succoa_m	Oxoglutarate dehydrogenase  lipoamide	NA	NA	R01197	FALSE
209	R_TPI	M_dhap_c <=> M_g3p_c	Triose-phosphate isomerase	NA	NA	R01015	TRUE
210	R_ARGSSr	M_asp_L_c + M_atp_c + M_citr_L_c <=> M_amp_c + M_argsuc_c + M_h_c + M_ppi_c	Argininosuccinate synthase	NA	arginine biosynthesis ( sce00220 )	R01954	TRUE
211	R_PYRt2	M_pyr_e <=> M_pyr_c	Pyruvate transport in via proton symport	NA	NA	NA	TRUE
212	R_NH4tm	M_nh4_c <=> M_nh4_m	NH3 mitochondrial transport	NA	NA	NA	TRUE
213	R_CITttm	M_akg_c + M_cit_m <=> M_akg_m + M_cit_c	citrate-oxoglutarate NADPH shuttle	NA	NA	NA	TRUE
214	R_gmpSYN	M_10fthf_c + M_aicar_c + M_atp_c + M_gln_L_c + M_h2o_c + M_nad_c <=> M_amp_c + M_glu_L_c + M_gmp_c + 3 M_h_c + M_nadh_c + M_ppi_c + M_thf_c	gmpSYN	NA	NA	NA	FALSE
215	R_CYSTGL	M_cyst_L_c + M_h2o_c <=> M_2obut_c + M_cys_L_c + M_nh4_c	Cystathionine g lyase	NA	NA	R01001	FALSE
216	R_ASPTA	M_akg_c + M_asp_L_c <=> M_glu_L_c + M_oaa_c	Aspartate transaminase	NA	alanine, aspartate and glutamate metabolism ( sce00250 )	R00355	TRUE
217	R_CHORM	M_chor_c <=> M_pphn_c	Chorismate mutase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R01715	FALSE
218	R_CYSTS	M_hcys_L_c + M_ser_L_c <=> M_cyst_L_c + M_h2o_c	Cystathionine beta synthase	NA	glycine, serine and threonine metabolism ( sce00260 )	R01290	FALSE
219	R_ALDD2ym	M_acald_m + M_h2o_m + M_nadp_m <=> M_ac_m + 2 M_h_m + M_nadph_m	Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial	NA	glycolysis / gluconeogenesis ( sce00010 )	R00711	FALSE
220	R_MTHFD	M_mlthf_c + M_nadp_c <=> M_h_c + M_methf_c + M_nadph_c	Methylenetetrahydrofolate dehydrogenase (NADP)	NA	one carbon pool by folate ( sce00670 )	R01220	TRUE
221	R_MTHFC	M_h2o_c + M_methf_c <=> M_10fthf_c	Methenyltetrahydrofolate cyclohydrolase	NA	one carbon pool by folate ( sce00670 )	R01655	TRUE
222	R_NDPK2	M_atp_c + M_udp_c <=> M_adp_c + M_utp_c	Nucleoside-diphosphate kinase (ATP:UDP)	NA	pyrimidine metabolism ( sce00240 )	R00156	TRUE
223	R_ACALDtm	M_acald_c <=> M_acald_m	Acetaldehyde mitochondrial diffusion	NA	NA	NA	TRUE
224	R_PPCK	M_atp_c + M_oaa_c <=> M_adp_c + M_co2_c + M_pep_c	Phosphoenolpyruvate carboxykinase	NA	glycolysis / gluconeogenesis ( sce00010 )	R00341	FALSE
225	R_G3PD1ir	M_dhap_c + M_h_c + M_nadh_c <=> M_glyc3p_c + M_nad_c	Glycerol 3 phosphate dehydrogenase  NAD	NA	glycerophospholipid metabolism ( sce00564 )	R00842	FALSE
226	R_EX_nh4_e	M_nh4_e <=>	Ammonia exchange	NA	NA	NA	FALSE
227	R_ASNS1	M_asp_L_c + M_atp_c + M_gln_L_c + M_h2o_c <=> M_amp_c + M_asn_L_c + M_glu_L_c + M_h_c + M_ppi_c	Asparagine synthase (glutamine-hydrolysing)	NA	alanine, aspartate and glutamate metabolism ( sce00250 )	R00578	FALSE
228	R_ARGSL	M_argsuc_c <=> M_arg_L_c + M_fum_c	Argininosuccinate lyase	NA	arginine biosynthesis ( sce00220 )	R01086	TRUE
229	R_THRt2m	M_thr_L_c <=> M_thr_L_m	Threonine mitochondrial transport via proton symport	NA	NA	NA	TRUE
230	R_ATPtm_H	M_adp_c + M_atp_m <=> M_adp_m + M_atp_c	ATPtm	NA	NA	NA	FALSE
231	R_TRE6PS	M_g6p_c + M_udpg_c <=> M_h_c + M_tre6p_c + M_udp_c	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)	NA	starch and sucrose metabolism ( sce00500 )	R00836	FALSE
232	R_MALS	M_accoa_c + M_glx_c + M_h2o_c <=> M_coa_c + M_h_c + M_mal_L_c	Malate synthase	NA	pyruvate metabolism ( sce00620 )	R00472	FALSE
233	R_MDH	M_mal_L_c + M_nad_c <=> M_h_c + M_nadh_c + M_oaa_c	Malate dehydrogenase	NA	citrate cycle (tca cycle) ( sce00020 )	R00342	TRUE
234	R_KARA1im	M_alac_S_m + M_h_m + M_nadph_m <=> M_23dhmb_m + M_nadp_m	Acetohydroxy acid isomeroreductase  mitochondrial	NA	Pantothenate and CoA biosynthesis	R03051	FALSE
235	R_METS	M_5mthf_c + M_hcys_L_c <=> M_met_L_c + M_thf_c	Methionine synthase	NA	cysteine and methionine metabolism ( sce00270 )	R00946	FALSE
236	R_MDHm	M_mal_L_m + M_nad_m <=> M_h_m + M_nadh_m + M_oaa_m	Malate dehydrogenase  mitochondrial	NA	citrate cycle (tca cycle) ( sce00020 )	R00342	TRUE
237	R_PYK	M_adp_c + M_h_c + M_pep_c <=> M_atp_c + M_pyr_c	Pyruvate kinase	NA	glycolysis / gluconeogenesis ( sce00010 )	R00200	FALSE
238	R_PIt2m	M_h_c + M_pi_c <=> M_h_m + M_pi_m	Phosphate transporter  mitochondrial	NA	NA	NA	TRUE
239	R_CHORS	M_3psme_c <=> M_chor_c + M_pi_c	Chorismate synthase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R01714	FALSE
240	R_PPA	M_h2o_c + M_ppi_c <=> M_h_c + 2 M_pi_c	Inorganic diphosphatase	NA	None	R00004	FALSE
241	R_AATA	M_2oxoadp_c + M_glu_L_c <=> M_L2aadp_c + M_akg_c	2 aminoadipate transaminase	NA	lysine metabolism	R01939	TRUE
242	R_PRAIi	M_pran_c <=> M_2cpr5p_c	Phosphoribosylanthranilate isomerase (irreversible)	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R03509	FALSE
243	R_PGMT	M_g1p_c <=> M_g6p_c	Phosphoglucomutase	NA	pentose phosphate pathway ( sce00030 )	R08639	TRUE
244	R_NADH2_u6m	M_h_m + M_nadh_m + M_q6_m <=> M_nad_m + M_q6h2_m	NADH dehydrogenase  mitochondrial	NA	None	R02163	FALSE
245	R_ALATA_Lm	M_glu_L_m + M_pyr_m <=> M_akg_m + M_ala_L_m	L alanine transaminase  mitochondrial	NA	alanine, aspartate and glutamate metabolism ( sce00250 )	R00258	FALSE
246	R_ENO	M_2pg_c <=> M_h2o_c + M_pep_c	Enolase	NA	glycolysis / gluconeogenesis ( sce00010 )	R00658	TRUE
247	R_PIt2r	M_h_e + M_pi_e <=> M_h_c + M_pi_c	Phosphate reversible transport via symport	NA	NA	NA	TRUE
248	R_ATPPRT	M_atp_c + M_prpp_c <=> M_ppi_c + M_prbatp_c	ATP phosphoribosyltransferase	NA	histidine metabolism ( sce00340 )	R01071	FALSE
249	R_2OBUTtm	M_2obut_c <=> M_2obut_m	2obut transporter  mitochondrial	NA	NA	NA	TRUE
250	R_GLYt2m	M_gly_c <=> M_gly_m	Glycine mitochondrial transport via proton symport	NA	NA	NA	TRUE
251	R_KARA2im	M_2ahbut_m + M_h_m + M_nadph_m <=> M_23dhmp_m + M_nadp_m	Ketol acid reductoisomerase  2 Aceto 2 hydroxybutanoate   mitochondrial	NA	valine, leucine and isoleucine metabolism	R05069	FALSE
252	R_TYRTA	M_akg_c + M_tyr_L_c <=> M_34hpp_c + M_glu_L_c	Tyrosine transaminase	NA	tyrosine metabolism ( sce00350 )	R00734	TRUE
253	R_dcmpSYN	M_cmp_c + M_h_c + M_nadph_c <=> M_dcmp_c + M_h2o_c + M_nadp_c	dcmpSYN	NA	NA	NA	FALSE
254	R_SACCD2	M_h2o_c + M_nad_c + M_saccrp_L_c <=> M_akg_c + M_h_c + M_lys_L_c + M_nadh_c	Saccharopine dehydrogenase  NAD  L lysine forming	NA	lysine metabolism	R00715	TRUE
255	R_SUCOAS1m	M_atp_m + M_coa_m + M_succ_m <=> M_adp_m + M_pi_m + M_succoa_m	SUCOAS1m	NA	citrate cycle (tca cycle) ( sce00020 )	R00405	TRUE
256	R_GLNS	M_atp_c + M_glu_L_c + M_nh4_c <=> M_adp_c + M_gln_L_c + M_h_c + M_pi_c	Glutamine synthetase	NA	alanine, aspartate and glutamate metabolism ( sce00250 )	R00253	FALSE
257	R_EX_succ_e	M_succ_e <=>	Succinate exchange	NA	NA	NA	FALSE
258	R_zymstSYN	18 M_accoa_c + 18 M_atp_c + 11 M_h_c + 2 M_nad_c + 26 M_nadph_c + 10 M_o2_c <=> 18 M_adp_c + 8 M_co2_c + 18 M_coa_c + M_for_c + 7 M_h2o_c + 2 M_nadh_c + 26 M_nadp_c + 6 M_pi_c + 6 M_ppi_c + M_zymst_c	zymstSYN	NA	NA	NA	FALSE
259	R_GND	M_6pgc_c + M_nadp_c <=> M_co2_c + M_nadph_c + M_ru5p_D_c	Phosphogluconate dehydrogenase	NA	pentose phosphate pathway ( sce00030 )	R01528	FALSE
260	R_PHETA1pyr	M_phe_L_c + M_pyr_c <=> M_ala_L_c + M_phpyr_c	L-phenylalanine:pyruvate aminotransferase	NA	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	R00692	TRUE
261	R_ICDHym	M_icit_m + M_nadp_m <=> M_akg_m + M_co2_m + M_nadph_m	Isocitrate dehydrogenase  NADP	NA	citrate cycle (tca cycle) ( sce00020 )	R00267	TRUE
262	R_PRATPP	M_h2o_c + M_prbatp_c <=> M_h_c + M_ppi_c + M_prbamp_c	Phosphoribosyl-ATP pyrophosphatase	NA	histidine metabolism ( sce00340 )	R04035	FALSE
263	R_SULR	3 M_h2o_c + M_h2s_c + 3 M_nadp_c <=> 5 M_h_c + 3 M_nadph_c + M_so3_c	Sulfite reductase  NADPH2	NA	sulfur metabolism ( sce00920 )	R00858	TRUE
264	R_G3PT	M_glyc3p_c + M_h2o_c <=> M_glyc_c + M_pi_c	Glycerol-3-phosphatase	NA	glycerolipid metabolism ( sce00561 )	R00841	FALSE
265	R_GLCt1	M_glc_D_e <=> M_glc_D_c	Glucose transport  uniport	NA	NA	NA	FALSE
266	R_EX_so4_e	M_so4_e <=>	Sulfate exchange	NA	NA	NA	FALSE
267	R_SUCD2_u6m	M_q6_m + M_succ_m <=> M_fum_m + M_q6h2_m	Succinate dehydrogenase  ubiquinone 6   mitochondrial	NA	citrate cycle (tca cycle) ( sce00020 )	R02164	TRUE
268	R_GALU	M_g1p_c + M_h_c + M_utp_c <=> M_ppi_c + M_udpg_c	UTP-glucose-1-phosphate uridylyltransferase	NA	galactose metabolism ( sce00052 )	R00289	TRUE
269	R_ACSm	M_ac_m + M_atp_m + M_coa_m <=> M_accoa_m + M_amp_m + M_ppi_m	Acetyl CoA synthetase	NA	pyruvate metabolism ( sce00620 )	R00235	FALSE
270	R_AHSERL2	M_achms_c + M_h2s_c <=> M_ac_c + M_h_c + M_hcys_L_c	O acetylhomoserine  thiol  lyase	NA	cysteine and methionine metabolism ( sce00270 )	R01287	FALSE
