Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_0700	valine, leucine, and isoleucine metabolism	"sce00280 Valine, leucine and isoleucine degradation / sce00290 Valine, leucine and isoleucine biosynthesis/sce00270 Cysteine and methionine metabolism / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0701	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0702	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0703	arachidonic acid metabolism ( sce00590 )	kegg
r_0704	arachidonic acid metabolism ( sce00590 )	kegg
r_0705	arachidonic acid metabolism ( sce00590 )	kegg
r_0706	arachidonic acid metabolism ( sce00590 )	kegg
r_0707	arachidonic acid metabolism ( sce00590 )	kegg
r_0708	arachidonic acid metabolism ( sce00590 )	kegg
r_0711	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0712	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0713	citrate cycle (tca cycle) ( sce00020 )	/ sce00270 Cysteine and methionine metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism
r_0714	citrate cycle (tca cycle) ( sce00020 )	/ sce00270 Cysteine and methionine metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism
r_0715	citrate cycle (tca cycle) ( sce00020 )	/ sce00270 Cysteine and methionine metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism
r_0716	pyruvate metabolism ( sce00620 )	MNX and kegg
r_0717	pyruvate metabolism ( sce00620 )	MNX and kegg
r_0718	pyruvate metabolism ( sce00620 )	No change
r_0719	pyruvate metabolism ( sce00620 )	No change
r_0721	fatty acid biosynthesis ( sce00061 )	"/ sce00190 Oxidative phosphorylation/ sce01212 Fatty acid metabolism; ito980"
r_0722	fructose and mannose metabolism ( sce00051 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0723	fructose and mannose metabolism ( sce00051 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0724	one carbon pool by folate ( sce00670 )	No change
r_0725	one carbon pool by folate ( sce00670 )	No change
r_0726	cysteine and methionine metabolism ( sce00270 )	No change
r_0727	cysteine and methionine metabolism ( sce00270 )	"/ sce00450 Selenocompound metabolism; ito980"
r_0728	aminoacyl-trna biosynthesis ( sce00970 )	"sce00670 One carbon pool by folate / ; ito980"
r_0729	aminoacyl-trna biosynthesis ( sce00970 )	"sce00670 One carbon pool by folate / ; ito980"
r_0730	aminoacyl-trna biosynthesis ( sce00970 )	"sce00670 One carbon pool by folate / ; ito980"
r_0731	one carbon pool by folate ( sce00670 )	No change
r_0732	one carbon pool by folate ( sce00670 )	No change
r_0733	one carbon pool by folate ( sce00670 )	No change
r_0734	propanoate metabolism ( sce00640 )	"sce00630 Glyoxylate and dicarboxylate metabolism; MNX; wrong gene information?"
r_0735	terpenoid backbone biosynthesis ( sce00900 )	"/ sce04146 Peroxisome; ito980"
r_0736	terpenoid backbone biosynthesis ( sce00900 )	"/ sce04146 Peroxisome; ito980"
r_0737	terpenoid backbone biosynthesis ( sce00900 )	"/ sce04146 Peroxisome; ito980"
r_0738	terpenoid backbone biosynthesis ( sce00900 )	"/ sce04146 Peroxisome; ito980"
r_0739	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0747	sphingoglycolipid metabolism	ito980
r_0748	sphingoglycolipid metabolism	ito980
r_0749	sphingoglycolipid metabolism	ito980
r_0750	sphingoglycolipid metabolism	ito980
r_0751	sphingoglycolipid metabolism	ito980
r_0752	sphingoglycolipid metabolism	ito980
r_0753	sphingoglycolipid metabolism	ito980
r_0754	sphingoglycolipid metabolism	ito980
r_0755	sphingoglycolipid metabolism	ito980
r_0756	sphingoglycolipid metabolism	ito980
r_0757	inositol phosphate metabolism ( sce00562 )	"/ sce04070 Phosphatidylinositol signaling system; MNX"
r_0758	inositol phosphate metabolism ( sce00562 )	No change
r_0759	arginine biosynthesis ( sce00220 )	"/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0760	amino sugar and nucleotide sugar metabolism ( sce00520 )	No change
r_0761	arginine biosynthesis ( sce00220 )	"/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0762	tryptophan metabolism ( sce00380 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism; ito980"
r_0763	tryptophan metabolism ( sce00380 )	"sce00071 Fatty acid degradation / ; ito980"
r_0764	nicotinate and nicotinamide metabolism ( sce00760 )	"/ sce04146 Peroxisome; MNX"
r_0765	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0766	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0767	nicotinate and nicotinamide metabolism ( sce00760 )	"/ sce04213 Longevity regulating pathway - multiple species; ito980"
r_0768	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0769	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0770	oxidative phosphorylation ( sce00190 )	ito980 and imm904
r_0771	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0772	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0773	oxidative phosphorylation ( sce00190 )	kegg. NOT SURE
r_0774	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0775	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0781	nicotinate and nicotinamide metabolism ( sce00760 )	"/ sce04213 Longevity regulating pathway - multiple species; ito980"
r_0782	nicotinate and nicotinamide metabolism ( sce00760 )	kegg and MNX
r_0783	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0784	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0785	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0786	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0787	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0788	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0789	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0790	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0791	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism /; MNX"
r_0792	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0793	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0795	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0796	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0797	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism /; MNX"
r_0798	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0799	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0800	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0801	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0802	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0803	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0804	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0805	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0806	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism / ; MNX"
r_0807	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0810	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism; MNX"
r_0811	pyrimidine metabolism ( sce00240 )	"sce00230 Purine metabolism /; MNX"
r_0812	cysteine and methionine metabolism ( sce00270 )	"/ sce00920 Sulfur metabolism; ito980"
r_0813	cysteine and methionine metabolism ( sce00270 )	"/ sce00920 Sulfur metabolism; ito980"
r_0815	cysteine and methionine metabolism ( sce00270 )	"sce00260 Glycine, serine and threonine metabolism / sce00450 Selenocompound metabolism; ito980 and imm904"
r_0816	arginine biosynthesis ( sce00220 )	No change
r_0817	arginine and proline metabolism ( sce00330 )	"/ sce00480 Glutathione metabolism; ito980 and imm904"
r_0818	arginine biosynthesis ( sce00220 )	kegg and MNX
r_0819	arginine and proline metabolism ( sce00330 )	No change
r_0820	pyrimidine metabolism ( sce00240 )	No change
r_0821	pyrimidine metabolism ( sce00240 )	No change
r_0831	citrate cycle (tca cycle) ( sce00020 )	"/ sce00260 Glycine, serine and threonine metabolism / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00380 Tryptophan metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism/sce00010 Glycolysis / Gluconeogenesis; imm904"
r_0832	citrate cycle (tca cycle) ( sce00020 )	"/ sce00260 Glycine, serine and threonine metabolism / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00380 Tryptophan metabolism / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism/sce00010 Glycolysis / Gluconeogenesis; imm904"
r_0841	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0842	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0843	pantothenate and coa biosynthesis ( sce00770 )	"sce00410 beta-Alanine metabolism / ; ito980 and imm904"
r_0844	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg"
r_0845	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg"
r_0847	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg and MNX"
r_0848	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg"
r_0849	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg and MNX"
r_0850	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; kegg"
r_0851	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00130 Ubiquinone and other terpenoid-quinone biosynthesis / sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00380 Tryptophan metabolism/ sce01210 2-Oxocarboxylic acid metabolism; imm904 and ito980"
r_0852	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0853	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0854	phenylalanine metabolism ( sce00360 )	No change
r_0855	purine metabolism ( sce00230 )	No change
r_0882	amino sugar and nucleotide sugar metabolism ( sce00520 )	No change
r_0883	sulfur metabolism ( sce00920 )	No change
r_0884	glycolysis / gluconeogenesis ( sce00010 )	kegg
r_0885	glycerophospholipid metabolism ( sce00564 )	No change
r_0886	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism / sce00052 Galactose metabolism / sce03018 RNA degradation; ito980"
r_0887	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism / sce00052 Galactose metabolism / sce03018 RNA degradation; ito980"
r_0888	pentose phosphate pathway ( sce00030 )	"/ sce00052 Galactose metabolism / sce00230 Purine metabolism / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism/sce00010 Glycolysis / Gluconeogenesis; ito980"
r_0889	pentose phosphate pathway ( sce00030 )	"/ sce00480 Glutathione metabolism; ito980"
r_0890	amino sugar and nucleotide sugar metabolism ( sce00520 )	No change
r_0891	glycine, serine and threonine metabolism ( sce00260 )	No change
r_0892	glycolysis / gluconeogenesis ( sce00010 )	No change
r_0893	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00260 Glycine, serine and threonine metabolism; ito980"
r_0902	fructose and mannose metabolism ( sce00051 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_0903	thiamine metabolism ( sce00730 )	No change
r_0904	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0905	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0906	pantothenate and coa biosynthesis ( sce00770 )	No change
r_0907	pentose phosphate pathway ( sce00030 )	"/ sce00052 Galactose metabolism / sce00230 Purine metabolism / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism/ sce00010 Glycolysis / Gluconeogenesis ; ito980"
r_0908	purine metabolism ( sce00230 )	No change
r_0909	histidine metabolism ( sce00340 )	No change
r_0910	histidine metabolism ( sce00340 )	No change
r_0911	purine metabolism ( sce00230 )	No change
r_0912	purine metabolism ( sce00230 )	"/ sce00670 One carbon pool by folate; ito980"
r_0913	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0914	purine metabolism ( sce00230 )	No change
r_0915	purine metabolism ( sce00230 )	"/ sce00250 Alanine, aspartate and glutamate metabolism;ito980"
r_0916	pentose phosphate pathway ( sce00030 )	"/ sce00230 Purine metabolism; ito980"
r_0917	glycine, serine and threonine metabolism ( sce00260 )	No change
r_0918	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00750 Vitamin B6 metabolism; ito980"
r_0919	sphingolipid metabolism ( sce00600 )	No change
r_0920	tryptophan metabolism ( sce00380 )	"sce00071 Fatty acid degradation; ito980"
r_0921	sphingolipid metabolism ( sce00600 )	No change
r_0922	sphingolipid metabolism ( sce00600 )	No change
r_0929	arginine and proline metabolism ( sce00330 )	sce00330 Arginine and proline metabolism/ sce00410 beta-Alanine metabolism, EC 1.5.3.11 has been deleted by the Enzyme Commission, refinde from kegg
r_0935	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_0936	arginine and proline metabolism ( sce00330 )	sce00330 Arginine and proline metabolism/ sce00410 beta-Alanine metabolism, EC 1.5.3.11 has been deleted by the Enzyme Commission.
r_0937	arginine and proline metabolism ( sce00330 )	/ sce00410 beta-Alanine metabolism,  EC 1.5.3.11 has been deleted by the Enzyme Commission, refined from kegg
r_0938	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0939	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0940	arginine and proline metabolism ( sce00330 )	No change
r_0941	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0942	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_0943	nicotinate and nicotinamide metabolism ( sce00760 )	"sce00230 Purine metabolism / sce00240 Pyrimidine metabolism / sce00270 Cysteine and methionine metabolism / ; kegg and MNX"
r_0949	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00760 Nicotinate and nicotinamide metabolism; kegg and MNX"
r_0950	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00760 Nicotinate and nicotinamide metabolism; kegg and MNX"
r_0951	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00760 Nicotinate and nicotinamide metabolism; kegg and MNX"
r_0953	vitamin b6 metabolism ( sce00750 )	No change
r_0954	vitamin b6 metabolism ( sce00750 )	No change
r_0955	vitamin b6 metabolism ( sce00750 )	No change
r_0956	vitamin b6 metabolism ( sce00750 )	No change
r_0957	arginine and proline metabolism ( sce00330 )	No change
r_0958	pyruvate metabolism ( sce00620 )	"sce00020 Citrate cycle (TCA cycle) / ; recond3D"
r_0959	glycolysis / gluconeogenesis ( sce00010 )	ito980 and imm904
r_0960	glycolysis / gluconeogenesis ( sce00010 )	ito980 and imm904
r_0961	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00020 Citrate cycle (TCA cycle) / sce00260 Glycine, serine and threonine metabolism / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism; imm904"
r_0962	glycolysis / gluconeogenesis ( sce00010 )	/ sce00230 Purine metabolism / sce00620 Pyruvate metabolism: ito980
r_0963	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	No change
r_0965	riboflavin metabolism ( sce00740 )	ito980
r_0966	riboflavin metabolism ( sce00740 )	ito980
r_0967	riboflavin metabolism ( sce00740 )	ito980
r_0968	riboflavin metabolism ( sce00740 )	ito980
r_0969	pentose phosphate pathway ( sce00030 )	No change
r_0970	purine metabolism ( sce00230 )	kegg
r_0971	pyrimidine metabolism ( sce00240 )	kegg
r_0972	purine metabolism ( sce00230 )	kegg
r_0973	pyrimidine metabolism ( sce00240 )	kegg
r_0974	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00480 Glutathione metabolism; kegg"
r_0975	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00480 Glutathione metabolism; kegg"
r_0976	pyrimidine metabolism ( sce00240 )	"/ sce00480 Glutathione metabolism/ sce00230 Purine metabolism /; kegg"
r_0977	pyrimidine metabolism ( sce00240 )	"/ sce00480 Glutathione metabolism/ sce00230 Purine metabolism /; kegg"
r_0978	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00480 Glutathione metabolism; kegg"
r_0979	purine metabolism ( sce00230 )	"/ sce00240 Pyrimidine metabolism / sce00480 Glutathione metabolism; kegg"
r_0982	pentose phosphate pathway ( sce00030 )	No change
r_0983	nicotinate and nicotinamide metabolism ( sce00760 )	No change
r_0984	pentose phosphate pathway ( sce00030 )	"/ sce00040 Pentose and glucuronate interconversions; ito980"
r_0985	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	No change
r_0986	steroid biosynthesis ( sce00100 )	No change
r_0987	methane metabolism ( sce00680 )	"sce01200 Carbon metabolism; MNX"
r_0988	lysine metabolism	sce00300 Lysine biosynthesis / sce00310 Lysine degradation
r_0989	lysine metabolism	sce00300 Lysine biosynthesis / sce00310 Lysine degradation
r_0990	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00030 Pentose phosphate pathway / sce00051 Fructose and mannose metabolism; ito980"
r_0992	cysteine and methionine metabolism ( sce00270 )	imm904
r_0993	sphingolipid metabolism ( sce00600 )	No change
r_0995	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0996	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0997	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0998	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_0999	porphyrin and chlorophyll metabolism ( sce00860 )	No change
r_1000	carbon fixation pathways in prokaryotes	kegg
r_1001	arginine and proline metabolism ( sce00330 )	"/ sce00410 beta-Alanine metabolism / sce00480 Glutathione metabolism / sce00270 Cysteine and methionine metabolism; ito980 and imm904"
r_1002	arginine and proline metabolism ( sce00330 )	"/ sce00410 beta-Alanine metabolism / sce00480 Glutathione metabolism/ sce00270 Cysteine and methionine metabolism; ito980 and imm904"
r_1003	sphingolipid metabolism ( sce00600 )	No change
r_1004	sphingolipid metabolism ( sce00600 )	No change
r_1005	sphingolipid metabolism ( sce00600 )	No change
r_1006	sphingolipid metabolism ( sce00600 )	No change
r_1007	sphingolipid metabolism ( sce00600 )	No change
r_1008	c5-branched dibasic acid metabolism ( sce00660 )	kegg
r_1009	c5-branched dibasic acid metabolism ( sce00660 )	kegg
r_1010	steroid biosynthesis ( sce00100 )	"/ sce00909 Sesquiterpenoid and triterpenoid biosynthesis; ito980"
r_1011	steroid biosynthesis ( sce00100 )	"/ sce00909 Sesquiterpenoid and triterpenoid biosynthesis; ito980"
r_1012	steroid biosynthesis ( sce00100 )	"/ sce00909 Sesquiterpenoid and triterpenoid biosynthesis; ito980"
r_1021	citrate cycle (tca cycle) ( sce00020 )	"/ sce00190 Oxidative phosphorylation; ito980 and imm904"
r_1022	citrate cycle (tca cycle) ( sce00020 )	"/ sce00640 Propanoate metabolism;ito980"
r_1023	alanine, aspartate and glutamate metabolism ( sce00250 )	"/ sce00310 Lysine degradation / sce00350 Tyrosine metabolism / sce00650 Butanoate metabolism / sce00760 Nicotinate and nicotinamide metabolism; ito980 and imm904"
r_1024	starch and sucrose metabolism ( sce00500 )	"sce00052 Galactose metabolism / ; MNX"
r_1025	sulfur metabolism ( sce00920 )	"sce00261 Monobactam biosynthesis / sce00450 Selenocompound metabolism /sce00230 Purine metabolism / ; MNX"
r_1026	sulfur metabolism ( sce00920 )	"sce00230 Purine metabolism; MNX"
r_1027	sulfur metabolism ( sce00920 )	No change
r_1029	sulfur metabolism ( sce00920 )	imm904
r_1030	one carbon pool by folate ( sce00670 )	"sce00010 Glycolysis / Gluconeogenesis / sce00020 Citrate cycle (TCA cycle) / sce00260 Glycine, serine and threonine metabolism / sce00280 Valine, leucine and isoleucine degradation / sce00620 Pyruvate metabolism / sce00630 Glyoxylate and dicarboxylate metabolism / sce00640 Propanoate metabolism / ; MNX"
r_1031	folate biosynthesis ( sce00790 )	No change
r_1032	thiamine metabolism ( sce00730 )	/ sce00740 Riboflavin metabolism, ito980
r_1033	thiamine metabolism ( sce00730 )	/ sce00740 Riboflavin metabolism, ito980
r_1034	thiamine metabolism ( sce00730 )	No change
r_1035	thiamine metabolism ( sce00730 )	No change
r_1036	thiamine metabolism ( sce00730 )	No change
r_1037	glutathione metabolism ( sce00480 )	kegg
r_1038	selenocompound metabolism ( sce00450 )	No change
r_1039	selenocompound metabolism ( sce00450 )	"sce00450 Selenocompound metabolism / sce00480 Glutathione metabolism; subsystem in kegg can’t be found"
r_1040	glycine, serine and threonine metabolism ( sce00260 )	No change
r_1041	glycine, serine and threonine metabolism ( sce00260 )	"/ sce00750 Vitamin B6 metabolism; MNX"
r_1042	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1043	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1045	pyrimidine metabolism ( sce00240 )	"/ sce00670 One carbon pool by folate; ito980"
r_1046	other	ito980
r_1047	terpenoid backbone biosynthesis ( sce00900 )	No change
r_1048	pentose phosphate pathway ( sce00030 )	ito980
r_1049	pentose phosphate pathway ( sce00030 )	ito980
r_1050	pentose phosphate pathway ( sce00030 )	ito980
r_1051	starch and sucrose metabolism ( sce00500 )	No change
r_1054	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00051 Fructose and mannose metabolism / sce00562 Inositol phosphate metabolism; ito980"
r_1055	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00260 Glycine, serine and threonine metabolism / ; ito980"
r_1056	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00130 Ubiquinone and other terpenoid-quinone biosynthesis / sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00380 Tryptophan metabolism/ sce01210 2-Oxocarboxylic acid metabolism; imm904 and ito980"
r_1057	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1058	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1063	tyrosine metabolism ( sce00350 )	"sce00130 Ubiquinone and other terpenoid-quinone biosynthesis / sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00380 Tryptophan metabolism / sce01210 2-Oxocarboxylic acid metabolism/ sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis; ito980 and imm904"
r_1065	tyrosine metabolism ( sce00350 )	"sce00220 Arginine biosynthesis / sce00250 Alanine, aspartate and glutamate metabolism / sce00270 Cysteine and methionine metabolism / sce00330 Arginine and proline metabolism / sce00360 Phenylalanine metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis / sce01110 Biosynthesis of secondary metabolites / sce01130 Biosynthesis of antibiotics / sce01200 Carbon metabolism / sce01210 2-Oxocarboxylic acid metabolism / sce01230 Biosynthesis of amino acids; ito980"
r_1066	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1067	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1068	none	kegg and ito980
r_1069	amino sugar and nucleotide sugar metabolism ( sce00520 )	kegg and MNX
r_1070	galactose metabolism ( sce00052 )	"sce00010 Glycolysis / Gluconeogenesis / sce00520 Amino sugar and nucleotide sugar metabolism ; ito980"
r_1071	galactose metabolism ( sce00052 )	"/ sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_1072	pyrimidine metabolism ( sce00240 )	No change
r_1073	pyrimidine metabolism ( sce00240 )	No change
r_1074	pyrimidine metabolism ( sce00240 )	No change
r_1075	arginine biosynthesis ( sce00220 )	"/ sce00791 Atrazine degradation; EC should be 6.3.4.6 ?; MNX"
r_1076	purine metabolism ( sce00230 )	No change
r_1077	pyrimidine metabolism ( sce00240 )	No change
r_1078	pyrimidine metabolism ( sce00240 )	No change
r_1079	pyrimidine metabolism ( sce00240 )	No change
r_1080	pyrimidine metabolism ( sce00240 )	No change
r_1081	porphyrin and chlorophyll metabolism ( sce00860 )	ito980
r_1082	porphyrin and chlorophyll metabolism ( sce00860 )	ito980
r_1083	porphyrin and chlorophyll metabolism ( sce00860 )	ito980
r_1084	galactose metabolism ( sce00052 )	"sce00040 Pentose and glucuronate interconversions / sce00500 Starch and sucrose metabolism / sce00520 Amino sugar and nucleotide sugar metabolism; ito980"
r_1087	valine, leucine, and isoleucine metabolism	"sce00280 Valine, leucine and isoleucine degradation/ sce00290 Valine, leucine and isoleucine biosynthesis / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism /sce00270 Cysteine and methionine metabolism; ito980 and imm904"
r_1088	valine, leucine, and isoleucine metabolism	"sce00280 Valine, leucine and isoleucine degradation/ sce00290 Valine, leucine and isoleucine biosynthesis / sce00770 Pantothenate and CoA biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism /sce00270 Cysteine and methionine metabolism; ito980 and imm904"
r_1089	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1090	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_1091	purine metabolism ( sce00230 )	MNX
r_1092	pentose and glucuronate interconversions ( sce00040 )	No change
r_1093	pentose and glucuronate interconversions ( sce00040 )	No change
r_1094	pentose and glucuronate interconversions ( sce00040 )	No change
r_1095	pyrimidine metabolism ( sce00240 )	ito980
r_1619	purine metabolism ( sce00230 )	MNX
r_1838	pyruvate metabolism ( sce00620 )	"sce00300 Lysine biosynthesis / sce01210 2-Oxocarboxylic acid metabolism; imm904 and ito980"
r_2029	vitamin b6 metabolism ( sce00750 )	No change
r_2112	tryptophan metabolism ( sce00380 )	No change
r_2113	tryptophan metabolism ( sce00380 )	kegg
r_2114	tryptophan metabolism ( sce00380 )	MNX
r_2115	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; kegg and MNX"
r_2116	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00340 Histidine metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00410 beta-Alanine metabolism; kegg and MNX"
r_2117	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / ; ito980"
r_2118	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / ; ito980"
r_2119	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	"sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / ; ito980"
r_2126	carbon fixation in photosynthetic organisms	kegg and MNX
r_2131	citrate cycle (tca cycle) ( sce00020 )	"/ sce00480 Glutathione metabolism / sce01210 2-Oxocarboxylic acid metabolism / sce04146 Peroxisome; ito980"
