"gene"	"reaction_biocyc"	"sign"
"YLR244C"	"a peptide with an N-terminal L-methionine + H2O => L-methionine + a peptide + H+"	"NO"
"YKL157W"	"a peptide with an N-terminal X-L-proline + H2O => a proteinogenic amino acid + a peptide with an N-terminal L-proline + H+"	"NO"
"YCR107W"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YDL243C"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YFL056C"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YJR155W"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YNL331C"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YOL165C"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YFL057C"	"a phenol + NAD+ = an aryl aldehyde + NADH + H+"	"NO"
"YDL024C"	"a phosphate monoester + H2O => an alcohol + phosphate"	"NO"
"YAL026C"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"	"NO"
"YDR093W"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"	"NO"
"YER166W"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"	"NO"
"YIL048W"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"	"NO"
"YLR430W"	"a polycistronic tRNA precursor => a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus"	"NO"
"YLR105C"	"a polycistronic tRNA precursor => a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus"	"NO"
"YMR059W"	"a polycistronic tRNA precursor => a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus"	"NO"
"YAR008W"	"a polycistronic tRNA precursor => a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus"	"NO"
"YPL083C"	"a polycistronic tRNA precursor => a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + a tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus"	"NO"
"YGL017W"	"a protein + an L-arginyl-[tRNAarg] => a tRNAarg + an N-terminal arginyl-[protein]"	"NO"
"YGL203C"	"a protein + H2O => a basic amino acid + a protein"	"NO"
"YHR113W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YIR022W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YEL060C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YCL057W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YDR144C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YPL154C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YNL238W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YBL041W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YER094C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YER012W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YFR050C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YGR253C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YGR135W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YGL011C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YJL001W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YOR362C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YOR157C"	"a protein + H2O => a peptide + a peptide"	"NO"
"YOL038W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YPR103W"	"a protein + H2O => a peptide + a peptide"	"NO"
"YKL103C"	"a protein + H2O => a proteinogenic amino acid + a peptide"	"NO"
"YIL005W"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"	"NO"
"YOL088C"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"	"NO"
"YOR288C"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"	"NO"
"YDR518W"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"	"NO"
"YCL043C"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"	"NO"
"YGR098C"	"a RAD21 cohesin subunit + H2O => a peptide + a peptide"	"NO"
"YOR356W"	"a reduced electron-transfer flavoprotein + ubiquinone-6 = an oxidized electron-transfer flavoprotein + ubiquinol-6 + H+"	"NO"
"YML028W"	"a reduced thioredoxin + an organic hydroperoxide => an oxidized thioredoxin + an alcohol + H2O"	"NO"
"YDR279W"	"a RNA-DNA hybrid + n H2O => DNA + n a nucleoside 5'-monophosphate"	"NO"
"YGR276C"	"a RNA-DNA hybrid + n H2O => DNA + n a nucleoside 5'-monophosphate"	"NO"
"YNL072W"	"a RNA-DNA hybrid + n H2O => DNA + n a nucleoside 5'-monophosphate"	"NO"
"YIR008C"	"a single stranded DNA = a short RNA Segment"	"NO"
"YKL045W"	"a single stranded DNA = a short RNA Segment"	"NO"
"YOR219C"	"a small peptide + n H2O = n+1 a dipeptide"	"NO"
"YHR028C"	"a small peptide + n H2O = n+1 a dipeptide"	"NO"
"YCL054W"	"a tetrahydrofolate + a [methyl-Co(III) corrinoid Fe-S protein] = an N5-methyltetrahydrofolate + a [Co(I) corrinoid Fe-S protein] + H+"	"NO"
"YCR068W"	"a triglyceride + H2O => a 1,2-diglyceride + a fatty acid + H+"	"NO"
"YER168C"	"a tRNA precursor + 2 CTP + ATP = a tRNA containing a 3' CCA end + 3 diphosphate"	"NO"
"YKR079C"	"a tRNA precursor + H2O => mature tRNA + a single-stranded oligoribonucleotide"	"NO"
"YGR030C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YBR167C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YAL033W"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YBL018C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YNL221C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"RPM1"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YML091C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YIR015W"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YHR062C"	"a tRNA precursor with a 5' extension + H2O => an uncharged tRNA + a tRNA fragment"	"NO"
"YAL033W"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YBR167C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YBL018C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YGR030C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YHR062C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YIR015W"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"RPM1"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YML091C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YNL221C"	"a tRNA precursor with a 5' extension and a short 3' extension + H2O => a tRNA precursor with a short 3' extension + a tRNA fragment"	"NO"
"YER087W"	"a tRNApro + L-proline + ATP => an L-prolyl-[tRNApro] + AMP + diphosphate"	"NO"
"YML021C"	"a uracil in DNA + H2O => an apyrimidinic site in DNA + uracil"	"NO"
"YML080W"	"a uracil16 in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil16 in tRNA + NAD(P)+"	"NO"
"YML080W"	"a uracil17 in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil17 in tRNA + NAD(P)+"	"NO"
"YNR015W"	"a uracil20 in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil20 in tRNA + NAD(P)+"	"NO"
"YLR405W"	"a uracil20a in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil20a in tRNA + NAD(P)+"	"NO"
"YLR405W"	"a uracil20b in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil20b in tRNA + NAD(P)+"	"NO"
"YLR401C"	"a uracil47 in tRNA + NAD(P)H + H+ => a 5,6-dihydrouracil47 in tRNA + NAD(P)+"	"NO"
"YKR056W"	"a uracil54 in tRNA + S-adenosyl-L-methionine => a 5-methyluracil54 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YOR243C"	"a uridine13 in tRNA => a pseudouridine13 in tRNA"	"NO"
"YLR165C"	"a uridine2819 in 21S rRNA = a 21S rRNA pseudouridine 2819"	"NO"
"YGR169C"	"a uridine31 in tRNA = a pseudouridine31 in tRNA"	"NO"
"YGL236C"	"a uridine34 in tRNA + GTP + a 5,10-methylene-tetrahydrofolate + glycine + an oxidized electron acceptor + H2O => a 5-carboxymethylaminomethyluridine in tRNA + GDP + a 7,8-dihydrofolate + a reduced electron acceptor + phosphate + 2 H+"	"NO"
"YMR023C"	"a uridine34 in tRNA + GTP + a 5,10-methylene-tetrahydrofolate + glycine + an oxidized electron acceptor + H2O => a 5-carboxymethylaminomethyluridine in tRNA + GDP + a 7,8-dihydrofolate + a reduced electron acceptor + phosphate + 2 H+"	"NO"
"YPL030W"	"a uridine44 in tRNAser + S-adenosyl-L-methionine => a 2'-O-methyluridine44 in tRNAser + S-adenosyl-L-homocysteine + H+"	"NO"
"YLR175W"	"a uridine55 in tRNA => a pseudouridine55 in tRNA"	"NO"
"YOR196C"	"a [2-oxoglutarate-dehydrogenase E2 protein] N6-octanoyl-L-lysine + 2 S-adenosyl-L-methionine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin => a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin"	"NO"
"YLR369W"	"a [chaperone-ADP]-[disordered-form scaffold protein] complex + ATP => an [Fe-S cluster biosynthesis chaperone]-ATP + a [disordered-form [Fe-S] cluster scaffold protein] + ADP"	"NO"
"YLR369W"	"a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex + an apo-iron-sulfur protein => a [chaperone-ADP]-[disordered-form scaffold protein] complex + an [Fe-S cluster biosynthesis co-chaperone] + an [2Fe-2S] cluster protein + phosphate"	"NO"
"YLR369W"	"a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + an [Fe-S cluster biosynthesis chaperone]-ATP => a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex"	"NO"
"YDL120W"	"a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex + 2 Fe3+ => a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex"	"NO"
"YCL017C"	"a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-cysteine => an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-alanine"	"NO"
"YGL018C"	"a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex + an [Fe-S cluster biosynthesis co-chaperone] => a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + L-cysteine desulfurase"	"NO"
"YHR109W"	"a [cytochrome c]-L-lysine + S-adenosyl-L-methionine => a [cytochrome c]-N6-methyl-L-lysine + S-adenosyl-L-homocysteine + H+"	"NO"
"YDL164C"	"a [DNA]-3'-hydroxyl + a 5'-phospho-[DNA] + ATP => DNAn + AMP + diphosphate"	"NO"
"YOR005C"	"a [DNA]-3'-hydroxyl + a 5'-phospho-[DNA] + ATP => DNAn + AMP + diphosphate"	"NO"
"YOR196C"	"a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + 2 S-adenosyl-L-methionine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin => a [glycine-cleavage complex H protein] N6-lipoyl-L-lysine + 2 L-methionine + 2 5'-deoxyadenosine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin"	"NO"
"YBL052C"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YEL056W"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YGR274C"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YGR252W"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YOR244W"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YPR193C"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YPL086C"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YPL001W"	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"	"NO"
"YDR440W"	"a [histone]-L-lysine + S-adenosyl-L-methionine => a [histone] N6-methyl-L-lysine + S-adenosyl-L-homocysteine + H+"	"NO"
"YHR119W"	"a [histone]-L-lysine + S-adenosyl-L-methionine => a [histone] N6-methyl-L-lysine + S-adenosyl-L-homocysteine + H+"	"NO"
"YJL168C"	"a [histone]-L-lysine + S-adenosyl-L-methionine => a [histone] N6-methyl-L-lysine + S-adenosyl-L-homocysteine + H+"	"NO"
"YDR295C"	"a [histone]-N6-acetyl-L-lysine + H2O = a [histone]-L-lysine + acetate"	"NO"
"YNL021W"	"a [histone]-N6-acetyl-L-lysine + H2O = a [histone]-L-lysine + acetate"	"NO"
"YPR179C"	"a [histone]-N6-acetyl-L-lysine + H2O = a [histone]-L-lysine + acetate"	"NO"
"YOR196C"	"a [lipoyl-carrier protein] N6-octanoyl-L-lysine + 2 S-adenosyl-L-methionine + 2 a sulfurated [sulfur carrier] + 2 a reduced [2Fe-2S] ferredoxin => a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + 2 5'-deoxyadenosine + 2 L-methionine + 2 an unsulfurated [sulfur carrier] + 2 an oxidized [2Fe-2S] ferredoxin"	"NO"
"YKL086W"	"a [peroxiredoxin]-(S-hydroxy-S-oxocysteine) + ATP + a protein dithiol = a [peroxiredoxin]-(S-hydroxycysteine) + ADP + a protein disulfide + phosphate + H+"	"NO"
"YDR436W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YER133W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YGL190C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YBR125C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YBL056W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YCR079W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDR075W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDL188C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDL134C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDL047W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDL006W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YER089C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YGR123C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YHR076W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YHR004C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YKL190W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YLR433C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YML057W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YML016C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YNR032W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YNL222W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YOR090C"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YPL179W"	"a [protein] (L-serine/L-threonine) phosphate + H2O => a [protein]-(L-serine/L-threonine) + phosphate"	"NO"
"YDR410C"	"a [protein] C-terminal S-farnesyl-L-cysteine + S-adenosyl-L-methionine => a [protein] C-terminal S-farnesyl-L-cysteine methyl ester + S-adenosyl-L-homocysteine"	"NO"
"YER051W"	"a [protein] N6,N6-dimethyl-L-lysine + 2 2-oxoglutarate + 2 oxygen + H+ => a [protein]-L-lysine + 2 succinate + 2 formaldehyde + 2 CO2"	"NO"
"YER051W"	"a [protein] N6,N6-dimethyl-L-lysine + 2-oxoglutarate + oxygen => a [protein] N6-methyl-L-lysine + succinate + formaldehyde + CO2"	"NO"
"YER051W"	"a [protein] N6-methyl-L-lysine + 2-oxoglutarate + oxygen + H+ => a [protein]-L-lysine + succinate + formaldehyde + CO2"	"NO"
"YER123W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YHR135C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL154C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YAR019C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YAL017W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBR274W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBR136W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBR059C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBR028C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBL088C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YBL009W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YCR091W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YCR073C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YCR008W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YCL024W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR523C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR507C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR490C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR477W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR466W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR283C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR247W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDR122W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDL214C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDL101C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDL079C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDL025C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YDL017W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YER129W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YFL033C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGR262C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGR188C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGR186W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGR092W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGL180W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGL179C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGL158W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGL021W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YGL019W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YHR205W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YHR102W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YHR082C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YIL095W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YIL035C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YJR059W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YJL187C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YJL165C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YJL106W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YJL057C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL203C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL198C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL171W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL168C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL126W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL116C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YKL048C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YLR248W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNR047W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL298W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL207W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL183C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL161W"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YNL020C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
"YOR351C"	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"	"NO"
