met	reaction	formula	MNX_ID	reactant	product	common_met_num
Rh24	2 MNXM27@MNXD1 + 1 MNXM29@MNXD1 + 1 MNXM43@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM29@MNXD2 + 1 MNXM43@MNXD2	2 `Na(+)` + 1 `glycine` + 1 `chloride` = 2 `Na(+)` + 1 `glycine` + 1 `chloride`	MNXR100369	2 `Na(+)` + 1 `glycine` + 1 `chloride` 	 2 `Na(+)` + 1 `glycine` + 1 `chloride`	3
Rh24	3 MNXM27@MNXD1 + 1 MNXM29@MNXD1 + 1 MNXM43@MNXD1 = 3 MNXM27@MNXD2 + 1 MNXM29@MNXD2 + 1 MNXM43@MNXD2	3 `Na(+)` + 1 `glycine` + 1 `chloride` = 3 `Na(+)` + 1 `glycine` + 1 `chloride`	MNXR100370	3 `Na(+)` + 1 `glycine` + 1 `chloride` 	 3 `Na(+)` + 1 `glycine` + 1 `chloride`	3
Rh24	1 MNXM27@MNXD1 + 1 MNXM401@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM401@MNXD2	1 `Na(+)` + 1 `guanosine` = 1 `Na(+)` + 1 `guanosine`	MNXR100435	1 `Na(+)` + 1 `guanosine` 	 1 `Na(+)` + 1 `guanosine`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM401@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM401@MNXD2	2 `Na(+)` + 1 `guanosine` = 2 `Na(+)` + 1 `guanosine`	MNXR100436	2 `Na(+)` + 1 `guanosine` 	 2 `Na(+)` + 1 `guanosine`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM60@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM60@MNXD2	1 `Na(+)` + 1 `hydrogencarbonate` = 1 `Na(+)` + 1 `hydrogencarbonate`	MNXR100485	1 `Na(+)` + 1 `hydrogencarbonate` 	 1 `Na(+)` + 1 `hydrogencarbonate`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM60@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM60@MNXD2	2 `Na(+)` + 1 `hydrogencarbonate` = 2 `Na(+)` + 1 `hydrogencarbonate`	MNXR100573	2 `Na(+)` + 1 `hydrogencarbonate` 	 2 `Na(+)` + 1 `hydrogencarbonate`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM353@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM353@MNXD2	1 `Na(+)` + 1 `L-homoserine` = 1 `Na(+)` + 1 `L-homoserine`	MNXR100677	1 `Na(+)` + 1 `L-homoserine` 	 1 `Na(+)` + 1 `L-homoserine`	2
Rh24	1 MNXM231@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 = 1 MNXM231@MNXD2 + 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2	1 `L-isoleucine` + 2 `Na(+)` + 1 `chloride` = 1 `L-isoleucine` + 2 `Na(+)` + 1 `chloride`	MNXR100815	1 `L-isoleucine` + 2 `Na(+)` + 1 `chloride` 	 1 `L-isoleucine` + 2 `Na(+)` + 1 `chloride`	3
Rh24	1 MNXM231@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM231@MNXD2 + 1 MNXM27@MNXD2	1 `L-isoleucine` + 1 `Na(+)` = 1 `L-isoleucine` + 1 `Na(+)`	MNXR100823	1 `L-isoleucine` + 1 `Na(+)` 	 1 `L-isoleucine` + 1 `Na(+)`	2
Rh24	1 MNXM127@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM127@MNXD2 + 1 MNXM27@MNXD2	1 `myo-inositol` + 1 `Na(+)` = 1 `myo-inositol` + 1 `Na(+)`	MNXR100840	1 `myo-inositol` + 1 `Na(+)` 	 1 `myo-inositol` + 1 `Na(+)`	2
Rh24	1 MNXM127@MNXD1 + 2 MNXM27@MNXD1 = 1 MNXM127@MNXD2 + 2 MNXM27@MNXD2	1 `myo-inositol` + 2 `Na(+)` = 1 `myo-inositol` + 2 `Na(+)`	MNXR100847	1 `myo-inositol` + 2 `Na(+)` 	 1 `myo-inositol` + 2 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM334@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM334@MNXD2	1 `Na(+)` + 1 `inosine` = 1 `Na(+)` + 1 `inosine`	MNXR100851	1 `Na(+)` + 1 `inosine` 	 1 `Na(+)` + 1 `inosine`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM334@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM334@MNXD2	2 `Na(+)` + 1 `inosine` = 2 `Na(+)` + 1 `inosine`	MNXR100852	2 `Na(+)` + 1 `inosine` 	 2 `Na(+)` + 1 `inosine`	2
Rh24	1 MNXM140@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 = 1 MNXM140@MNXD2 + 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2	1 `L-leucine` + 2 `Na(+)` + 1 `chloride` = 1 `L-leucine` + 2 `Na(+)` + 1 `chloride`	MNXR101041	1 `L-leucine` + 2 `Na(+)` + 1 `chloride` 	 1 `L-leucine` + 2 `Na(+)` + 1 `chloride`	3
Rh24	1 MNXM140@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM140@MNXD2 + 1 MNXM27@MNXD2	1 `L-leucine` + 1 `Na(+)` = 1 `L-leucine` + 1 `Na(+)`	MNXR101056	1 `L-leucine` + 1 `Na(+)` 	 1 `L-leucine` + 1 `Na(+)`	2
Rh24	1 MNXM1484@MNXD2 + 1 MNXM2@MNXD1 + 2 MNXM27@MNXD2 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM1484@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1	1 `(R)-lipoate` + 1 `H2O` + 2 `Na(+)` + 1 `ATP` = 1 `H(+)` + 1 `(R)-lipoate` + 2 `Na(+)` + 1 `ADP` + 1 `phosphate`	MNXR101093	1 `(R)-lipoate` + 1 `H2O` + 2 `Na(+)` + 1 `ATP` 	 1 `H(+)` + 1 `(R)-lipoate` + 2 `Na(+)` + 1 `ADP` + 1 `phosphate`	2
Rh24	1 MNXM179@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM179@MNXD2 + 1 MNXM27@MNXD2	1 `(S)-lactate` + 1 `Na(+)` = 1 `(S)-lactate` + 1 `Na(+)`	MNXR101279	1 `(S)-lactate` + 1 `Na(+)` 	 1 `(S)-lactate` + 1 `Na(+)`	2
Rh24	1 MNXM179@MNXD1 + 2 MNXM27@MNXD1 = 1 MNXM179@MNXD2 + 2 MNXM27@MNXD2	1 `(S)-lactate` + 2 `Na(+)` = 1 `(S)-lactate` + 2 `Na(+)`	MNXR101280	1 `(S)-lactate` + 2 `Na(+)` 	 1 `(S)-lactate` + 2 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM98@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM98@MNXD2	1 `Na(+)` + 1 `(S)-malate` = 1 `Na(+)` + 1 `(S)-malate`	MNXR101368	1 `Na(+)` + 1 `(S)-malate` 	 1 `Na(+)` + 1 `(S)-malate`	2
Rh24	2 MNXM01@MNXD1 + 1 MNXM179@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM98@MNXD1 = 2 MNXM01@MNXD2 + 1 MNXM179@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM98@MNXD2	2 `H(+)` + 1 `(S)-lactate` + 1 `Na(+)` + 1 `(S)-malate` = 2 `H(+)` + 1 `(S)-lactate` + 1 `Na(+)` + 1 `(S)-malate`	MNXR101369	2 `H(+)` + 1 `(S)-lactate` + 1 `Na(+)` + 1 `(S)-malate` 	 2 `H(+)` + 1 `(S)-lactate` + 1 `Na(+)` + 1 `(S)-malate`	4
Rh24	1 MNXM182@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM182@MNXD2 + 1 MNXM27@MNXD2	1 `D-mannose` + 1 `Na(+)` = 1 `D-mannose` + 1 `Na(+)`	MNXR101404	1 `D-mannose` + 1 `Na(+)` 	 1 `D-mannose` + 1 `Na(+)`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 + 1 MNXM61@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2 + 1 MNXM61@MNXD2	2 `Na(+)` + 1 `chloride` + 1 `L-methionine` = 2 `Na(+)` + 1 `chloride` + 1 `L-methionine`	MNXR101471	2 `Na(+)` + 1 `chloride` + 1 `L-methionine` 	 2 `Na(+)` + 1 `chloride` + 1 `L-methionine`	3
Rh24	1 MNXM27@MNXD1 + 1 MNXM61@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM61@MNXD2	1 `Na(+)` + 1 `L-methionine` = 1 `Na(+)` + 1 `L-methionine`	MNXR101492	1 `Na(+)` + 1 `L-methionine` 	 1 `Na(+)` + 1 `L-methionine`	2
Rh24	1 MNXM1462@MNXD1 + 1.7 MNXM27@MNXD2 + 1 MNXM671@MNXD1 = 1.7 MNXM27@MNXD1 + 1 MNXM38238@MNXD1 + 1 MNXM399@MNXD1	1 `5,6,7,8-tetrahydrosarcinapterin` + 1.7 `Na(+)` + 1 `methyl-coenzyme M` = 1.7 `Na(+)` + 1 `5-methyltetrahydrosarcinapterin` + 1 `coenzyme M`	MNXR101763	1 `5,6,7,8-tetrahydrosarcinapterin` + 1.7 `Na(+)` + 1 `methyl-coenzyme M` 	 1.7 `Na(+)` + 1 `5-methyltetrahydrosarcinapterin` + 1 `coenzyme M`	1
Rh24	1 MNXM1@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM3@MNXD1	1 `H(+)` + 1 `Na(+)` + 1 `ADP` + 1 `phosphate` = 1 `H2O` + 1 `Na(+)` + 1 `ATP`	MNXR101802	1 `H(+)` + 1 `Na(+)` + 1 `ADP` + 1 `phosphate` 	 1 `H2O` + 1 `Na(+)` + 1 `ATP`	1
Rh24	1 MNXM01@MNXD1 + 1 MNXM27@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM27@MNXD1	1 `H(+)` + 1 `Na(+)` = 1 `H(+)` + 1 `Na(+)`	MNXR101803	1 `H(+)` + 1 `Na(+)` 	 1 `H(+)` + 1 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 = 1 MNXM27@MNXD2	1 `Na(+)` = 1 `Na(+)`	MNXR101804	1 `Na(+)` 	 1 `Na(+)`	1
Rh24	4 MNXM01@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM232@MNXD1 + 1 MNXM27@MNXD1 = 4 MNXM01@MNXD2 + 1 MNXM191@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM8@MNXD1	4 `H(+)` + 1 `H(+)` + 1 `NADH` + 1 `ubiquinone-8` + 1 `Na(+)` = 4 `H(+)` + 1 `ubiquinol-8` + 1 `Na(+)` + 1 `NAD(+)`	MNXR101878	4 `H(+)` + 1 `H(+)` + 1 `NADH` + 1 `ubiquinone-8` + 1 `Na(+)` 	 4 `H(+)` + 1 `ubiquinol-8` + 1 `Na(+)` + 1 `NAD(+)`	2
Rh24	1 MNXM01@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM43@MNXD1 + 1 MNXM60@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM27@MNXD1 + 1 MNXM43@MNXD2 + 1 MNXM60@MNXD1	1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 1 `hydrogencarbonate` = 1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 1 `hydrogencarbonate`	MNXR101904	1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 1 `hydrogencarbonate` 	 1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 1 `hydrogencarbonate`	4
Rh24	1 MNXM01@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM43@MNXD1 + 2 MNXM60@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM27@MNXD1 + 1 MNXM43@MNXD2 + 2 MNXM60@MNXD1	1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 2 `hydrogencarbonate` = 1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 2 `hydrogencarbonate`	MNXR101905	1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 2 `hydrogencarbonate` 	 1 `H(+)` + 1 `Na(+)` + 1 `chloride` + 2 `hydrogencarbonate`	4
Rh24	1 MNXM162756@MNXD1 + 2 MNXM27@MNXD1 = 1 MNXM162756@MNXD2 + 2 MNXM27@MNXD2	1 `I` + 2 `Na(+)` = 1 `I` + 2 `Na(+)`	MNXR101906	1 `I` + 2 `Na(+)` 	 1 `I` + 2 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM95@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM95@MNXD1	1 `Na(+)` + 1 `K(+)` = 1 `Na(+)` + 1 `K(+)`	MNXR101907	1 `Na(+)` + 1 `K(+)` 	 1 `Na(+)` + 1 `K(+)`	2
Rh24	3 MNXM01@MNXD1 + 2 MNXM27@MNXD2 = 3 MNXM01@MNXD2 + 2 MNXM27@MNXD1	3 `H(+)` + 2 `Na(+)` = 3 `H(+)` + 2 `Na(+)`	MNXR101914	3 `H(+)` + 2 `Na(+)` 	 3 `H(+)` + 2 `Na(+)`	2
Rh24	2 MNXM01@MNXD1 + 1 MNXM27@MNXD2 = 2 MNXM01@MNXD2 + 1 MNXM27@MNXD1	2 `H(+)` + 1 `Na(+)` = 2 `H(+)` + 1 `Na(+)`	MNXR101915	2 `H(+)` + 1 `Na(+)` 	 2 `H(+)` + 1 `Na(+)`	2
Rh24	1 MNXM15@MNXD1 + 1 MNXM27@MNXD2 = 1 MNXM15@MNXD2 + 1 MNXM27@MNXD1	1 `NH4(+)` + 1 `Na(+)` = 1 `NH4(+)` + 1 `Na(+)`	MNXR101916	1 `NH4(+)` + 1 `Na(+)` 	 1 `NH4(+)` + 1 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM43@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM43@MNXD2	1 `Na(+)` + 1 `chloride` = 1 `Na(+)` + 1 `chloride`	MNXR101919	1 `Na(+)` + 1 `chloride` 	 1 `Na(+)` + 1 `chloride`	2
Rh24	1 MNXM128@MNXD1 + 4 MNXM27@MNXD2 + 1 MNXM95@MNXD1 = 1 MNXM128@MNXD2 + 4 MNXM27@MNXD1 + 1 MNXM95@MNXD2	1 `Ca(2+)` + 4 `Na(+)` + 1 `K(+)` = 1 `Ca(2+)` + 4 `Na(+)` + 1 `K(+)`	MNXR101920	1 `Ca(2+)` + 4 `Na(+)` + 1 `K(+)` 	 1 `Ca(2+)` + 4 `Na(+)` + 1 `K(+)`	3
Rh24	1 MNXM128@MNXD1 + 1 MNXM15@MNXD1 + 4 MNXM27@MNXD2 = 1 MNXM128@MNXD2 + 1 MNXM15@MNXD2 + 4 MNXM27@MNXD1	1 `Ca(2+)` + 1 `NH4(+)` + 4 `Na(+)` = 1 `Ca(2+)` + 1 `NH4(+)` + 4 `Na(+)`	MNXR101921	1 `Ca(2+)` + 1 `NH4(+)` + 4 `Na(+)` 	 1 `Ca(2+)` + 1 `NH4(+)` + 4 `Na(+)`	3
Rh24	1 MNXM15@MNXD1 + 1 MNXM27@MNXD1 + 2 MNXM43@MNXD1 = 1 MNXM15@MNXD2 + 1 MNXM27@MNXD2 + 2 MNXM43@MNXD2	1 `NH4(+)` + 1 `Na(+)` + 2 `chloride` = 1 `NH4(+)` + 1 `Na(+)` + 2 `chloride`	MNXR101967	1 `NH4(+)` + 1 `Na(+)` + 2 `chloride` 	 1 `NH4(+)` + 1 `Na(+)` + 2 `chloride`	3
Rh24	1 MNXM27@MNXD1 + 2 MNXM43@MNXD1 + 1 MNXM95@MNXD1 = 1 MNXM27@MNXD2 + 2 MNXM43@MNXD2 + 1 MNXM95@MNXD2	1 `Na(+)` + 2 `chloride` + 1 `K(+)` = 1 `Na(+)` + 2 `chloride` + 1 `K(+)`	MNXR101968	1 `Na(+)` + 2 `chloride` + 1 `K(+)` 	 1 `Na(+)` + 2 `chloride` + 1 `K(+)`	3
Rh24	2 MNXM27@MNXD1 + 1 MNXM31869@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM31869@MNXD2	2 `Na(+)` + 1 `(R)-noradrenaline` = 2 `Na(+)` + 1 `(R)-noradrenaline`	MNXR102018	2 `Na(+)` + 1 `(R)-noradrenaline` 	 2 `Na(+)` + 1 `(R)-noradrenaline`	2
Rh24	1 MNXM1@MNXD1 + 3 MNXM27@MNXD2 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1 + 2 MNXM95@MNXD1 = 1 MNXM2@MNXD1 + 3 MNXM27@MNXD1 + 1 MNXM3@MNXD1 + 2 MNXM95@MNXD2	1 `H(+)` + 3 `Na(+)` + 1 `ADP` + 1 `phosphate` + 2 `K(+)` = 1 `H2O` + 3 `Na(+)` + 1 `ATP` + 2 `K(+)`	MNXR102073	1 `H(+)` + 3 `Na(+)` + 1 `ADP` + 1 `phosphate` + 2 `K(+)` 	 1 `H2O` + 3 `Na(+)` + 1 `ATP` + 2 `K(+)`	2
Rh24	1 MNXM1@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1 + 1 MNXM95@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM95@MNXD2	1 `H(+)` + 1 `Na(+)` + 1 `ADP` + 1 `phosphate` + 1 `K(+)` = 1 `H2O` + 1 `Na(+)` + 1 `ATP` + 1 `K(+)`	MNXR102074	1 `H(+)` + 1 `Na(+)` + 1 `ADP` + 1 `phosphate` + 1 `K(+)` 	 1 `H2O` + 1 `Na(+)` + 1 `ATP` + 1 `K(+)`	2
Rh24	1 MNXM13@MNXD1 + 1 MNXM23@MNXD1 + 2 MNXM27@MNXD2 = 1 MNXM1@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM46@MNXD1	1 `CO2` + 1 `pyruvate` + 2 `Na(+)` = 1 `H(+)` + 2 `Na(+)` + 1 `oxaloacetate`	MNXR102098	1 `CO2` + 1 `pyruvate` + 2 `Na(+)` 	 1 `H(+)` + 2 `Na(+)` + 1 `oxaloacetate`	1
Rh24	1 MNXM27@MNXD1 + 1 MNXM497@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM497@MNXD2	1 `Na(+)` + 1 `phenylacetate` = 1 `Na(+)` + 1 `phenylacetate`	MNXR102322	1 `Na(+)` + 1 `phenylacetate` 	 1 `Na(+)` + 1 `phenylacetate`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 + 1 MNXM97@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2 + 1 MNXM97@MNXD2	2 `Na(+)` + 1 `chloride` + 1 `L-phenylalanine` = 2 `Na(+)` + 1 `chloride` + 1 `L-phenylalanine`	MNXR102623	2 `Na(+)` + 1 `chloride` + 1 `L-phenylalanine` 	 2 `Na(+)` + 1 `chloride` + 1 `L-phenylalanine`	3
Rh24	1 MNXM27@MNXD1 + 1 MNXM97@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM97@MNXD2	1 `Na(+)` + 1 `L-phenylalanine` = 1 `Na(+)` + 1 `L-phenylalanine`	MNXR102636	1 `Na(+)` + 1 `L-phenylalanine` 	 1 `Na(+)` + 1 `L-phenylalanine`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM9@MNXD2	1 `Na(+)` + 1 `phosphate` = 1 `Na(+)` + 1 `phosphate`	MNXR102849	1 `Na(+)` + 1 `phosphate` 	 1 `Na(+)` + 1 `phosphate`	2
Rh24	3 MNXM27@MNXD1 + 1 MNXM9@MNXD1 = 3 MNXM27@MNXD2 + 1 MNXM9@MNXD2	3 `Na(+)` + 1 `phosphate` = 3 `Na(+)` + 1 `phosphate`	MNXR102874	3 `Na(+)` + 1 `phosphate` 	 3 `Na(+)` + 1 `phosphate`	2
Rh24	3 MNXM27@MNXD1 + 2 MNXM9@MNXD1 = 3 MNXM27@MNXD2 + 2 MNXM9@MNXD2	3 `Na(+)` + 2 `phosphate` = 3 `Na(+)` + 2 `phosphate`	MNXR102875	3 `Na(+)` + 2 `phosphate` 	 3 `Na(+)` + 2 `phosphate`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM9@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM9@MNXD2	2 `Na(+)` + 1 `phosphate` = 2 `Na(+)` + 1 `phosphate`	MNXR102876	2 `Na(+)` + 1 `phosphate` 	 2 `Na(+)` + 1 `phosphate`	2
Rh24	2 MNXM27@MNXD1 + 1 MNXM364@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM364@MNXD2	2 `Na(+)` + 1 `(R)-pantothenate` = 2 `Na(+)` + 1 `(R)-pantothenate`	MNXR103052	2 `Na(+)` + 1 `(R)-pantothenate` 	 2 `Na(+)` + 1 `(R)-pantothenate`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM364@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM364@MNXD2	1 `Na(+)` + 1 `(R)-pantothenate` = 1 `Na(+)` + 1 `(R)-pantothenate`	MNXR103054	1 `Na(+)` + 1 `(R)-pantothenate` 	 1 `Na(+)` + 1 `(R)-pantothenate`	2
Rh24	1 MNXM1@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM364@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 2 MNXM27@MNXD2 + 1 MNXM3@MNXD1 + 1 MNXM364@MNXD2	1 `H(+)` + 2 `Na(+)` + 1 `(R)-pantothenate` + 1 `ADP` + 1 `phosphate` = 1 `H2O` + 2 `Na(+)` + 1 `ATP` + 1 `(R)-pantothenate`	MNXR103055	1 `H(+)` + 2 `Na(+)` + 1 `(R)-pantothenate` + 1 `ADP` + 1 `phosphate` 	 1 `H2O` + 2 `Na(+)` + 1 `ATP` + 1 `(R)-pantothenate`	2
Rh24	1 MNXM11@MNXD1 + 1 MNXM2@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM27@MNXD2 + 2 MNXM9@MNXD1	1 `diphosphate` + 1 `H2O` + 1 `Na(+)` = 1 `H(+)` + 1 `Na(+)` + 2 `phosphate`	MNXR103072	1 `diphosphate` + 1 `H2O` + 1 `Na(+)` 	 1 `H(+)` + 1 `Na(+)` + 2 `phosphate`	1
Rh24	1 MNXM162260@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM162260@MNXD2 + 1 MNXM27@MNXD2	1 `Propionate (n-C3:0)` + 1 `Na(+)` = 1 `Propionate (n-C3:0)` + 1 `Na(+)`	MNXR103093	1 `Propionate (n-C3:0)` + 1 `Na(+)` 	 1 `Propionate (n-C3:0)` + 1 `Na(+)`	2
Rh24	1 MNXM114@MNXD1 + 2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 = 1 MNXM114@MNXD2 + 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2	1 `L-proline` + 2 `Na(+)` + 1 `chloride` = 1 `L-proline` + 2 `Na(+)` + 1 `chloride`	MNXR103192	1 `L-proline` + 2 `Na(+)` + 1 `chloride` 	 1 `L-proline` + 2 `Na(+)` + 1 `chloride`	3
Rh24	1 MNXM114@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM114@MNXD2 + 1 MNXM27@MNXD2	1 `L-proline` + 1 `Na(+)` = 1 `L-proline` + 1 `Na(+)`	MNXR103197	1 `L-proline` + 1 `Na(+)` 	 1 `L-proline` + 1 `Na(+)`	2
Rh24	1 MNXM114@MNXD1 + 2 MNXM27@MNXD1 = 1 MNXM114@MNXD2 + 2 MNXM27@MNXD2	1 `L-proline` + 2 `Na(+)` = 1 `L-proline` + 2 `Na(+)`	MNXR103212	1 `L-proline` + 2 `Na(+)` 	 1 `L-proline` + 2 `Na(+)`	2
Rh24	1 MNXM23@MNXD1 + 2 MNXM27@MNXD1 = 1 MNXM23@MNXD2 + 2 MNXM27@MNXD2	1 `pyruvate` + 2 `Na(+)` = 1 `pyruvate` + 2 `Na(+)`	MNXR103386	1 `pyruvate` + 2 `Na(+)` 	 1 `pyruvate` + 2 `Na(+)`	2
Rh24	1 MNXM23@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM23@MNXD2 + 1 MNXM27@MNXD2	1 `pyruvate` + 1 `Na(+)` = 1 `pyruvate` + 1 `Na(+)`	MNXR103387	1 `pyruvate` + 1 `Na(+)` 	 1 `pyruvate` + 1 `Na(+)`	2
Rh24	1 MNXM2282@MNXD1 + 3 MNXM27@MNXD1 = 1 MNXM2282@MNXD2 + 3 MNXM27@MNXD2	1 `selenate` + 3 `Na(+)` = 1 `selenate` + 3 `Na(+)`	MNXR104326	1 `selenate` + 3 `Na(+)` 	 1 `selenate` + 3 `Na(+)`	2
Rh24	1 MNXM27@MNXD1 + 1 MNXM32@MNXD2 + 1 MNXM53@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM32@MNXD1 + 1 MNXM53@MNXD2	1 `Na(+)` + 1 `L-alanine` + 1 `L-serine` = 1 `Na(+)` + 1 `L-alanine` + 1 `L-serine`	MNXR104330	1 `Na(+)` + 1 `L-alanine` + 1 `L-serine` 	 1 `Na(+)` + 1 `L-alanine` + 1 `L-serine`	3
Rh24	1 MNXM147@MNXD1 + 1 MNXM27@MNXD2 + 1 MNXM53@MNXD2 = 1 MNXM147@MNXD2 + 1 MNXM27@MNXD1 + 1 MNXM53@MNXD1	1 `L-asparagine` + 1 `Na(+)` + 1 `L-serine` = 1 `L-asparagine` + 1 `Na(+)` + 1 `L-serine`	MNXR104331	1 `L-asparagine` + 1 `Na(+)` + 1 `L-serine` 	 1 `L-asparagine` + 1 `Na(+)` + 1 `L-serine`	3
Rh24	2 MNXM27@MNXD1 + 1 MNXM43@MNXD1 + 1 MNXM53@MNXD1 = 2 MNXM27@MNXD2 + 1 MNXM43@MNXD2 + 1 MNXM53@MNXD2	2 `Na(+)` + 1 `chloride` + 1 `L-serine` = 2 `Na(+)` + 1 `chloride` + 1 `L-serine`	MNXR104333	2 `Na(+)` + 1 `chloride` + 1 `L-serine` 	 2 `Na(+)` + 1 `chloride` + 1 `L-serine`	3
Rh24	1 MNXM27@MNXD1 + 1 MNXM53@MNXD1 + 1 MNXM55@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM53@MNXD2 + 1 MNXM55@MNXD1	1 `Na(+)` + 1 `L-serine` + 1 `L-cysteine` = 1 `Na(+)` + 1 `L-serine` + 1 `L-cysteine`	MNXR104334	1 `Na(+)` + 1 `L-serine` + 1 `L-cysteine` 	 1 `Na(+)` + 1 `L-serine` + 1 `L-cysteine`	3
Rh24	1 MNXM27@MNXD1 + 1 MNXM37@MNXD2 + 1 MNXM53@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM37@MNXD1 + 1 MNXM53@MNXD2	1 `Na(+)` + 1 `L-glutamine` + 1 `L-serine` = 1 `Na(+)` + 1 `L-glutamine` + 1 `L-serine`	MNXR104340	1 `Na(+)` + 1 `L-glutamine` + 1 `L-serine` 	 1 `Na(+)` + 1 `L-glutamine` + 1 `L-serine`	3
